position,token,target,loss_nats,passthrough_nats,visits,mean_hops
0,25,36,4.165069,4.166067,710,4.0347
1,36,21,4.111247,4.101968,715,4.0429
2,21,9,4.224401,4.235620,661,3.8711
3,9,15,4.082539,4.071323,669,3.9015
4,15,49,4.196964,4.201608,626,3.8311
5,49,43,4.240764,4.241330,651,3.8573
6,43,11,4.193422,4.186692,610,3.7395
7,11,42,4.132995,4.132436,625,3.8056
8,42,54,4.239877,4.235576,624,3.7346
9,54,25,3.973399,3.969950,532,3.4666
10,25,36,4.097357,4.116682,647,3.8230
11,36,29,4.217470,4.230473,619,3.7042
12,29,11,4.257340,4.252229,590,3.6763
13,11,42,4.088381,4.094481,663,3.8904
14,42,0,4.068905,4.077347,648,3.8493
15,0,21,4.128646,4.119339,585,3.6900
16,21,48,4.232835,4.218706,639,3.8041
17,48,25,4.233003,4.216013,543,3.4910
18,25,2,4.164722,4.165634,636,3.8065
19,2,45,4.342032,4.365493,544,3.4874
20,45,62,4.008316,3.988786,564,3.5481
21,62,21,4.245467,4.239908,641,3.7463
22,21,48,4.167747,4.185170,616,3.8308
23,48,25,4.146317,4.171771,627,3.8017
24,25,36,4.065749,4.062267,683,3.9989
25,36,29,4.175160,4.181459,658,3.8855
26,29,11,4.220602,4.206436,620,3.7945
27,11,42,4.023670,4.060109,668,3.8862
28,42,54,4.183316,4.193271,583,3.5782
29,54,44,4.412138,4.390846,599,3.7631
30,44,36,4.093891,4.075683,585,3.7015
31,36,34,4.058977,4.023856,618,3.7673
32,34,7,4.318138,4.321149,619,3.7664
33,7,22,4.025444,4.070051,608,3.7059
34,22,47,4.125689,4.200760,594,3.6957
35,47,51,4.229111,4.241203,570,3.6080
36,51,16,4.203444,4.176630,576,3.6476
37,16,53,4.291828,4.294459,581,3.6396
38,53,0,4.136896,4.198560,567,3.6145
39,0,60,4.168034,4.130755,644,3.8492
40,60,38,4.317967,4.333737,621,3.8039
41,38,2,4.181159,4.186188,581,3.6715
42,2,12,4.232438,4.266582,590,3.6482
43,12,35,4.148202,4.154384,587,3.6251
44,35,8,4.203863,4.227807,566,3.5804
45,8,56,4.171025,4.226679,568,3.6142
46,56,1,4.101484,4.112818,592,3.6679
47,1,47,4.298427,4.328867,642,3.8801
48,47,22,4.154845,4.161711,603,3.6940
49,22,20,4.347284,4.362994,532,3.4919
50,20,10,4.073211,4.011710,617,3.8068
51,10,2,4.155597,4.103098,622,3.7942
52,2,12,4.199181,4.233227,630,3.7928
53,12,20,4.105077,4.091499,581,3.5486
54,20,10,3.991848,3.975522,651,3.8667
55,10,2,4.090183,4.064362,647,3.8640
56,2,54,4.255109,4.254805,670,3.9432
57,54,0,4.248895,4.250144,585,3.6817
