position,token,target,loss_nats,passthrough_nats,visits,mean_hops
0,25,36,4.166067,4.166067,1458,7.6493
1,36,21,4.101890,4.101890,1338,7.1709
2,21,9,4.235385,4.235385,1418,7.5954
3,9,15,4.072522,4.072522,1459,7.6248
4,15,49,4.202026,4.202026,1400,7.4937
5,49,43,4.241608,4.241608,1444,7.5761
6,43,11,4.185974,4.185974,1304,6.8342
7,11,42,4.132384,4.132384,1427,7.5135
8,42,54,4.235509,4.235509,1425,7.5406
9,54,25,3.971558,3.971558,1404,7.4354
10,25,36,4.116689,4.116689,1457,7.5903
11,36,29,4.230332,4.230332,1387,7.3566
12,29,11,4.253903,4.253903,1414,7.5356
13,11,42,4.094132,4.094132,1424,7.5477
14,42,0,4.079408,4.079408,1444,7.5509
15,0,21,4.121723,4.121723,1419,7.4917
16,21,48,4.219442,4.219442,1429,7.5159
17,48,25,4.215325,4.215325,1422,7.4962
18,25,2,4.164654,4.164654,1447,7.5811
19,2,45,4.366879,4.366879,1429,7.5228
20,45,62,3.989439,3.989439,1301,6.9647
21,62,21,4.238092,4.238092,1407,7.4599
22,21,48,4.183456,4.183456,1428,7.5319
23,48,25,4.166192,4.166192,1433,7.5876
24,25,36,4.056295,4.056295,1447,7.5980
25,36,29,4.178212,4.178212,1443,7.5950
26,29,11,4.206734,4.206734,1351,7.2217
27,11,42,4.057185,4.057185,1332,7.2189
28,42,54,4.187146,4.187146,1431,7.5491
29,54,44,4.391386,4.391386,1439,7.5260
30,44,36,4.073429,4.073429,1401,7.4452
31,36,34,4.020170,4.020170,1326,7.1463
32,34,7,4.321479,4.321479,1293,7.0610
33,7,22,4.068813,4.068813,1433,7.6112
34,22,47,4.201844,4.201844,1415,7.4966
35,47,51,4.238488,4.238488,1370,7.1978
36,51,16,4.177940,4.177940,1437,7.5913
37,16,53,4.291592,4.291592,1392,7.4678
38,53,0,4.197272,4.197272,1409,7.4558
39,0,60,4.130003,4.130003,1372,7.2981
40,60,38,4.338054,4.338054,1232,6.6050
41,38,2,4.185984,4.185984,1277,6.8428
42,2,12,4.268342,4.268342,1270,6.9300
43,12,35,4.153843,4.153843,1414,7.5103
44,35,8,4.225399,4.225399,1345,7.3627
45,8,56,4.229140,4.229140,1388,7.4183
46,56,1,4.115690,4.115690,1403,7.4183
47,1,47,4.326185,4.326185,1316,7.1032
