position,token,target,loss_nats,passthrough_nats,visits,mean_hops
0,25,36,4.163199,4.166067,868,4.7624
1,36,21,4.107663,4.102058,870,4.7805
2,21,9,4.233561,4.235393,885,4.8260
3,9,15,4.081787,4.073018,828,4.6288
4,15,49,4.196764,4.201933,894,4.8962
5,49,43,4.234893,4.242017,889,4.8643
6,43,11,4.167810,4.185053,838,4.6676
7,11,42,4.106204,4.132267,832,4.7298
8,42,54,4.199057,4.237171,824,4.5793
9,54,25,3.959251,3.970683,802,4.6176
10,25,36,4.129662,4.116289,872,4.8047
11,36,29,4.183726,4.227752,883,4.8877
12,29,11,4.244906,4.253432,822,4.5246
13,11,42,4.043639,4.097258,916,4.9736
14,42,0,4.055544,4.078497,922,4.9613
15,0,21,4.140677,4.116752,806,4.5973
16,21,48,4.210377,4.220166,787,4.5383
17,48,25,4.222419,4.216106,832,4.7776
18,25,2,4.161371,4.163990,820,4.7564
19,2,45,4.359959,4.367426,795,4.6830
20,45,62,4.018403,3.987870,816,4.5628
21,62,21,4.242921,4.240825,804,4.5084
22,21,48,4.150692,4.188959,924,4.9545
23,48,25,4.126233,4.171582,901,4.9480
24,25,36,4.060230,4.058388,907,4.9584
25,36,29,4.172241,4.180517,800,4.5629
26,29,11,4.208730,4.207774,863,4.7825
27,11,42,4.041684,4.062217,840,4.6600
28,42,54,4.164182,4.194072,865,4.7750
29,54,44,4.429479,4.395493,845,4.6998
30,44,36,4.101256,4.083817,797,4.5248
31,36,34,4.055512,4.020062,921,4.9577
32,34,7,4.346663,4.321782,758,4.3940
33,7,22,4.012309,4.070404,822,4.6627
34,22,47,4.116362,4.199674,846,4.7263
35,47,51,4.203736,4.241121,857,4.7718
36,51,16,4.191981,4.176510,889,4.8951
37,16,53,4.292599,4.295615,735,4.2739
38,53,0,4.156130,4.199094,809,4.6045
39,0,60,4.141107,4.133341,904,4.9185
40,60,38,4.314831,4.336168,829,4.6885
41,38,2,4.170848,4.189193,809,4.4589
42,2,12,4.235176,4.270745,891,4.8649
43,12,35,4.167453,4.154285,795,4.6208
44,35,8,4.234029,4.226397,789,4.5536
45,8,56,4.244797,4.227715,862,4.7960
46,56,1,4.092199,4.114170,921,4.9625
47,1,47,4.267867,4.328187,836,4.6985
48,47,22,4.054706,4.167090,810,4.5426
49,22,20,4.335769,4.362490,848,4.7602
50,20,10,4.074382,4.010530,907,4.9004
51,10,2,4.124246,4.107102,822,4.5839
52,2,12,4.253294,4.240666,834,4.7050
53,12,20,4.097713,4.094495,914,4.9416
54,20,10,4.013293,3.975681,902,4.9618
55,10,2,4.012237,4.069173,867,4.7983
56,2,54,4.281415,4.255751,919,4.9517
57,54,0,4.259161,4.249300,808,4.5842
58,0,60,4.094697,4.095439,897,4.8414
59,60,38,4.302738,4.301249,877,4.7842
60,38,50,4.098632,4.134525,790,4.4930
61,50,54,4.162439,4.177143,777,4.4025
62,54,25,3.914280,3.943297,889,4.8983
63,25,36,4.036390,4.021724,901,4.8750
64,36,34,4.000757,3.982248,881,4.8026
65,34,35,4.163670,4.208273,828,4.6569
66,35,0,4.293392,4.313617,846,4.7086
67,0,25,4.348313,4.300671,900,4.8851
68,25,2,4.133327,4.127347,897,4.9476
69,2,45,4.292206,4.315627,857,4.8423
70,45,30,4.148079,4.157810,806,4.5880
71,30,46,4.332288,4.350492,768,4.4650
