scheme,age,snr_mean,snr_stderr
plain,1,5.844293e0,2.499831e-1
plain,2,5.864961e0,2.380565e-1
plain,3,5.779383e0,1.950468e-1
plain,4,5.719362e0,1.603065e-1
plain,5,5.648209e0,1.423218e-1
plain,6,5.640581e0,1.345808e-1
plain,7,5.442056e0,2.016828e-1
plain,8,5.462981e0,2.644490e-1
plain,9,5.399960e0,2.719489e-1
plain,10,5.321453e0,2.087095e-1
plain,11,5.113655e0,1.046703e-1
plain,12,5.190423e0,1.153086e-1
plain,13,5.141672e0,1.491775e-1
plain,14,5.152443e0,8.054866e-2
plain,15,5.125983e0,1.040974e-1
plain,16,5.093297e0,8.192996e-2
plain,17,5.078757e0,8.632208e-2
plain,18,5.046549e0,1.512502e-1
plain,19,5.017063e0,2.215461e-1
plain,20,4.949191e0,1.987609e-1
plain,21,4.951190e0,2.107162e-1
plain,22,5.012258e0,1.809382e-1
plain,23,4.853180e0,1.231275e-1
plain,24,4.768771e0,1.330325e-1
plain,25,4.666793e0,1.648131e-1
plain,26,4.605894e0,1.222352e-1
plain,27,4.635963e0,1.491488e-1
plain,28,4.533281e0,2.123577e-1
plain,29,4.471965e0,2.250522e-1
plain,30,4.511967e0,2.158424e-1
plain,31,4.267901e0,2.354002e-1
plain,32,4.152294e0,1.999646e-1
plain,33,4.278394e0,2.545016e-1
plain,34,4.251927e0,2.270028e-1
plain,35,4.202999e0,2.162955e-1
plain,36,4.261570e0,1.047818e-1
plain,37,4.156856e0,1.214114e-1
plain,38,4.233351e0,1.107000e-1
plain,39,4.097038e0,1.485173e-1
plain,40,4.151227e0,1.371320e-1
plain,41,4.216080e0,2.435582e-1
plain,42,4.079774e0,3.155799e-1
plain,43,3.992652e0,2.619175e-1
plain,45,3.756545e0,4.455133e-1
plain,46,3.567661e0,4.309277e-1
plain,47,3.538631e0,3.832277e-1
plain,48,3.529852e0,3.604602e-1
plain,49,3.277995e0,3.930894e-1
plain,51,2.968956e0,3.959167e-1
plain,52,2.975207e0,3.731563e-1
plain,53,2.977743e0,3.670047e-1
plain,55,2.866454e0,4.830813e-1
plain,56,2.884787e0,4.785139e-1
plain,58,2.967079e0,4.475971e-1
plain,59,2.931113e0,4.368888e-1
plain,61,2.845826e0,4.878468e-1
plain,62,2.828845e0,4.939689e-1
plain,64,2.671993e0,4.485242e-1
plain,66,2.499123e0,3.491469e-1
plain,67,2.507153e0,3.414690e-1
plain,69,2.554959e0,3.944506e-1
plain,71,2.578338e0,3.482108e-1
plain,73,2.470626e0,4.017293e-1
plain,75,2.036341e0,4.826089e-1
plain,77,2.198415e0,5.072688e-1
plain,79,2.129249e0,6.046382e-1
plain,81,2.093941e0,7.525026e-1
plain,83,1.855776e0,8.784721e-1
plain,85,1.890215e0,9.138472e-1
plain,87,1.881337e0,9.841399e-1
plain,90,1.887811e0,9.879279e-1
plain,92,1.895179e0,1.038387e0
plain,94,1.697424e0,1.039036e0
plain,97,1.667434e0,1.013882e0
plain,99,1.620042e0,7.694606e-1
plain,102,1.425544e0,8.495986e-1
plain,105,1.368524e0,7.954720e-1
plain,107,1.458723e0,8.222491e-1
plain,110,1.579172e0,8.223857e-1
plain,113,1.604333e0,8.353128e-1
plain,116,1.434770e0,8.313992e-1
plain,119,1.442318e0,8.415772e-1
plain,122,1.674579e0,9.426291e-1
plain,125,1.494661e0,9.780685e-1
plain,129,1.422339e0,9.153023e-1
plain,132,1.242116e0,9.016987e-1
plain,136,1.273935e0,9.852812e-1
plain,139,1.181034e0,9.692626e-1
plain,143,8.612860e-1,9.737434e-1
plain,146,5.966074e-1,9.333338e-1
plain,150,5.800212e-1,8.517798e-1
plain,154,7.616618e-1,7.001090e-1
plain,158,7.506124e-1,6.570812e-1
plain,162,4.872427e-1,6.653221e-1
plain,167,6.187336e-1,6.640945e-1
plain,171,5.255479e-1,7.858220e-1
plain,175,4.780398e-1,7.623210e-1
plain,180,2.745306e-1,8.736740e-1
plain,185,3.584339e-1,8.510387e-1
plain,190,3.291952e-1,7.266305e-1
plain,195,3.707070e-1,6.993815e-1
plain,200,-2.721001e-2,7.561182e-1
plain,205,-1.163406e-1,7.023420e-1
plain,210,1.073490e-1,6.453858e-1
plain,216,3.191615e-2,6.015730e-1
plain,221,2.408581e-2,4.428732e-1
plain,227,-1.351339e-1,5.564603e-1
plain,233,-1.737034e-1,4.791392e-1
plain,239,-1.461902e-1,5.684192e-1
