scheme,rank_lo,rank_hi,visits_mean,snr_mean,recalled_fraction
plain,1,2,2.746125e3,4.489251e0,1.000000e0
plain,3,5,9.610000e2,3.510665e0,1.000000e0
plain,6,10,4.736500e2,2.798095e0,8.000000e-1
plain,11,21,2.377045e2,2.750923e0,7.500000e-1
plain,22,45,1.169479e2,1.869593e0,5.833333e-1
plain,46,96,5.403922e1,9.349914e-1,4.509804e-1
plain,97,205,2.503211e1,5.696178e-1,3.371560e-1
plain,206,437,1.194181e1,2.088242e-1,2.273707e-1
plain,438,935,5.596888e0,1.347593e-1,2.068273e-1
plain,936,2000,2.622300e0,4.740177e-2,1.706573e-1
exp/tau=30,1,2,2.746125e3,6.690786e0,1.000000e0
exp/tau=30,3,5,9.610000e2,3.091140e0,8.333333e-1
exp/tau=30,6,10,4.736500e2,1.972720e0,4.500000e-1
exp/tau=30,11,21,2.377045e2,2.400956e0,5.454545e-1
exp/tau=30,22,45,1.169479e2,1.316959e0,3.750000e-1
exp/tau=30,46,96,5.403922e1,3.829801e-1,2.401961e-1
exp/tau=30,97,205,2.503211e1,1.934959e-1,2.018349e-1
exp/tau=30,206,437,1.194181e1,4.691765e-2,1.681034e-1
exp/tau=30,438,935,5.596888e0,5.176267e-2,1.636546e-1
exp/tau=30,936,2000,2.622300e0,1.852799e-2,1.664319e-1
exp/tau=100,1,2,2.746125e3,5.978402e0,1.000000e0
exp/tau=100,3,5,9.610000e2,3.858586e0,9.166667e-1
exp/tau=100,6,10,4.736500e2,2.629273e0,6.500000e-1
exp/tau=100,11,21,2.377045e2,2.713549e0,6.363636e-1
exp/tau=100,22,45,1.169479e2,1.784349e0,5.312500e-1
exp/tau=100,46,96,5.403922e1,6.691328e-1,3.431373e-1
exp/tau=100,97,205,2.503211e1,3.679723e-1,2.545872e-1
exp/tau=100,206,437,1.194181e1,1.186142e-1,1.842672e-1
exp/tau=100,438,935,5.596888e0,9.357825e-2,1.837349e-1
exp/tau=100,936,2000,2.622300e0,3.280662e-2,1.680751e-1
exp/tau=300,1,2,2.746125e3,5.247583e0,1.000000e0
exp/tau=300,3,5,9.610000e2,3.800315e0,9.166667e-1
exp/tau=300,6,10,4.736500e2,2.866479e0,8.000000e-1
exp/tau=300,11,21,2.377045e2,2.788519e0,6.818182e-1
exp/tau=300,22,45,1.169479e2,1.895536e0,5.416667e-1
exp/tau=300,46,96,5.403922e1,8.320670e-1,3.774510e-1
exp/tau=300,97,205,2.503211e1,4.884332e-1,3.211009e-1
exp/tau=300,206,437,1.194181e1,1.730518e-1,2.090517e-1
exp/tau=300,438,935,5.596888e0,1.177344e-1,2.003012e-1
exp/tau=300,936,2000,2.622300e0,4.189427e-2,1.666667e-1
exp/tau=1000,1,2,2.746125e3,4.766497e0,1.000000e0
exp/tau=1000,3,5,9.610000e2,3.637138e0,9.166667e-1
exp/tau=1000,6,10,4.736500e2,2.854343e0,8.000000e-1
exp/tau=1000,11,21,2.377045e2,2.778530e0,7.500000e-1
exp/tau=1000,22,45,1.169479e2,1.891509e0,5.729167e-1
exp/tau=1000,46,96,5.403922e1,9.031716e-1,4.264706e-1
exp/tau=1000,97,205,2.503211e1,5.447427e-1,3.256881e-1
exp/tau=1000,206,437,1.194181e1,1.976830e-1,2.273707e-1
exp/tau=1000,438,935,5.596888e0,1.292746e-1,2.053213e-1
exp/tau=1000,936,2000,2.622300e0,4.581849e-2,1.676056e-1
exp/tau=3000,1,2,2.746125e3,4.587868e0,1.000000e0
exp/tau=3000,3,5,9.610000e2,3.558130e0,1.000000e0
exp/tau=3000,6,10,4.736500e2,2.821898e0,8.000000e-1
exp/tau=3000,11,21,2.377045e2,2.762641e0,7.500000e-1
exp/tau=3000,22,45,1.169479e2,1.878935e0,5.833333e-1
exp/tau=3000,46,96,5.403922e1,9.243927e-1,4.411765e-1
exp/tau=3000,97,205,2.503211e1,5.614048e-1,3.325688e-1
exp/tau=3000,206,437,1.194181e1,2.050950e-1,2.262931e-1
exp/tau=3000,438,935,5.596888e0,1.328984e-1,2.048193e-1
exp/tau=3000,936,2000,2.622300e0,4.689169e-2,1.694836e-1
exp/tau=10000,1,2,2.746125e3,4.519553e0,1.000000e0
exp/tau=10000,3,5,9.610000e2,3.525531e0,1.000000e0
exp/tau=10000,6,10,4.736500e2,2.805839e0,8.000000e-1
exp/tau=10000,11,21,2.377045e2,2.754748e0,7.500000e-1
exp/tau=10000,22,45,1.169479e2,1.872643e0,5.833333e-1
exp/tau=10000,46,96,5.403922e1,9.318188e-1,4.411765e-1
exp/tau=10000,97,205,2.503211e1,5.671692e-1,3.348624e-1
exp/tau=10000,206,437,1.194181e1,2.077052e-1,2.284483e-1
exp/tau=10000,438,935,5.596888e0,1.341979e-1,2.048193e-1
exp/tau=10000,936,2000,2.622300e0,4.725102e-2,1.699531e-1
exp/tau=30000,1,2,2.746125e3,4.499422e0,1.000000e0
exp/tau=30000,3,5,9.610000e2,3.515683e0,1.000000e0
exp/tau=30000,6,10,4.736500e2,2.800736e0,8.000000e-1
exp/tau=30000,11,21,2.377045e2,2.752229e0,7.500000e-1
exp/tau=30000,22,45,1.169479e2,1.870634e0,5.833333e-1
exp/tau=30000,46,96,5.403922e1,9.339348e-1,4.509804e-1
exp/tau=30000,97,205,2.503211e1,5.688034e-1,3.371560e-1
exp/tau=30000,206,437,1.194181e1,2.084512e-1,2.284483e-1
exp/tau=30000,438,935,5.596888e0,1.345719e-1,2.068273e-1
exp/tau=30000,936,2000,2.622300e0,4.735175e-2,1.701878e-1
uniform/g=0.25/m=8,1,2,2.746125e3,6.281611e0,1.000000e0
uniform/g=0.25/m=8,3,5,9.610000e2,5.697395e0,1.000000e0
uniform/g=0.25/m=8,6,10,4.736500e2,5.294746e0,1.000000e0
uniform/g=0.25/m=8,11,21,2.377045e2,4.749587e0,1.000000e0
uniform/g=0.25/m=8,22,45,1.169479e2,3.417474e0,9.791667e-1
uniform/g=0.25/m=8,46,96,5.403922e1,1.941635e0,7.303922e-1
uniform/g=0.25/m=8,97,205,2.503211e1,1.150103e0,5.504587e-1
uniform/g=0.25/m=8,206,437,1.194181e1,4.987956e-1,3.362069e-1
uniform/g=0.25/m=8,438,935,5.596888e0,2.639008e-1,2.525100e-1
uniform/g=0.25/m=8,936,2000,2.622300e0,1.206023e-1,1.971831e-1
geo/r=2/m=8,1,2,2.746125e3,6.824855e0,1.000000e0
geo/r=2/m=8,3,5,9.610000e2,6.254528e0,1.000000e0
geo/r=2/m=8,6,10,4.736500e2,5.965621e0,1.000000e0
geo/r=2/m=8,11,21,2.377045e2,5.138327e0,1.000000e0
geo/r=2/m=8,22,45,1.169479e2,3.703459e0,1.000000e0
geo/r=2/m=8,46,96,5.403922e1,1.960590e0,7.892157e-1
geo/r=2/m=8,97,205,2.503211e1,1.111705e0,5.160550e-1
geo/r=2/m=8,206,437,1.194181e1,4.894954e-1,3.232759e-1
geo/r=2/m=8,438,935,5.596888e0,2.491287e-1,2.394578e-1
geo/r=2/m=8,936,2000,2.622300e0,1.179047e-1,1.946009e-1
geo/r=4/m=4,1,2,2.746125e3,6.582823e0,1.000000e0
geo/r=4/m=4,3,5,9.610000e2,6.139036e0,1.000000e0
geo/r=4/m=4,6,10,4.736500e2,5.936351e0,1.000000e0
geo/r=4/m=4,11,21,2.377045e2,5.187455e0,1.000000e0
geo/r=4/m=4,22,45,1.169479e2,3.880566e0,1.000000e0
geo/r=4/m=4,46,96,5.403922e1,2.169069e0,8.774510e-1
geo/r=4/m=4,97,205,2.503211e1,1.235911e0,5.688073e-1
geo/r=4/m=4,206,437,1.194181e1,5.546503e-1,3.415948e-1
geo/r=4/m=4,438,935,5.596888e0,2.796635e-1,2.479920e-1
geo/r=4/m=4,936,2000,2.622300e0,1.316221e-1,1.920188e-1
geo/r=8/m=3,1,2,2.746125e3,6.552537e0,1.000000e0
geo/r=8/m=3,3,5,9.610000e2,6.133445e0,1.000000e0
geo/r=8/m=3,6,10,4.736500e2,5.920441e0,1.000000e0
geo/r=8/m=3,11,21,2.377045e2,5.164489e0,1.000000e0
geo/r=8/m=3,22,45,1.169479e2,3.928660e0,1.000000e0
geo/r=8/m=3,46,96,5.403922e1,2.220334e0,8.823529e-1
geo/r=8/m=3,97,205,2.503211e1,1.256370e0,5.756881e-1
geo/r=8/m=3,206,437,1.194181e1,5.720471e-1,3.437500e-1
geo/r=8/m=3,438,935,5.596888e0,2.838610e-1,2.545181e-1
geo/r=8/m=3,936,2000,2.622300e0,1.353265e-1,1.946009e-1
