schedule,t,value
uniform/g=0.25/m=1581,1,7.500000000000e-1
uniform/g=0.25/m=1581,2,6.250000000000e-1
uniform/g=0.25/m=1581,3,5.468750000000e-1
uniform/g=0.25/m=1581,4,4.921875000000e-1
uniform/g=0.25/m=1581,5,4.511718750000e-1
uniform/g=0.25/m=1581,6,4.189453125000e-1
uniform/g=0.25/m=1581,7,3.927612304688e-1
uniform/g=0.25/m=1581,8,3.709411621094e-1
uniform/g=0.25/m=1581,9,3.523941040039e-1
uniform/g=0.25/m=1581,10,3.363761901855e-1
uniform/g=0.25/m=1581,11,3.223605155945e-1
uniform/g=0.25/m=1581,12,3.099620342255e-1
uniform/g=0.25/m=1581,13,2.988919615746e-1
uniform/g=0.25/m=1581,14,2.889288961887e-1
uniform/g=0.25/m=1581,15,2.798998681828e-1
uniform/g=0.25/m=1581,16,2.716675191186e-1
uniform/g=0.25/m=1581,17,2.641211991431e-1
uniform/g=0.25/m=1581,18,2.571706412709e-1
uniform/g=0.25/m=1581,19,2.507413752392e-1
uniform/g=0.25/m=1581,20,2.447713424954e-1
uniform/g=0.25/m=1581,21,2.392083574387e-1
uniform/g=0.25/m=1581,22,2.340081757552e-1
uniform/g=0.25/m=1581,23,2.291330054270e-1
uniform/g=0.25/m=1581,24,2.245503453184e-1
uniform/g=0.25/m=1581,25,2.202320694469e-1
uniform/g=0.25/m=1581,26,2.161536977905e-1
uniform/g=0.25/m=1581,27,2.122938103300e-1
uniform/g=0.25/m=1581,28,2.086335722208e-1
uniform/g=0.25/m=1581,29,2.051563460171e-1
uniform/g=0.25/m=1581,30,2.018473726943e-1
uniform/g=0.25/m=1581,31,1.986935074959e-1
uniform/g=0.25/m=1581,32,1.956829998066e-1
uniform/g=0.25/m=1581,33,1.928053086330e-1
uniform/g=0.25/m=1581,34,1.900509470811e-1
uniform/g=0.25/m=1581,35,1.874113505938e-1
uniform/g=0.25/m=1581,37,1.824461494490e-1
uniform/g=0.25/m=1581,38,1.801070962510e-1
uniform/g=0.25/m=1581,39,1.778557575478e-1
uniform/g=0.25/m=1581,41,1.735952755508e-1
uniform/g=0.25/m=1581,42,1.715767258351e-1
uniform/g=0.25/m=1581,44,1.677422459774e-1
uniform/g=0.25/m=1581,45,1.659189606951e-1
uniform/g=0.25/m=1581,47,1.624439292709e-1
uniform/g=0.25/m=1581,48,1.607863381559e-1
uniform/g=0.25/m=1581,50,1.576179014923e-1
uniform/g=0.25/m=1581,52,1.546296811174e-1
uniform/g=0.25/m=1581,54,1.518052164034e-1
uniform/g=0.25/m=1581,56,1.491300774866e-1
uniform/g=0.25/m=1581,57,1.478444733703e-1
uniform/g=0.25/m=1581,59,1.453699578202e-1
uniform/g=0.25/m=1581,62,1.418806267364e-1
uniform/g=0.25/m=1581,64,1.396893213836e-1
uniform/g=0.25/m=1581,66,1.375965087328e-1
uniform/g=0.25/m=1581,68,1.355950249901e-1
uniform/g=0.25/m=1581,71,1.327500929024e-1
uniform/g=0.25/m=1581,73,1.309500291658e-1
uniform/g=0.25/m=1581,76,1.283821599592e-1
uniform/g=0.25/m=1581,78,1.267518607030e-1
uniform/g=0.25/m=1581,81,1.244188271107e-1
uniform/g=0.25/m=1581,84,1.222100528152e-1
uniform/g=0.25/m=1581,87,1.201148853224e-1
uniform/g=0.25/m=1581,90,1.181239083036e-1
uniform/g=0.25/m=1581,93,1.162287630710e-1
uniform/g=0.25/m=1581,97,1.138382148696e-1
uniform/g=0.25/m=1581,100,1.121390522857e-1
uniform/g=0.25/m=1581,104,1.099875161545e-1
uniform/g=0.25/m=1581,107,1.084527397538e-1
uniform/g=0.25/m=1581,111,1.065028785314e-1
uniform/g=0.25/m=1581,115,1.046545407890e-1
uniform/g=0.25/m=1581,119,1.028992116587e-1
uniform/g=0.25/m=1581,123,1.012293436693e-1
uniform/g=0.25/m=1581,127,9.963821987228e-2
uniform/g=0.25/m=1581,132,9.775096833885e-2
uniform/g=0.25/m=1581,137,9.596704765212e-2
uniform/g=0.25/m=1581,141,9.460815788831e-2
uniform/g=0.25/m=1581,146,9.298804018587e-2
uniform/g=0.25/m=1581,152,9.114954997411e-2
uniform/g=0.25/m=1581,157,8.969803497431e-2
uniform/g=0.25/m=1581,162,8.831372629878e-2
uniform/g=0.25/m=1581,168,8.673422130110e-2
uniform/g=0.25/m=1581,174,8.523654253820e-2
uniform/g=0.25/m=1581,180,8.381386054657e-2
uniform/g=0.25/m=1581,186,8.246011812485e-2
uniform/g=0.25/m=1581,193,8.096072073852e-2
uniform/g=0.25/m=1581,200,7.954024919145e-2
uniform/g=0.25/m=1581,207,7.819201370543e-2
uniform/g=0.25/m=1581,214,7.691009234280e-2
uniform/g=0.25/m=1581,222,7.551951451393e-2
uniform/g=0.25/m=1581,230,7.420173526628e-2
uniform/g=0.25/m=1581,238,7.295061668631e-2
uniform/g=0.25/m=1581,246,7.176072176743e-2
uniform/g=0.25/m=1581,255,7.048927097168e-2
uniform/g=0.25/m=1581,264,6.928309283470e-2
uniform/g=0.25/m=1581,273,6.813678707470e-2
uniform/g=0.25/m=1581,283,6.692752094576e-2
uniform/g=0.25/m=1581,293,6.578043561792e-2
uniform/g=0.25/m=1581,303,6.469037855620e-2
uniform/g=0.25/m=1581,314,6.355173966305e-2
uniform/g=0.25/m=1581,325,6.247118375500e-2
uniform/g=0.25/m=1581,336,6.144393491911e-2
uniform/g=0.25/m=1581,348,6.037912239340e-2
uniform/g=0.25/m=1581,360,5.936781693941e-2
uniform/g=0.25/m=1581,373,5.832759992417e-2
