scheme,age,snr_mean,snr_stderr
plain,1,5.634745e0,3.006166e-2
plain,2,5.586788e0,3.044112e-2
plain,3,5.518694e0,3.128844e-2
plain,4,5.425778e0,3.070632e-2
plain,5,5.365910e0,3.235615e-2
plain,6,5.292171e0,3.264334e-2
plain,7,5.208825e0,3.224641e-2
plain,9,5.108416e0,3.343421e-2
plain,11,4.986351e0,3.514751e-2
plain,14,4.785078e0,3.896670e-2
plain,17,4.598551e0,4.366326e-2
plain,22,4.347728e0,4.614256e-2
plain,27,4.050405e0,4.801104e-2
plain,33,3.802440e0,4.816304e-2
plain,42,3.361614e0,5.221156e-2
plain,52,2.919056e0,5.092061e-2
plain,65,2.485742e0,5.494957e-2
plain,80,2.056375e0,5.895545e-2
plain,100,1.592083e0,6.057437e-2
plain,125,1.083022e0,6.264394e-2
plain,155,6.132491e-1,6.286299e-2
plain,193,2.698882e-1,6.371458e-2
plain,241,1.925255e-1,5.931065e-2
plain,300,8.520132e-2,6.399612e-2
plain,373,-1.992343e-2,6.536642e-2
plain,465,1.149840e-1,6.686891e-2
plain,579,1.513805e-1,6.147168e-2
plain,721,-2.378279e-2,6.045437e-2
plain,897,8.275190e-2,6.623865e-2
plain,1118,3.537174e-3,6.015940e-2
plain,1392,-1.002517e-2,6.247957e-2
plain,1733,-5.194567e-3,6.478959e-2
plain,2158,3.401768e-2,6.342843e-2
plain,2687,8.805379e-2,6.297504e-2
plain,3346,-1.539397e-1,6.097557e-2
plain,4167,-1.016526e-1,6.030458e-2
plain,5189,6.388488e-2,5.807223e-2
plain,6461,-9.699518e-4,6.589007e-2
plain,8046,-4.625349e-2,6.419734e-2
plain,10019,5.426712e-2,5.940052e-2
plain,12476,4.993504e-3,6.491834e-2
plain,15536,2.187984e-2,6.246541e-2
plain,19347,-8.650330e-3,6.362247e-2
plain,24091,1.228109e-1,6.150698e-2
plain,30000,5.471482e-2,5.965813e-2
exp/tau=30,1,7.301216e0,3.399639e-2
exp/tau=30,2,7.211226e0,3.403488e-2
exp/tau=30,3,7.089890e0,3.509736e-2
exp/tau=30,4,6.935637e0,3.426630e-2
exp/tau=30,5,6.824215e0,3.596012e-2
exp/tau=30,6,6.690044e0,3.741799e-2
exp/tau=30,7,6.547304e0,3.724160e-2
exp/tau=30,9,6.349140e0,3.830463e-2
exp/tau=30,11,6.084008e0,4.165571e-2
exp/tau=30,14,5.663098e0,4.809955e-2
exp/tau=30,17,5.253866e0,5.278823e-2
exp/tau=30,22,4.601406e0,5.710935e-2
exp/tau=30,27,3.874552e0,6.149211e-2
exp/tau=30,33,3.214833e0,5.942415e-2
exp/tau=30,42,2.189073e0,6.327167e-2
exp/tau=30,52,1.350089e0,6.200826e-2
exp/tau=30,65,7.630819e-1,6.314790e-2
exp/tau=30,80,4.061058e-1,6.851291e-2
exp/tau=30,100,1.920144e-1,6.380250e-2
exp/tau=30,125,3.992433e-2,6.823995e-2
exp/tau=30,155,-9.636266e-2,6.494674e-2
exp/tau=30,193,-9.719885e-2,6.196355e-2
exp/tau=30,241,2.544973e-2,6.235009e-2
exp/tau=30,300,-3.567526e-2,6.170019e-2
exp/tau=30,373,9.470095e-3,6.215211e-2
exp/tau=30,465,1.418171e-1,6.727257e-2
exp/tau=30,579,1.320688e-1,6.006639e-2
exp/tau=30,721,-1.509227e-2,6.060878e-2
exp/tau=30,897,2.791460e-2,6.659290e-2
exp/tau=30,1118,-2.481254e-2,6.406692e-2
exp/tau=30,1392,-3.019229e-2,6.658836e-2
exp/tau=30,1733,-5.839807e-2,6.857242e-2
exp/tau=30,2158,-2.803081e-2,6.397787e-2
exp/tau=30,2687,1.002439e-1,6.474271e-2
exp/tau=30,3346,-9.286243e-2,5.906482e-2
exp/tau=30,4167,-1.077974e-1,6.180318e-2
exp/tau=30,5189,-1.165934e-2,6.282778e-2
exp/tau=30,6461,-2.071953e-2,6.566588e-2
exp/tau=30,8046,-8.044867e-2,6.741399e-2
exp/tau=30,10019,5.399456e-2,6.053499e-2
exp/tau=30,12476,-2.771089e-2,6.201862e-2
exp/tau=30,15536,-2.825873e-2,6.397028e-2
exp/tau=30,19347,1.578527e-2,6.267830e-2
exp/tau=30,24091,1.069819e-1,6.273921e-2
exp/tau=30,30000,-1.214356e-2,6.015678e-2
exp/tau=100,1,6.643259e0,3.281940e-2
exp/tau=100,2,6.574719e0,3.305080e-2
exp/tau=100,3,6.480413e0,3.389502e-2
exp/tau=100,4,6.357322e0,3.272952e-2
exp/tau=100,5,6.275582e0,3.432823e-2
exp/tau=100,6,6.175788e0,3.484860e-2
exp/tau=100,7,6.067735e0,3.415784e-2
exp/tau=100,9,5.928607e0,3.496477e-2
exp/tau=100,11,5.752896e0,3.716553e-2
exp/tau=100,14,5.473683e0,4.151098e-2
exp/tau=100,17,5.210966e0,4.605116e-2
exp/tau=100,22,4.837675e0,4.924042e-2
exp/tau=100,27,4.406587e0,5.247368e-2
exp/tau=100,33,4.032094e0,5.194566e-2
exp/tau=100,42,3.369997e0,5.719571e-2
exp/tau=100,52,2.710278e0,5.558391e-2
exp/tau=100,65,2.077646e0,5.898283e-2
exp/tau=100,80,1.502983e0,6.412599e-2
exp/tau=100,100,9.748608e-1,6.345605e-2
exp/tau=100,125,5.121836e-1,6.701577e-2
exp/tau=100,155,1.324409e-1,6.486776e-2
exp/tau=100,193,-3.514894e-2,6.291585e-2
exp/tau=100,241,4.521361e-2,5.992469e-2
exp/tau=100,300,-8.163262e-3,6.303269e-2
exp/tau=100,373,-2.596729e-2,6.313308e-2
exp/tau=100,465,1.326380e-1,6.673585e-2
exp/tau=100,579,1.311397e-1,6.124919e-2
exp/tau=100,721,-1.884227e-2,6.116541e-2
exp/tau=100,897,5.617124e-2,6.602133e-2
exp/tau=100,1118,-1.493561e-2,6.156369e-2
exp/tau=100,1392,-2.778680e-2,6.484381e-2
exp/tau=100,1733,-3.710423e-2,6.633378e-2
exp/tau=100,2158,-6.978487e-3,6.199206e-2
exp/tau=100,2687,1.237334e-1,6.234277e-2
exp/tau=100,3346,-1.315490e-1,6.069664e-2
exp/tau=100,4167,-9.344827e-2,6.085884e-2
exp/tau=100,5189,1.301829e-2,6.054054e-2
exp/tau=100,6461,-3.857414e-3,6.661574e-2
exp/tau=100,8046,-6.336839e-2,6.639989e-2
exp/tau=100,10019,5.757753e-2,5.929516e-2
exp/tau=100,12476,-2.298733e-2,6.427118e-2
exp/tau=100,15536,-2.102747e-2,6.285184e-2
exp/tau=100,19347,-5.036069e-3,6.373361e-2
exp/tau=100,24091,1.294467e-1,6.196488e-2
exp/tau=100,30000,1.784792e-2,6.066169e-2
exp/tau=300,1,6.109014e0,3.130261e-2
exp/tau=300,2,6.052693e0,3.168065e-2
exp/tau=300,3,5.973501e0,3.251661e-2
exp/tau=300,4,5.867810e0,3.164800e-2
exp/tau=300,5,5.799131e0,3.326440e-2
exp/tau=300,6,5.715108e0,3.363122e-2
exp/tau=300,7,5.621102e0,3.296516e-2
exp/tau=300,9,5.504248e0,3.398527e-2
exp/tau=300,11,5.360688e0,3.581630e-2
exp/tau=300,14,5.128962e0,3.985630e-2
exp/tau=300,17,4.912224e0,4.449444e-2
exp/tau=300,22,4.615897e0,4.723818e-2
