scheme,rank_lo,rank_hi,visits_mean,snr_mean,recalled_fraction
plain,1,2,2.750020e3,4.468432e0,1.000000e0
plain,3,5,9.559688e2,4.031404e0,9.895833e-1
plain,6,10,4.741305e2,3.443982e0,9.343750e-1
plain,11,21,2.393086e2,2.727717e0,8.213778e-1
plain,22,45,1.147108e2,1.812918e0,6.279297e-1
plain,46,96,5.414277e1,1.009502e0,4.325214e-1
plain,97,205,2.543008e1,5.281212e-1,3.061568e-1
plain,206,437,1.194386e1,2.636009e-1,2.340719e-1
plain,438,935,5.587436e0,1.284168e-1,1.968656e-1
plain,936,2000,2.619032e0,5.946837e-2,1.785871e-1
exp/tau=30,1,2,2.750020e3,6.106767e0,9.941406e-1
exp/tau=30,3,5,9.559688e2,4.360483e0,8.684896e-1
exp/tau=30,6,10,4.741305e2,2.870654e0,6.617188e-1
exp/tau=30,11,21,2.393086e2,1.899622e0,5.174006e-1
exp/tau=30,22,45,1.147108e2,1.015592e0,3.570964e-1
exp/tau=30,46,96,5.414277e1,4.601554e-1,2.488511e-1
exp/tau=30,97,205,2.543008e1,2.271873e-1,2.077480e-1
exp/tau=30,206,437,1.194386e1,1.152625e-1,1.864561e-1
exp/tau=30,438,935,5.587436e0,5.116917e-2,1.720397e-1
exp/tau=30,936,2000,2.619032e0,2.494257e-2,1.675873e-1
exp/tau=100,1,2,2.750020e3,5.696692e0,9.980469e-1
exp/tau=100,3,5,9.559688e2,4.705408e0,9.635417e-1
exp/tau=100,6,10,4.741305e2,3.580269e0,8.406250e-1
exp/tau=100,11,21,2.393086e2,2.541524e0,6.793324e-1
exp/tau=100,22,45,1.147108e2,1.491705e0,4.819336e-1
exp/tau=100,46,96,5.414277e1,7.399271e-1,3.286612e-1
exp/tau=100,97,205,2.543008e1,3.682923e-1,2.487815e-1
exp/tau=100,206,437,1.194386e1,1.841496e-1,2.047582e-1
exp/tau=100,438,935,5.587436e0,8.605434e-2,1.818446e-1
exp/tau=100,936,2000,2.619032e0,4.077024e-2,1.712588e-1
exp/tau=300,1,2,2.750020e3,5.110008e0,1.000000e0
exp/tau=300,3,5,9.559688e2,4.465513e0,9.856771e-1
exp/tau=300,6,10,4.741305e2,3.644321e0,9.125000e-1
exp/tau=300,11,21,2.393086e2,2.743828e0,7.723722e-1
exp/tau=300,22,45,1.147108e2,1.719888e0,5.652669e-1
exp/tau=300,46,96,5.414277e1,9.074918e-1,3.876379e-1
exp/tau=300,97,205,2.543008e1,4.618255e-1,2.815367e-1
exp/tau=300,206,437,1.194386e1,2.299811e-1,2.201812e-1
exp/tau=300,438,935,5.587436e0,1.100118e-1,1.896100e-1
exp/tau=300,936,2000,2.619032e0,5.153438e-2,1.749927e-1
exp/tau=1000,1,2,2.750020e3,4.707845e0,1.000000e0
exp/tau=1000,3,5,9.559688e2,4.206284e0,9.869792e-1
exp/tau=1000,6,10,4.741305e2,3.540452e0,9.273438e-1
exp/tau=1000,11,21,2.393086e2,2.755393e0,8.061080e-1
exp/tau=1000,22,45,1.147108e2,1.793468e0,6.067708e-1
exp/tau=1000,46,96,5.414277e1,9.796978e-1,4.175092e-1
exp/tau=1000,97,205,2.543008e1,5.071854e-1,2.976276e-1
exp/tau=1000,206,437,1.194386e1,2.527504e-1,2.296269e-1
exp/tau=1000,438,935,5.587436e0,1.223716e-1,1.946222e-1
exp/tau=1000,936,2000,2.619032e0,5.690006e-2,1.774795e-1
exp/tau=3000,1,2,2.750020e3,4.554288e0,1.000000e0
exp/tau=3000,3,5,9.559688e2,4.095575e0,9.895833e-1
exp/tau=3000,6,10,4.741305e2,3.481070e0,9.335938e-1
exp/tau=3000,11,21,2.393086e2,2.740300e0,8.160511e-1
exp/tau=3000,22,45,1.147108e2,1.807901e0,6.202799e-1
exp/tau=3000,46,96,5.414277e1,9.998998e-1,4.270833e-1
exp/tau=3000,97,205,2.543008e1,5.211279e-1,3.029315e-1
exp/tau=3000,206,437,1.194386e1,2.599384e-1,2.324724e-1
exp/tau=3000,438,935,5.587436e0,1.263624e-1,1.957753e-1
exp/tau=3000,936,2000,2.619032e0,5.859972e-2,1.782424e-1
exp/tau=10000,1,2,2.750020e3,4.494897e0,1.000000e0
exp/tau=10000,3,5,9.559688e2,4.051347e0,9.895833e-1
exp/tau=10000,6,10,4.741305e2,3.455694e0,9.335938e-1
exp/tau=10000,11,21,2.393086e2,2.731901e0,8.199574e-1
exp/tau=10000,22,45,1.147108e2,1.811601e0,6.254883e-1
exp/tau=10000,46,96,5.414277e1,1.006670e0,4.309896e-1
exp/tau=10000,97,205,2.543008e1,5.260271e-1,3.054759e-1
exp/tau=10000,206,437,1.194386e1,2.624993e-1,2.333816e-1
exp/tau=10000,438,935,5.587436e0,1.277972e-1,1.966616e-1
exp/tau=10000,936,2000,2.619032e0,5.920686e-2,1.785138e-1
exp/tau=30000,1,2,2.750020e3,4.477324e0,1.000000e0
exp/tau=30000,3,5,9.559688e2,4.038120e0,9.895833e-1
exp/tau=30000,6,10,4.741305e2,3.447944e0,9.343750e-1
exp/tau=30000,11,21,2.393086e2,2.729153e0,8.206676e-1
exp/tau=30000,22,45,1.147108e2,1.812498e0,6.267904e-1
exp/tau=30000,46,96,5.414277e1,1.008563e0,4.321385e-1
exp/tau=30000,97,205,2.543008e1,5.274237e-1,3.059418e-1
exp/tau=30000,206,437,1.194386e1,2.632335e-1,2.340046e-1
exp/tau=30000,438,935,5.587436e0,1.282100e-1,1.968264e-1
exp/tau=30000,936,2000,2.619032e0,5.938113e-2,1.785175e-1
uniform/g=0.25/m=8,1,2,2.750020e3,6.285850e0,1.000000e0
uniform/g=0.25/m=8,3,5,9.559688e2,5.925695e0,1.000000e0
uniform/g=0.25/m=8,6,10,4.741305e2,5.506375e0,1.000000e0
uniform/g=0.25/m=8,11,21,2.393086e2,4.697870e0,9.978693e-1
uniform/g=0.25/m=8,22,45,1.147108e2,3.409893e0,9.628906e-1
uniform/g=0.25/m=8,46,96,5.414277e1,2.065391e0,7.773438e-1
