scheme,rung,tau,power
uniform/g=0.25/m=8,1,4.000000e0,1.186274e-4
uniform/g=0.25/m=8,2,1.600000e1,8.509247e-5
uniform/g=0.25/m=8,3,3.600000e1,3.543261e-5
uniform/g=0.25/m=8,4,6.400000e1,1.769588e-5
uniform/g=0.25/m=8,5,1.000000e2,8.889033e-6
uniform/g=0.25/m=8,6,1.440000e2,3.777110e-6
uniform/g=0.25/m=8,7,1.960000e2,9.329621e-7
geo/r=2/m=8,1,2.000000e0,2.011171e-5
geo/r=2/m=8,2,8.000000e0,9.882778e-5
geo/r=2/m=8,3,3.200000e1,6.838760e-5
geo/r=2/m=8,4,1.280000e2,5.789115e-5
geo/r=2/m=8,5,5.120000e2,5.342415e-5
geo/r=2/m=8,6,2.048000e3,5.253082e-5
geo/r=2/m=8,7,8.192000e3,4.320727e-5
geo/r=4/m=4,1,2.000000e0,4.061284e-5
geo/r=4/m=4,2,3.200000e1,1.532240e-4
geo/r=4/m=4,3,5.120000e2,1.302111e-4
geo/r=8/m=3,1,2.000000e0,5.750591e-5
geo/r=8/m=3,2,1.280000e2,1.946134e-4
