scheme,age,snr_mean,snr_stderr
plain,1,5.634745e0,3.006166e-2
plain,2,5.586788e0,3.044112e-2
plain,3,5.518694e0,3.128844e-2
plain,4,5.425778e0,3.070632e-2
plain,5,5.365910e0,3.235615e-2
plain,6,5.292171e0,3.264334e-2
plain,7,5.208825e0,3.224641e-2
plain,8,5.156710e0,3.297508e-2
plain,9,5.108416e0,3.343421e-2
plain,10,5.040474e0,3.420040e-2
plain,11,4.986351e0,3.514751e-2
plain,12,4.924796e0,3.530806e-2
plain,13,4.842742e0,3.696312e-2
plain,14,4.785078e0,3.896670e-2
plain,15,4.715492e0,4.005583e-2
plain,16,4.664762e0,4.224831e-2
plain,17,4.598551e0,4.366326e-2
plain,18,4.552631e0,4.455904e-2
plain,19,4.487994e0,4.501898e-2
plain,20,4.447507e0,4.594714e-2
plain,21,4.405288e0,4.582390e-2
plain,22,4.347728e0,4.614256e-2
plain,23,4.273336e0,4.622649e-2
plain,24,4.216971e0,4.631962e-2
plain,25,4.137961e0,4.698377e-2
plain,26,4.093563e0,4.738424e-2
plain,27,4.050405e0,4.801104e-2
plain,28,4.005361e0,4.826209e-2
plain,29,3.960229e0,4.885688e-2
plain,30,3.930679e0,4.825299e-2
plain,31,3.892916e0,4.751914e-2
plain,33,3.802440e0,4.816304e-2
plain,34,3.758837e0,4.826941e-2
plain,35,3.712894e0,4.872599e-2
plain,36,3.665321e0,4.919440e-2
plain,37,3.603586e0,5.075914e-2
plain,39,3.512961e0,5.117095e-2
plain,40,3.449115e0,5.164768e-2
plain,41,3.407855e0,5.150282e-2
plain,43,3.309990e0,5.226231e-2
plain,44,3.241434e0,5.172703e-2
plain,46,3.153350e0,5.395847e-2
plain,48,3.082674e0,5.378003e-2
plain,49,3.046366e0,5.271980e-2
plain,51,2.946578e0,5.140234e-2
plain,53,2.866327e0,5.141019e-2
plain,55,2.786859e0,5.195511e-2
plain,56,2.738648e0,5.173546e-2
plain,58,2.685607e0,5.074429e-2
plain,61,2.601000e0,5.272655e-2
plain,63,2.530953e0,5.307004e-2
plain,65,2.485742e0,5.494957e-2
plain,67,2.409623e0,5.452497e-2
plain,69,2.339905e0,5.513266e-2
plain,72,2.266189e0,5.647191e-2
plain,74,2.204577e0,5.742270e-2
plain,77,2.119620e0,5.837901e-2
plain,80,2.056375e0,5.895545e-2
plain,83,2.004868e0,5.933997e-2
plain,85,1.983496e0,5.947088e-2
plain,88,1.902166e0,5.979909e-2
plain,92,1.783358e0,6.166294e-2
plain,95,1.706531e0,6.122014e-2
plain,98,1.628143e0,6.012955e-2
plain,102,1.538952e0,6.094763e-2
plain,105,1.466060e0,6.018485e-2
plain,109,1.402776e0,5.915800e-2
plain,113,1.322728e0,5.958906e-2
plain,117,1.249793e0,6.175374e-2
plain,121,1.195572e0,6.285874e-2
plain,125,1.083022e0,6.264394e-2
plain,129,1.022985e0,6.404287e-2
plain,134,9.439552e-1,6.246228e-2
plain,138,8.756385e-1,6.249983e-2
plain,143,8.243896e-1,6.355698e-2
plain,148,7.550723e-1,6.546705e-2
plain,154,6.430892e-1,6.248768e-2
plain,159,5.613712e-1,6.454656e-2
plain,164,5.169859e-1,6.469119e-2
plain,170,4.608700e-1,6.649554e-2
plain,176,4.461677e-1,6.579191e-2
plain,182,3.947070e-1,6.389134e-2
plain,189,3.292378e-1,6.385483e-2
plain,195,2.364045e-1,6.299897e-2
plain,202,2.736213e-1,6.354874e-2
plain,209,2.561957e-1,5.879151e-2
plain,217,2.153174e-1,6.091960e-2
plain,224,1.512323e-1,5.941439e-2
plain,232,1.649699e-1,5.794159e-2
plain,240,1.799439e-1,6.030048e-2
plain,249,2.217975e-1,6.336365e-2
plain,257,2.188689e-1,6.521054e-2
plain,267,2.144664e-1,6.468422e-2
plain,276,1.742101e-1,6.282552e-2
plain,286,1.338250e-1,6.303582e-2
plain,296,1.113250e-1,6.405780e-2
plain,306,6.625174e-2,6.370003e-2
plain,317,5.021248e-2,6.102572e-2
plain,328,4.898759e-3,6.205364e-2
plain,339,-4.534631e-2,6.347386e-2
plain,351,-4.344874e-2,6.436601e-2
plain,363,-8.472260e-2,6.401445e-2
plain,376,-3.395936e-2,6.447299e-2
plain,389,-3.292709e-2,6.082176e-2
plain,403,2.666926e-2,6.337101e-2
plain,417,4.105594e-2,6.361239e-2
plain,432,5.919309e-2,6.355058e-2
plain,447,1.390988e-2,6.552460e-2
plain,463,1.025192e-1,6.562695e-2
plain,479,7.800596e-2,6.512967e-2
plain,496,9.358414e-2,6.504107e-2
plain,513,9.706492e-2,6.314463e-2
plain,531,9.707623e-2,6.179188e-2
plain,550,6.090052e-2,5.766991e-2
plain,569,1.303658e-1,5.895235e-2
plain,589,1.035033e-1,6.127042e-2
plain,610,1.291338e-1,6.238850e-2
plain,631,-1.535935e-2,6.445277e-2
plain,653,-6.717832e-2,6.525157e-2
plain,676,-1.209936e-1,6.636646e-2
plain,700,-1.074872e-1,6.070656e-2
plain,724,5.528775e-3,5.927293e-2
plain,750,1.327630e-2,6.296908e-2
plain,776,-4.394639e-2,6.310060e-2
plain,803,3.983372e-2,5.963248e-2
plain,831,4.506473e-2,6.250500e-2
plain,861,1.059770e-1,5.927073e-2
plain,891,8.864521e-2,6.366960e-2
plain,922,7.920370e-2,6.582239e-2
plain,954,7.079287e-2,6.543890e-2
plain,988,-7.264121e-3,6.686829e-2
plain,1023,-3.877264e-2,6.033391e-2
plain,1058,5.566670e-3,5.832322e-2
plain,1096,-2.258148e-2,6.074390e-2
plain,1134,-1.476984e-3,5.936432e-2
plain,1174,-1.097316e-2,6.064188e-2
plain,1215,-3.878490e-2,6.433068e-2
plain,1258,-3.851424e-2,6.184050e-2
plain,1302,2.449389e-3,6.077090e-2
plain,1347,2.500735e-2,6.527607e-2
plain,1395,5.475255e-3,6.372967e-2
plain,1444,-6.286272e-2,6.168860e-2
plain,1494,-4.848920e-2,6.162881e-2
plain,1547,-1.298904e-2,6.304683e-2
plain,1601,1.404928e-1,6.695470e-2
plain,1657,7.575258e-2,6.272987e-2
plain,1715,6.691821e-2,6.119924e-2
plain,1775,2.631717e-4,6.375334e-2
plain,1838,1.106680e-1,6.642710e-2
plain,1902,9.947318e-2,6.101415e-2
plain,1969,1.441469e-1,6.263976e-2
plain,2038,2.303167e-1,6.025000e-2
plain,2109,1.144859e-2,6.278093e-2
plain,2183,2.678171e-2,6.339880e-2
plain,2260,-1.178526e-1,6.652587e-2
plain,2339,-3.241543e-2,6.238245e-2
plain,2421,1.493913e-1,6.596580e-2
plain,2506,1.408928e-2,6.190767e-2
plain,2594,-8.837112e-2,6.172295e-2
plain,2685,9.586204e-2,6.251409e-2
plain,2779,-1.241785e-2,5.885148e-2
plain,2877,2.410626e-2,6.529592e-2
plain,2978,5.650708e-2,6.424648e-2
plain,3082,1.469483e-3,6.554372e-2
plain,3190,6.606858e-2,5.879179e-2
plain,3302,5.035077e-3,6.294697e-2
plain,3418,-1.136721e-1,6.188179e-2
plain,3538,-1.592918e-1,6.486561e-2
plain,3662,-5.561974e-2,6.355890e-2
plain,3791,-4.513042e-2,6.292983e-2
plain,3924,-3.411812e-2,5.997404e-2
plain,4061,-7.530412e-2,6.131506e-2
