scheme,age,snr_mean,snr_stderr
plain,1,5.753060e0,1.457561e-1
plain,2,5.746741e0,1.437165e-1
plain,3,5.647632e0,1.355150e-1
plain,4,5.565753e0,1.299412e-1
plain,5,5.482649e0,1.363656e-1
plain,6,5.498321e0,1.264170e-1
plain,7,5.420977e0,1.439250e-1
plain,9,5.305561e0,1.331810e-1
plain,11,5.063689e0,1.090551e-1
plain,14,4.968376e0,1.170320e-1
plain,17,4.881392e0,1.396982e-1
plain,22,4.783842e0,1.735254e-1
plain,27,4.373535e0,1.909686e-1
plain,33,3.890933e0,1.954988e-1
plain,42,3.631020e0,2.336280e-1
plain,52,2.944952e0,1.807866e-1
plain,65,2.547260e0,2.377649e-1
plain,80,2.148709e0,3.468734e-1
plain,100,1.536828e0,3.999321e-1
plain,125,1.473361e0,4.701022e-1
plain,155,9.780683e-1,4.202753e-1
plain,193,3.099350e-1,3.894096e-1
plain,241,3.263502e-1,3.978268e-1
plain,300,5.939141e-1,4.029232e-1
plain,373,2.708106e-1,3.090645e-1
plain,465,-1.207974e-1,3.254907e-1
plain,579,2.364912e-1,3.734891e-1
plain,721,-1.678368e-2,2.397897e-1
plain,897,3.252762e-1,2.591109e-1
plain,1118,3.513069e-1,4.048597e-1
plain,1392,2.791762e-1,2.693539e-1
plain,1733,4.845372e-2,3.755999e-1
plain,2158,-2.987876e-1,2.954095e-1
plain,2687,-1.146389e-1,4.113898e-1
plain,3346,-3.761352e-1,3.335436e-1
plain,4167,3.584387e-1,3.273982e-1
plain,5189,1.478654e-1,1.687252e-1
plain,6461,4.892626e-1,3.811838e-1
plain,8046,2.344038e-1,4.205205e-1
plain,10019,1.702816e-2,3.421454e-1
plain,12476,-1.979870e-1,4.704450e-1
plain,15536,5.842600e-2,3.225076e-1
plain,19347,-3.537296e-1,4.978918e-1
plain,24091,6.020780e-1,3.050383e-1
plain,30000,3.650714e-1,3.158311e-1
exp/tau=30,1,7.381042e0,1.658187e-1
exp/tau=30,2,7.344218e0,1.598005e-1
exp/tau=30,3,7.169004e0,1.610715e-1
exp/tau=30,4,7.034757e0,1.461694e-1
exp/tau=30,5,6.822735e0,1.558188e-1
exp/tau=30,6,6.822694e0,1.607630e-1
exp/tau=30,7,6.669499e0,2.421386e-1
exp/tau=30,9,6.470141e0,2.175412e-1
