scheme,rank_lo,rank_hi,visits_mean,snr_mean,recalled_fraction
plain,1,2,2.738000e3,4.610830e0,1.000000e0
plain,3,5,9.536667e2,3.528960e0,1.000000e0
plain,6,10,4.772500e2,3.254149e0,9.000000e-1
plain,11,21,2.393636e2,2.623847e0,7.159091e-1
plain,22,45,1.157396e2,1.866617e0,6.093750e-1
plain,46,96,5.412745e1,1.004594e0,4.338235e-1
plain,97,205,2.523165e1,4.779186e-1,3.073394e-1
plain,206,437,1.192511e1,2.574160e-1,2.300647e-1
plain,438,935,5.626004e0,1.130790e-1,1.992972e-1
plain,936,2000,2.616784e0,5.757992e-2,1.747653e-1
exp/tau=30,1,2,2.738000e3,6.735414e0,1.000000e0
exp/tau=30,3,5,9.536667e2,3.332141e0,7.500000e-1
exp/tau=30,6,10,4.772500e2,2.549996e0,5.500000e-1
exp/tau=30,11,21,2.393636e2,2.220974e0,5.227273e-1
exp/tau=30,22,45,1.157396e2,1.151911e0,3.593750e-1
exp/tau=30,46,96,5.412745e1,4.094632e-1,2.328431e-1
exp/tau=30,97,205,2.523165e1,1.321204e-1,1.961009e-1
exp/tau=30,206,437,1.192511e1,9.280161e-2,1.713362e-1
exp/tau=30,438,935,5.626004e0,3.057527e-2,1.631526e-1
exp/tau=30,936,2000,2.616784e0,2.145717e-2,1.647887e-1
exp/tau=100,1,2,2.738000e3,6.069493e0,1.000000e0
exp/tau=100,3,5,9.536667e2,3.944826e0,9.583333e-1
exp/tau=100,6,10,4.772500e2,3.252757e0,7.500000e-1
exp/tau=100,11,21,2.393636e2,2.531427e0,6.136364e-1
exp/tau=100,22,45,1.157396e2,1.665825e0,5.156250e-1
exp/tau=100,46,96,5.412745e1,7.139437e-1,3.259804e-1
exp/tau=100,97,205,2.523165e1,2.851586e-1,2.373853e-1
exp/tau=100,206,437,1.192511e1,1.674631e-1,1.950431e-1
exp/tau=100,438,935,5.626004e0,6.795048e-2,1.782129e-1
exp/tau=100,936,2000,2.616784e0,4.065763e-2,1.731221e-1
exp/tau=300,1,2,2.738000e3,5.355073e0,1.000000e0
exp/tau=300,3,5,9.536667e2,3.841571e0,9.583333e-1
exp/tau=300,6,10,4.772500e2,3.393588e0,9.000000e-1
exp/tau=300,11,21,2.393636e2,2.639328e0,6.590909e-1
exp/tau=300,22,45,1.157396e2,1.834839e0,5.677083e-1
exp/tau=300,46,96,5.412745e1,8.912893e-1,3.823529e-1
exp/tau=300,97,205,2.523165e1,3.966181e-1,2.821101e-1
exp/tau=300,206,437,1.192511e1,2.195597e-1,2.165948e-1
exp/tau=300,438,935,5.626004e0,9.350366e-2,1.905120e-1
exp/tau=300,936,2000,2.616784e0,5.081697e-2,1.723005e-1
exp/tau=1000,1,2,2.738000e3,4.883986e0,1.000000e0
exp/tau=1000,3,5,9.536667e2,3.659207e0,9.583333e-1
exp/tau=1000,6,10,4.772500e2,3.331209e0,9.000000e-1
exp/tau=1000,11,21,2.393636e2,2.644083e0,7.159091e-1
exp/tau=1000,22,45,1.157396e2,1.867713e0,5.989583e-1
exp/tau=1000,46,96,5.412745e1,9.701507e-1,4.215686e-1
exp/tau=1000,97,205,2.523165e1,4.516015e-1,3.038991e-1
exp/tau=1000,206,437,1.192511e1,2.451496e-1,2.246767e-1
exp/tau=1000,438,935,5.626004e0,1.067225e-1,1.960341e-1
exp/tau=1000,936,2000,2.616784e0,5.544013e-2,1.718310e-1
exp/tau=3000,1,2,2.738000e3,4.708159e0,1.000000e0
exp/tau=3000,3,5,9.536667e2,3.577129e0,1.000000e0
exp/tau=3000,6,10,4.772500e2,3.284735e0,9.000000e-1
