position,token,target,loss_nats,passthrough_nats,visits,mean_hops
0,43,23,4.192529,4.192529,1477,7.6216
1,23,37,4.233130,4.233130,1441,7.5910
2,37,28,4.285536,4.285536,1403,7.5912
3,28,53,4.221355,4.221355,1440,7.5866
4,53,21,4.270183,4.270183,1371,7.3307
5,21,53,4.211149,4.211149,1426,7.5643
6,53,21,4.183804,4.183804,1454,7.5716
7,21,53,4.125994,4.125994,1424,7.4720
8,53,21,4.098330,4.098330,1414,7.5138
9,21,54,4.051518,4.051518,1389,7.4073
10,54,43,4.174909,4.174909,1173,6.6883
11,43,23,4.157534,4.157534,1418,7.5005
12,23,0,4.159930,4.159930,1399,7.4348
13,0,62,4.237053,4.237053,1430,7.4680
14,62,46,4.175901,4.175901,1261,6.9489
15,46,63,4.335740,4.335740,1430,7.5283
16,63,8,4.240119,4.240119,1411,7.4255
17,8,4,4.159079,4.159079,1332,7.2246
18,4,23,4.274041,4.274041,1417,7.4972
19,23,37,4.186526,4.186526,1433,7.6186
20,37,47,4.047993,4.047993,1437,7.6061
21,47,35,4.034892,4.034892,1446,7.5673
22,35,43,4.099939,4.099939,1437,7.5750
23,43,23,4.112896,4.112896,1416,7.5228
24,23,0,4.110481,4.110481,1420,7.5198
25,0,43,4.231167,4.231167,1352,7.1305
26,43,23,4.065619,4.065619,1435,7.5575
27,23,0,4.060080,4.060080,1425,7.5676
28,0,57,4.101737,4.101737,1450,7.5622
29,57,2,4.159467,4.159467,1394,7.4668
30,2,9,4.175927,4.175927,1431,7.5536
31,9,13,4.204654,4.204654,1256,6.8378
32,13,31,4.278596,4.278596,1449,7.6476
33,31,30,4.275361,4.275361,1308,7.0582
34,30,31,4.242801,4.242801,1366,7.4041
35,31,30,4.172801,4.172801,1423,7.5315
36,30,31,4.139927,4.139927,1326,7.1355
37,31,30,4.071610,4.071610,1446,7.5805
38,30,31,4.037925,4.037925,1459,7.6060
39,31,42,4.171002,4.171002,1475,7.6129
40,42,40,4.335500,4.335500,1260,6.8808
41,40,23,4.254868,4.254868,1349,7.2207
42,23,62,4.169977,4.169977,1411,7.5273
43,62,46,4.131156,4.131156,1349,7.2525
44,46,62,4.104235,4.104235,1315,7.0888
45,62,46,4.033593,4.033593,1461,7.6105
46,46,63,4.286511,4.286511,1401,7.4827
47,63,63,3.027916,3.027916,1437,7.5899
48,63,8,4.185132,4.185132,1391,7.3526
49,8,27,4.204098,4.204098,1380,7.2489
50,27,16,4.279704,4.279704,1405,7.4451
51,16,40,4.217707,4.217707,1413,7.5231
52,40,24,4.296318,4.296318,1343,7.2603
53,24,62,4.273946,4.273946,1432,7.5761
