position,token,target,loss_nats,passthrough_nats,visits,mean_hops
0,25,36,4.166067,4.166067,4,1.0000
1,36,21,4.101890,4.101890,4,1.0000
2,21,9,4.235385,4.235385,4,1.0000
3,9,15,4.072522,4.072522,4,1.0000
4,15,49,4.202026,4.202026,4,1.0000
5,49,43,4.241608,4.241608,4,1.0000
6,43,11,4.185974,4.185974,4,1.0000
7,11,42,4.132384,4.132384,4,1.0000
8,42,54,4.235509,4.235509,63,1.3815
9,54,25,3.971558,3.971558,4,1.0000
10,25,36,4.116689,4.116689,227,2.7170
11,36,29,4.230332,4.230332,235,2.7147
12,29,11,4.253903,4.253903,221,2.2459
13,11,42,4.094132,4.094132,272,2.8450
14,42,0,4.079408,4.079408,399,2.9890
15,0,21,4.121723,4.121723,212,2.0381
16,21,48,4.219442,4.219442,365,2.9413
17,48,25,4.215325,4.215325,341,2.9359
18,25,2,4.164654,4.164654,356,2.9797
19,2,45,4.366879,4.366879,121,1.8622
20,45,62,3.989439,3.989439,314,2.9139
21,62,21,4.238092,4.238092,342,2.9404
22,21,48,4.183456,4.183456,385,3.1495
23,48,25,4.166192,4.166192,391,3.0215
24,25,36,4.056295,4.056295,364,3.0068
25,36,29,4.178212,4.178212,386,3.0166
26,29,11,4.206734,4.206734,327,2.9122
27,11,42,4.057185,4.057185,347,2.9826
28,42,54,4.187146,4.187146,352,2.9579
29,54,44,4.391386,4.391386,332,2.9385
30,44,36,4.073429,4.073429,331,2.9299
31,36,34,4.020170,4.020170,429,3.2036
32,34,7,4.321479,4.321479,337,2.9258
33,7,22,4.068813,4.068813,328,2.9384
34,22,47,4.201844,4.201844,338,2.9350
35,47,51,4.238488,4.238488,301,2.8816
36,51,16,4.177940,4.177940,307,2.8990
37,16,53,4.291592,4.291592,324,2.8975
38,53,0,4.197272,4.197272,326,2.9176
39,0,60,4.130003,4.130003,348,2.9296
40,60,38,4.338054,4.338054,330,2.9281
41,38,2,4.185984,4.185984,336,2.9382
42,2,12,4.268342,4.268342,360,2.9875
43,12,35,4.153843,4.153843,348,2.9468
44,35,8,4.225399,4.225399,328,2.9207
45,8,56,4.229140,4.229140,311,2.9003
46,56,1,4.115690,4.115690,341,2.9407
47,1,47,4.326185,4.326185,330,2.9130
48,47,22,4.157874,4.157874,316,2.8566
49,22,20,4.364201,4.364201,340,2.9401
50,20,10,4.013328,4.013328,294,2.8643
51,10,2,4.101866,4.101866,322,2.9204
52,2,12,4.233228,4.233228,378,3.0486
53,12,20,4.096590,4.096590,403,3.0266
54,20,10,3.974293,3.974293,405,3.0368
55,10,2,4.058415,4.058415,350,2.9260
56,2,54,4.257564,4.257564,400,3.0014
57,54,0,4.251610,4.251610,383,2.9898
58,0,60,4.084862,4.084862,347,2.9573
59,60,38,4.298897,4.298897,331,2.9476
60,38,50,4.135281,4.135281,343,2.9301
61,50,54,4.174087,4.174087,311,2.8896
62,54,25,3.944351,3.944351,382,3.0755
63,25,36,4.008421,4.008421,343,2.9428
64,36,34,3.974340,3.974340,387,2.9935
65,34,35,4.210011,4.210011,365,2.9713
66,35,0,4.317235,4.317235,345,2.9353
67,0,25,4.303672,4.303672,420,3.1302
68,25,2,4.115027,4.115027,402,3.1364
69,2,45,4.310213,4.310213,370,2.9835
70,45,30,4.153195,4.153195,306,2.9025
71,30,46,4.350233,4.350233,322,2.8985
72,46,1,4.059898,4.059898,306,2.8866
73,1,32,4.140292,4.140292,337,2.9281
74,32,9,4.239052,4.239052,318,2.9027
75,9,15,4.015054,4.015054,315,2.8968
76,15,49,4.160201,4.160201,341,2.9190
77,49,48,4.164088,4.164088,305,2.8846
78,48,6,4.264938,4.264938,341,2.9501
79,6,22,4.047218,4.047218,349,2.9463
80,22,47,4.092032,4.092032,338,2.9617
81,47,56,4.284169,4.284169,342,2.9307
82,56,6,4.215228,4.215228,343,2.9374
83,6,56,4.201967,4.201967,369,3.0120
84,56,6,4.128675,4.128675,351,2.9339
85,6,32,3.965641,3.965641,371,3.0268
86,32,61,4.256441,4.256441,372,2.9661
87,61,2,4.233754,4.233754,299,2.8777
88,2,54,4.201796,4.201796,390,3.0438
89,54,25,3.893150,3.893150,373,2.9594
90,25,36,3.961464,3.961464,405,3.0746
91,36,29,4.125813,4.125813,375,3.0427
92,29,23,4.355423,4.355423,309,2.9005
93,23,18,4.246156,4.246156,323,2.9091
94,18,12,4.352665,4.352665,303,2.8903
95,12,35,4.107235,4.107235,365,2.9787
