position,token,target,loss_nats,passthrough_nats,visits,mean_hops
0,25,36,4.166067,4.166067,4,1.0000
1,36,21,4.108161,4.101890,4,1.0000
2,21,9,4.229335,4.235277,4,1.0000
3,9,15,4.072243,4.072071,4,1.0000
4,15,49,4.197194,4.201644,4,1.0000
5,49,43,4.245239,4.241384,4,1.0000
6,43,11,4.183972,4.186194,4,1.0000
7,11,42,4.132448,4.132309,4,1.0000
8,42,54,4.236028,4.235524,63,1.3815
9,54,25,3.964583,3.971331,4,1.0000
10,25,36,4.120276,4.116085,227,2.7170
11,36,29,4.235526,4.229821,235,2.7147
12,29,11,4.256200,4.253329,221,2.2459
13,11,42,4.091124,4.093724,272,2.8449
14,42,0,4.090723,4.078880,399,2.9890
15,0,21,4.115681,4.120180,212,2.0381
16,21,48,4.211402,4.219690,364,2.9402
17,48,25,4.181778,4.215412,341,2.9359
18,25,2,4.157502,4.165119,356,2.9797
19,2,45,4.366567,4.366177,121,1.8622
20,45,62,3.965863,3.989702,314,2.9138
21,62,21,4.226595,4.237855,342,2.9404
22,21,48,4.168535,4.184224,384,3.1482
23,48,25,4.030288,4.166349,396,3.0264
24,25,36,4.092745,4.058818,367,3.0094
25,36,29,4.155234,4.174698,386,3.0038
26,29,11,4.204864,4.204929,325,2.9100
27,11,42,4.046713,4.055688,338,2.9721
28,42,54,4.218738,4.187143,349,2.9546
29,54,44,4.401933,4.391623,333,2.9407
30,44,36,4.113947,4.079125,333,2.9338
31,36,34,4.080545,4.018650,409,3.1783
32,34,7,4.325808,4.324409,337,2.9252
33,7,22,4.054523,4.068499,336,2.9546
34,22,47,4.199290,4.201156,330,2.9213
35,47,51,4.218376,4.237916,307,2.8911
36,51,16,4.170697,4.177021,338,2.9391
37,16,53,4.284527,4.291906,329,2.9042
38,53,0,4.210526,4.197855,330,2.9169
39,0,60,4.129688,4.128459,353,2.9415
40,60,38,4.331791,4.338290,348,2.9420
41,38,2,4.167560,4.187549,334,2.9386
42,2,12,4.265470,4.268641,340,2.9602
43,12,35,4.160946,4.154949,347,2.9489
44,35,8,4.204354,4.226133,309,2.9002
45,8,56,4.219628,4.229689,315,2.9066
46,56,1,4.111102,4.115894,353,2.9612
47,1,47,4.321391,4.325959,326,2.9237
48,47,22,4.174335,4.159085,341,2.9439
49,22,20,4.343912,4.364038,313,2.8966
50,20,10,4.019733,4.016244,293,2.8652
51,10,2,4.090148,4.103644,310,2.8945
52,2,12,4.208504,4.235920,393,3.0626
53,12,20,4.071262,4.090706,397,3.0109
54,20,10,3.980764,3.978987,356,3.0362
55,10,2,4.048183,4.061498,381,3.0374
56,2,54,4.173578,4.256216,383,2.9899
57,54,0,4.247413,4.253005,355,2.9782
58,0,60,4.076829,4.086555,389,3.0291
59,60,38,4.295110,4.299130,321,2.9386
60,38,50,4.132891,4.135117,341,2.9217
61,50,54,4.164966,4.173301,336,2.9384
62,54,25,3.899539,3.940627,383,3.0603
63,25,36,4.035393,4.017137,328,2.9208
64,36,34,4.028713,3.980312,366,2.9764
65,34,35,4.237227,4.206660,364,2.9621
66,35,0,4.345103,4.314845,362,3.0020
67,0,25,4.281010,4.299988,423,3.0917
68,25,2,4.164325,4.118439,391,3.0815
69,2,45,4.301505,4.307181,398,3.1232
70,45,30,4.127043,4.155406,315,2.8778
71,30,46,4.344854,4.350795,320,2.9000
72,46,1,4.055507,4.060044,313,2.8961
73,1,32,4.107808,4.141079,325,2.9164
74,32,9,4.248674,4.239196,330,2.8989
75,9,15,3.985215,4.014227,322,2.9225
76,15,49,4.147854,4.159224,346,2.9254
77,49,48,4.174499,4.168381,331,2.9258
78,48,6,4.258354,4.264667,364,2.9799
79,6,22,4.044020,4.047419,308,2.8901
80,22,47,4.064917,4.095467,340,2.9366
81,47,56,4.250731,4.284386,337,2.9321
82,56,6,4.266379,4.214613,350,2.9421
83,6,56,4.254106,4.203748,303,2.9342
84,56,6,4.229255,4.133872,363,3.0120
85,6,32,3.962562,3.967983,407,3.0658
86,32,61,4.295736,4.257177,346,2.9518
87,61,2,4.243097,4.233031,320,2.9365
88,2,54,4.189730,4.205847,367,3.0328
89,54,25,3.858551,3.898150,375,2.9722
90,25,36,4.014791,3.968457,366,2.9989
91,36,29,4.166896,4.121202,379,2.9678
92,29,23,4.322861,4.348896,344,2.9507
93,23,18,4.242046,4.245751,330,2.9212
94,18,12,4.349220,4.358003,321,2.9224
95,12,35,4.146582,4.112686,371,3.0101
96,35,8,4.155465,4.184832,352,2.9789
97,8,52,4.060256,4.136086,316,2.8943
98,52,22,4.281762,4.274187,305,2.8963
99,22,35,4.220040,4.196170,350,2.9561
100,35,0,4.230838,4.270562,402,3.0860
101,0,21,4.088627,4.082392,426,3.1147
102,21,9,4.182897,4.208919,332,2.8858
103,9,15,3.980462,3.963417,358,2.9714
104,15,49,4.137200,4.122170,365,2.9749
105,49,50,4.077486,4.140405,375,2.9708
106,50,53,4.102570,4.133310,334,2.9360
107,53,11,4.101900,4.079195,354,2.9486
108,11,42,3.979320,4.022074,325,2.9097
109,42,54,4.150581,4.146238,325,2.9249
110,54,25,3.814718,3.863518,402,3.0968
111,25,36,3.934170,3.922865,409,3.0188
112,36,34,4.025721,3.945112,403,3.0675
113,34,40,4.168105,4.143331,355,2.9648
114,40,25,4.132758,4.142333,310,2.8778
115,25,36,3.880662,3.875081,423,3.1088
116,36,34,3.970814,3.905974,381,3.0010
117,34,35,4.208832,4.160586,421,3.1239
118,35,8,4.111012,4.145917,376,2.9669
119,8,41,4.249946,4.234433,349,2.9623
120,41,6,4.077064,4.093818,319,2.9225
121,6,22,4.033616,4.009157,378,2.9914
122,22,35,4.179969,4.156119,372,2.9972
123,35,53,4.091197,4.050951,374,3.0255
124,53,11,4.022877,4.039532,361,2.9832
125,11,45,4.213411,4.188397,331,2.9257
126,45,30,4.090065,4.117975,325,2.9227
127,30,46,4.292931,4.301553,339,2.9268
128,46,1,3.985292,4.012632,306,2.8987
129,1,47,4.267770,4.294472,331,2.9176
130,47,56,4.209099,4.236199,352,2.9827
131,56,1,4.090481,4.076075,325,2.9269
132,1,19,4.273305,4.262267,325,2.9714
133,19,24,4.116230,4.110906,314,2.9087
134,24,54,4.158806,4.134359,329,2.9043
135,54,25,3.760632,3.828383,375,3.0380
136,25,29,4.080585,4.149438,420,3.0544
137,29,23,4.276756,4.308830,338,2.9364
138,23,29,4.312214,4.272023,341,2.9456
139,29,11,4.234423,4.163549,383,3.0548
140,11,42,3.942974,3.989648,357,3.0262
141,42,54,4.135865,4.100547,338,2.9314
142,54,25,3.729919,3.797625,446,3.1466
143,25,36,3.844316,3.826548,469,3.1593
144,36,34,3.898429,3.865805,389,3.0103
145,34,40,4.143662,4.092391,361,2.9629
146,40,57,4.275155,4.289172,344,2.9603
147,57,59,4.240460,4.212410,312,2.9058
148,59,10,4.141944,4.149222,309,2.8956
149,10,11,4.096158,4.076602,338,2.9259
150,11,42,3.919265,3.959755,379,3.0478
151,42,54,4.138159,4.055449,353,2.9430
152,54,0,4.240110,4.202172,392,3.0895
153,0,60,4.022195,4.052199,361,2.9890
154,60,36,4.134152,4.151586,334,2.9208
155,36,34,3.857475,3.822757,433,3.2034
156,34,40,4.044224,4.044020,394,3.0564
157,40,21,4.106608,4.120770,376,3.0072
158,21,47,4.267704,4.191818,335,2.9331
159,47,56,4.130718,4.192118,329,2.9435
160,56,6,4.162814,4.102460,341,2.9433
161,6,56,4.122852,4.089734,356,2.9714
162,56,34,4.127298,4.149470,378,2.9990
163,34,35,4.169423,4.117215,362,2.9448
164,35,53,4.018891,4.006392,339,2.9772
165,53,17,4.212472,4.186946,350,2.9446
166,17,7,4.084818,4.099171,299,2.8968
167,7,22,4.009170,4.027425,328,2.9052
168,22,35,4.109472,4.112229,351,2.9340
169,35,53,3.995554,3.961591,408,3.0949
170,53,11,4.034594,4.001547,343,3.0040
171,11,45,4.175051,4.150977,336,2.9060
172,45,63,4.326627,4.353947,320,2.9303
173,63,18,4.065778,4.066244,321,2.9036
174,18,38,4.201907,4.225854,319,2.9032
175,38,2,4.133803,4.130484,360,2.9550
176,2,54,4.159842,4.173120,346,2.9480
177,54,25,3.679344,3.766517,405,3.0325
178,25,36,3.782528,3.774129,425,3.1551
179,36,34,3.835921,3.782630,357,2.9482
180,34,40,4.006343,3.997205,438,3.1514
181,40,25,4.041405,4.102426,366,2.9701
182,25,29,4.044640,4.118242,409,3.0369
183,29,23,4.170903,4.224648,329,2.9401
184,23,29,4.251085,4.186016,335,2.9009
185,29,23,4.103092,4.133839,374,3.0386
186,23,29,4.127814,4.096441,367,2.9823
187,29,48,4.108457,4.139129,370,2.9903
188,48,6,4.228004,4.231317,307,2.8907
189,6,32,3.915073,3.930525,377,2.9996
190,32,61,4.253238,4.220514,311,2.8858
191,61,2,4.223417,4.195386,326,2.9126
192,2,54,4.097190,4.134065,385,3.0209
193,54,25,3.633658,3.726424,400,3.0862
194,25,36,3.749487,3.721567,398,3.0168
195,36,21,4.007731,4.016072,430,3.0733
196,21,9,4.151342,4.173635,344,2.9357
197,9,3,4.154019,4.150646,360,2.9867
198,3,39,4.145069,4.163450,326,2.9082
199,39,59,4.213579,4.220989,339,2.9368
200,59,15,4.179041,4.219529,342,2.9365
201,15,19,4.173652,4.154102,356,2.9655
202,19,24,4.056598,4.063564,352,2.9504
203,24,4,4.111091,4.122109,311,2.8970
204,4,23,4.284425,4.256387,318,2.9122
205,23,29,4.052591,4.046910,369,2.9826
206,29,48,4.085687,4.091463,358,2.9552
207,48,25,3.950880,4.128059,349,2.9273
208,25,2,4.107050,4.105145,388,2.9954
209,2,12,4.234766,4.213564,366,2.9898
210,12,35,4.088830,4.094379,340,2.9494
211,35,0,4.160282,4.239766,368,2.9883
212,0,25,4.198964,4.247865,373,2.9813
213,25,2,4.021598,4.047787,428,3.1317
214,2,12,4.173822,4.180897,387,3.0291
215,12,35,4.041505,4.053389,417,3.0867
216,35,53,3.969969,3.905687,381,2.9835
217,53,17,4.173101,4.152176,323,2.9252
218,17,7,4.067807,4.062434,312,2.9066
219,7,31,4.266670,4.282949,340,2.9366
220,31,30,4.323445,4.269176,331,2.9360
221,30,31,4.282895,4.243377,360,2.9551
222,31,12,4.268177,4.265119,415,3.1229
223,12,35,3.987291,4.020118,423,3.0745
224,35,8,4.108000,4.113227,432,3.1252
225,8,56,4.176895,4.172739,346,2.9150
226,56,1,4.052104,4.040876,367,2.9898
227,1,32,4.004453,4.071086,323,2.9046
228,32,61,4.217718,4.181320,312,2.8923
229,61,2,4.135916,4.161511,351,2.9544
230,2,12,4.158106,4.147743,429,3.0575
231,12,35,3.937229,3.984117,379,3.0340
232,35,53,3.894583,3.849589,387,2.9877
233,53,11,3.971988,3.963583,305,2.8816
234,11,42,3.894056,3.933982,336,2.9231
235,42,45,4.123617,4.105808,338,2.9343
236,45,63,4.279067,4.317522,327,2.9174
237,63,18,3.977594,4.012914,331,2.9341
238,18,38,4.152010,4.181693,332,2.9130
239,38,50,4.091460,4.107465,330,2.9144
240,50,53,4.057298,4.076139,335,2.9256
241,53,11,3.887838,3.928742,377,3.0648
242,11,42,3.834295,3.900818,372,3.0071
243,42,45,4.030700,4.055390,354,2.9662
244,45,63,4.228873,4.280124,339,2.9716
245,63,6,4.241460,4.237313,417,3.0293
246,6,32,3.838983,3.881032,324,2.9388
247,32,9,4.185323,4.242797,346,3.0208
248,9,3,4.079723,4.105403,350,2.9682
249,3,41,4.277040,4.276194,327,2.8951
250,41,30,4.024970,4.023436,316,2.9090
251,30,46,4.230508,4.248560,365,2.9676
252,46,47,4.399920,4.363235,330,2.9213
253,47,51,4.149231,4.191973,311,2.8879
254,51,29,4.262126,4.280544,342,2.9221
255,29,48,4.003208,4.042796,330,2.9119
256,48,6,4.154956,4.205237,373,2.9941
257,6,56,4.082758,4.067776,411,3.0492
258,56,34,4.091580,4.118408,368,3.0474
259,34,40,3.930854,3.954268,376,2.9722
260,40,21,4.068263,4.072725,338,2.9390
261,21,48,4.080539,4.127732,328,2.8891
262,48,25,3.930441,4.071628,399,3.0483
263,25,29,4.015913,4.089633,344,2.9444
264,29,23,3.970645,4.013343,380,3.0161
265,23,29,3.957441,3.969531,334,2.9241
266,29,11,4.150878,4.135383,304,2.8901
267,11,24,4.074276,4.115284,362,2.9799
268,24,4,4.094918,4.073991,327,2.9081
269,4,19,4.154119,4.154494,348,2.9465
270,19,38,4.088936,4.094116,330,2.9169
271,38,2,4.115680,4.081883,329,2.9510
272,2,12,4.100860,4.108795,408,3.0538
273,12,20,4.058145,4.055676,375,2.9798
274,20,10,3.947922,3.943772,321,2.9109
275,10,2,3.991469,4.005591,323,2.9030
276,2,45,4.226709,4.252180,366,2.9803
277,45,30,4.073831,4.087509,314,2.9147
278,30,46,4.180864,4.206067,401,3.0270
