position,token,target,loss_nats,passthrough_nats,visits,mean_hops
0,25,36,4.166067,4.166067,8,1.0000
1,36,21,4.108161,4.101890,8,1.0000
2,21,9,4.229335,4.235277,8,1.0000
3,9,15,4.072243,4.072071,8,1.0000
4,15,49,4.197194,4.201644,8,1.0000
5,49,43,4.245239,4.241384,8,1.0000
6,43,11,4.183972,4.186194,8,1.0000
7,11,42,4.132448,4.132309,8,1.0000
8,42,54,4.236042,4.235524,8,1.0000
9,54,25,3.964583,3.971333,8,1.0000
10,25,36,4.116744,4.116085,8,1.0000
11,36,29,4.231456,4.230131,8,1.0000
12,29,11,4.253678,4.253532,8,1.0000
13,11,42,4.093798,4.093520,8,1.0000
14,42,0,4.076285,4.079021,32,1.7444
15,0,21,4.116613,4.121070,12,1.1027
16,21,48,4.226296,4.219183,16,1.3118
17,48,25,4.224169,4.214949,10,1.1510
18,25,2,4.140362,4.164728,12,1.1572
19,2,45,4.367742,4.366030,8,1.0000
20,45,62,3.986341,3.989687,54,1.8732
21,62,21,4.232059,4.238522,25,1.4791
22,21,48,4.177194,4.182888,8,1.0000
23,48,25,4.182526,4.166222,23,1.2990
24,25,36,4.066389,4.056359,15,1.1202
25,36,29,4.167534,4.177392,8,1.0000
26,29,11,4.206043,4.206129,8,1.0000
27,11,42,4.075156,4.055978,9,1.0766
28,42,54,4.185224,4.188397,33,1.7012
29,54,44,4.396642,4.392004,15,1.1565
30,44,36,4.075959,4.073170,16,1.1628
31,36,34,4.008418,4.019216,8,1.0000
32,34,7,4.326133,4.321821,8,1.0000
33,7,22,4.077501,4.068930,28,1.8470
34,22,47,4.204684,4.201435,38,1.5078
35,47,51,4.237508,4.238037,38,1.9304
36,51,16,4.176144,4.177793,27,1.3256
37,16,53,4.288193,4.291758,63,2.1074
38,53,0,4.195477,4.198296,16,1.3655
39,0,60,4.123473,4.129651,9,1.0603
40,60,38,4.334938,4.337917,13,1.1625
41,38,2,4.187265,4.186387,12,1.1741
42,2,12,4.268476,4.268086,9,1.0848
43,12,35,4.151725,4.153640,90,2.3095
44,35,8,4.230095,4.225388,34,1.6012
45,8,56,4.214630,4.228682,43,1.6130
46,56,1,4.106508,4.115401,19,1.2695
47,1,47,4.325234,4.326574,45,1.6086
48,47,22,4.164258,4.157753,41,1.7240
49,22,20,4.369435,4.362675,48,1.9260
50,20,10,4.011113,4.013321,29,1.4963
51,10,2,4.092122,4.101006,15,1.3172
52,2,12,4.218276,4.233212,61,2.3174
53,12,20,4.106069,4.096790,65,2.0432
54,20,10,3.981265,3.973861,13,1.2437
55,10,2,4.056734,4.057990,23,1.3656
56,2,54,4.249812,4.257085,60,2.2404
57,54,0,4.216502,4.250333,18,1.3353
58,0,60,4.089485,4.085454,84,2.4190
59,60,38,4.298921,4.298117,29,1.3914
60,38,50,4.124759,4.135600,48,2.0244
61,50,54,4.172758,4.172985,9,1.0738
62,54,25,3.972986,3.944380,8,1.0000
63,25,36,4.013688,4.010341,103,2.4014
64,36,34,3.959933,3.974905,39,1.9648
65,34,35,4.198894,4.209626,46,1.9757
66,35,0,4.315814,4.317932,133,2.4488
67,0,25,4.320070,4.304405,16,1.4071
68,25,2,4.112571,4.115199,66,1.9578
69,2,45,4.296406,4.309650,48,1.9058
70,45,30,4.156155,4.154649,74,2.2546
71,30,46,4.351329,4.350464,48,1.8954
72,46,1,4.051415,4.060118,46,1.8419
73,1,32,4.132589,4.139756,83,2.2351
74,32,9,4.227526,4.238973,23,1.5150
75,9,15,4.008032,4.014431,40,1.9791
76,15,49,4.164769,4.160231,36,1.8091
77,49,48,4.156566,4.164617,47,1.7575
78,48,6,4.260526,4.264535,46,1.9414
79,6,22,4.046334,4.048063,32,1.5374
80,22,47,4.086299,4.092901,164,2.7164
81,47,56,4.270455,4.286333,59,2.2419
82,56,6,4.200251,4.217301,71,2.0086
83,6,56,4.235747,4.204182,29,1.6049
84,56,6,4.174517,4.131481,10,1.1017
85,6,32,3.979378,3.965832,9,1.0708
86,32,61,4.250040,4.257240,31,1.6178
87,61,2,4.227000,4.233017,16,1.3240
88,2,54,4.200132,4.202868,67,1.9604
89,54,25,3.900460,3.894702,29,1.4899
90,25,36,3.961786,3.964976,40,1.9369
91,36,29,4.157943,4.122811,25,1.5287
92,29,23,4.340267,4.353893,101,2.6929
93,23,18,4.243776,4.246205,77,2.0485
94,18,12,4.349325,4.353594,20,1.5398
95,12,35,4.100929,4.109173,31,1.6466
96,35,8,4.157637,4.182945,63,2.1307
97,8,52,4.150675,4.135118,58,1.9542
98,52,22,4.265976,4.270574,36,1.8423
99,22,35,4.189185,4.196558,67,1.9963
100,35,0,4.289846,4.274299,44,1.8241
101,0,21,4.063641,4.087254,31,1.8571
102,21,9,4.179881,4.208201,40,1.5666
103,9,15,3.985886,3.960862,33,1.4579
104,15,49,4.099687,4.122175,89,2.3128
105,49,50,4.170507,4.143831,60,2.1267
106,50,53,4.149547,4.129395,50,1.6351
107,53,11,4.026361,4.079896,52,1.9097
108,11,42,4.033324,4.019369,59,1.9257
109,42,54,4.185790,4.148620,44,1.8124
110,54,25,3.861969,3.858267,56,2.2567
111,25,36,3.895074,3.919827,57,2.2123
112,36,34,3.948880,3.936726,8,1.0000
113,34,40,4.149265,4.147748,70,2.2318
114,40,25,4.137175,4.143681,18,1.4465
115,25,36,3.867349,3.869097,42,1.9355
116,36,34,3.890039,3.891666,8,1.0000
117,34,35,4.145698,4.161466,60,2.1198
118,35,8,4.113381,4.139134,41,1.8313
119,8,41,4.244277,4.237922,29,1.7021
120,41,6,4.070022,4.089465,105,2.4741
121,6,22,4.001105,4.009339,42,1.4697
122,22,35,4.138896,4.149868,44,1.7433
123,35,53,4.032700,4.055275,21,1.3432
124,53,11,4.018096,4.040101,54,1.7422
125,11,45,4.186781,4.191794,100,2.3693
126,45,30,4.100274,4.115598,79,2.3447
127,30,46,4.305630,4.301379,67,1.8800
128,46,1,3.969682,4.012778,78,2.0320
129,1,47,4.302206,4.290051,59,2.0692
130,47,56,4.205796,4.240122,58,1.9460
131,56,1,4.086831,4.080828,20,1.4166
132,1,19,4.291731,4.265893,84,2.3144
133,19,24,4.109091,4.111842,20,1.4445
134,24,54,4.137563,4.134765,33,1.5464
135,54,25,3.824342,3.819364,43,1.6553
136,25,29,4.111523,4.149883,39,1.6063
137,29,23,4.329310,4.316059,69,2.0489
138,23,29,4.342004,4.277459,37,1.7575
139,29,11,4.154546,4.169432,103,2.4113
140,11,42,3.972724,3.986904,32,1.5479
141,42,54,4.116659,4.103804,46,1.8578
142,54,25,3.771235,3.784438,25,1.3816
143,25,36,3.814456,3.820506,42,1.6135
144,36,34,3.857864,3.844923,8,1.0000
145,34,40,4.125041,4.095915,43,1.9723
146,40,57,4.287065,4.289996,44,1.7391
147,57,59,4.185366,4.211432,71,2.0724
148,59,10,4.156917,4.149987,70,2.2778
149,10,11,4.075567,4.075621,57,2.0101
150,11,42,3.942682,3.949085,25,1.4665
151,42,54,4.087026,4.056839,95,2.3841
152,54,0,4.214902,4.187516,17,1.2807
153,0,60,4.046197,4.050295,51,1.7619
154,60,36,4.142152,4.146806,42,1.9253
155,36,34,3.792876,3.795912,8,1.0000
156,34,40,4.073522,4.042906,44,1.9867
157,40,21,4.138906,4.114589,13,1.1138
158,21,47,4.189403,4.192874,45,1.7625
159,47,56,4.156224,4.191949,70,2.2284
160,56,6,4.092721,4.097895,50,2.1674
161,6,56,4.113830,4.082677,61,2.2071
162,56,34,4.142461,4.155882,54,2.0071
163,34,35,4.100629,4.111281,22,1.5530
164,35,53,4.049459,4.006199,51,1.9072
165,53,17,4.163490,4.185798,49,1.9650
166,17,7,4.106812,4.100880,67,2.0090
167,7,22,4.061459,4.032048,33,1.7558
168,22,35,4.085413,4.104854,59,1.9142
169,35,53,3.988062,3.957399,34,1.6674
170,53,11,3.979119,4.001194,25,1.6034
171,11,45,4.197478,4.154207,51,1.8476
172,45,63,4.339062,4.362531,39,1.7831
173,63,18,4.064026,4.064716,20,1.3921
174,18,38,4.208601,4.226320,102,2.5432
175,38,2,4.158547,4.124676,63,2.1549
176,2,54,4.149917,4.166519,53,2.1755
177,54,25,3.744272,3.746916,14,1.2793
178,25,36,3.764676,3.768932,65,2.2592
179,36,34,3.737759,3.747289,8,1.0000
180,34,40,4.033272,3.989635,22,1.6048
181,40,25,4.069784,4.104820,46,2.1110
182,25,29,4.099774,4.115208,36,1.9562
183,29,23,4.201385,4.228556,33,1.7248
184,23,29,4.274217,4.188820,58,1.8609
185,29,23,4.165427,4.134204,53,2.0198
186,23,29,4.188378,4.094156,34,1.3131
187,29,48,4.100522,4.143013,42,2.0468
188,48,6,4.211443,4.226609,73,2.0616
189,6,32,3.927462,3.920767,52,2.0027
190,32,61,4.203951,4.218061,86,2.3958
191,61,2,4.184384,4.195489,28,1.5237
192,2,54,4.104810,4.126072,60,2.0931
193,54,25,3.702100,3.698668,28,1.4486
194,25,36,3.711556,3.713768,55,2.0517
195,36,21,4.048823,4.035812,10,1.1379
196,21,9,4.116766,4.173427,64,2.3005
197,9,3,4.144566,4.156865,49,1.7582
