position,token,target,loss_nats,passthrough_nats,visits,mean_hops
0,25,36,4.166067,4.166067,8,1.0000
1,36,21,4.101890,4.101890,8,1.0000
2,21,9,4.235385,4.235385,8,1.0000
3,9,15,4.072522,4.072522,8,1.0000
4,15,49,4.202026,4.202026,8,1.0000
5,49,43,4.241608,4.241608,8,1.0000
6,43,11,4.185974,4.185974,8,1.0000
7,11,42,4.132384,4.132384,8,1.0000
8,42,54,4.235509,4.235509,144,1.5887
9,54,25,3.971558,3.971558,8,1.0000
10,25,36,4.116689,4.116689,347,2.4474
11,36,29,4.230332,4.230332,370,2.4876
12,29,11,4.253903,4.253903,277,2.3132
13,11,42,4.094132,4.094132,445,2.6562
14,42,0,4.079408,4.079408,543,2.8829
15,0,21,4.121723,4.121723,306,2.2224
16,21,48,4.219442,4.219442,576,2.8644
17,48,25,4.215325,4.215325,540,2.8296
18,25,2,4.164654,4.164654,479,2.8272
19,2,45,4.366879,4.366879,339,2.4017
20,45,62,3.989439,3.989439,556,2.8549
21,62,21,4.238092,4.238092,546,2.8401
22,21,48,4.183456,4.183456,497,2.9021
23,48,25,4.166192,4.166192,443,2.7798
24,25,36,4.056295,4.056295,474,2.8226
25,36,29,4.178212,4.178212,513,2.8618
26,29,11,4.206734,4.206734,483,2.7646
27,11,42,4.057185,4.057185,468,2.8516
28,42,54,4.187146,4.187146,488,2.8167
29,54,44,4.391386,4.391386,562,2.8617
30,44,36,4.073429,4.073429,534,2.8328
31,36,34,4.020170,4.020170,465,2.7984
32,34,7,4.321479,4.321479,545,2.8226
33,7,22,4.068813,4.068813,528,2.8407
34,22,47,4.201844,4.201844,545,2.8300
35,47,51,4.238488,4.238488,531,2.8395
36,51,16,4.177940,4.177940,523,2.8073
37,16,53,4.291592,4.291592,551,2.8427
38,53,0,4.197272,4.197272,519,2.8193
39,0,60,4.130003,4.130003,493,2.8424
40,60,38,4.338054,4.338054,546,2.8415
41,38,2,4.185984,4.185984,549,2.8415
42,2,12,4.268342,4.268342,505,2.8482
43,12,35,4.153843,4.153843,509,2.7981
44,35,8,4.225399,4.225399,552,2.8505
45,8,56,4.229140,4.229140,541,2.8368
46,56,1,4.115690,4.115690,536,2.8345
47,1,47,4.326185,4.326185,520,2.8293
48,47,22,4.157874,4.157874,548,2.8446
49,22,20,4.364201,4.364201,544,2.8505
50,20,10,4.013328,4.013328,529,2.8211
51,10,2,4.101866,4.101866,550,2.8371
52,2,12,4.233228,4.233228,494,2.8295
53,12,20,4.096590,4.096590,505,2.8070
54,20,10,3.974293,3.974293,509,2.8136
55,10,2,4.058415,4.058415,470,2.7526
56,2,54,4.257564,4.257564,435,2.8116
57,54,0,4.251610,4.251610,506,2.8332
58,0,60,4.084862,4.084862,447,2.7980
59,60,38,4.298897,4.298897,553,2.8503
60,38,50,4.135281,4.135281,531,2.8257
61,50,54,4.174087,4.174087,555,2.8534
62,54,25,3.944351,3.944351,512,2.8296
63,25,36,4.008421,4.008421,480,2.8306
64,36,34,3.974340,3.974340,449,2.7905
65,34,35,4.210011,4.210011,464,2.7921
66,35,0,4.317235,4.317235,547,2.8426
67,0,25,4.303672,4.303672,441,2.8128
68,25,2,4.115027,4.115027,478,2.8575
69,2,45,4.310213,4.310213,448,2.8122
70,45,30,4.153195,4.153195,516,2.8400
71,30,46,4.350233,4.350233,517,2.8148
72,46,1,4.059898,4.059898,558,2.8534
73,1,32,4.140292,4.140292,519,2.8062
74,32,9,4.239052,4.239052,540,2.8331
75,9,15,4.015054,4.015054,532,2.8329
76,15,49,4.160201,4.160201,521,2.8236
77,49,48,4.164088,4.164088,526,2.8272
78,48,6,4.264938,4.264938,450,2.8051
79,6,22,4.047218,4.047218,538,2.8272
80,22,47,4.092032,4.092032,536,2.8454
81,47,56,4.284169,4.284169,520,2.8060
82,56,6,4.215228,4.215228,518,2.8218
83,6,56,4.201967,4.201967,538,2.8344
84,56,6,4.128675,4.128675,513,2.7928
85,6,32,3.965641,3.965641,527,2.7983
86,32,61,4.256441,4.256441,527,2.8183
87,61,2,4.233754,4.233754,533,2.8451
88,2,54,4.201796,4.201796,470,2.8184
89,54,25,3.893150,3.893150,481,2.8114
90,25,36,3.961464,3.961464,444,2.8536
91,36,29,4.125813,4.125813,438,2.8420
92,29,23,4.355423,4.355423,522,2.8376
93,23,18,4.246156,4.246156,543,2.8381
94,18,12,4.352665,4.352665,538,2.8142
95,12,35,4.107235,4.107235,489,2.7932
96,35,8,4.180829,4.180829,516,2.8206
97,8,52,4.134829,4.134829,514,2.8024
98,52,22,4.271916,4.271916,511,2.8223
99,22,35,4.199472,4.199472,527,2.8396
100,35,0,4.273514,4.273514,490,2.8311
101,0,21,4.087292,4.087292,429,2.8051
102,21,9,4.208459,4.208459,499,2.8115
103,9,15,3.960792,3.960792,524,2.8196
104,15,49,4.120228,4.120228,521,2.8081
105,49,50,4.145847,4.145847,521,2.8180
106,50,53,4.129357,4.129357,517,2.8135
107,53,11,4.080952,4.080952,524,2.8058
108,11,42,4.020760,4.020760,510,2.8174
109,42,54,4.144013,4.144013,501,2.7952
110,54,25,3.854825,3.854825,472,2.8320
111,25,36,3.910870,3.910870,474,2.8173
112,36,34,3.935993,3.935993,487,2.8341
113,34,40,4.147312,4.147312,426,2.7762
114,40,25,4.147892,4.147892,538,2.8377
115,25,36,3.855249,3.855249,467,2.7797
116,36,34,3.888265,3.888265,477,2.8099
117,34,35,4.163716,4.163716,493,2.8441
118,35,8,4.134123,4.134123,473,2.8026
119,8,41,4.236182,4.236182,492,2.7934
120,41,6,4.088965,4.088965,564,2.8608
121,6,22,4.008400,4.008400,520,2.8241
122,22,35,4.150608,4.150608,526,2.8357
123,35,53,4.056346,4.056346,478,2.7953
124,53,11,4.039523,4.039523,497,2.8184
125,11,45,4.188155,4.188155,532,2.8188
126,45,30,4.113303,4.113303,540,2.8435
127,30,46,4.299799,4.299799,521,2.8248
128,46,1,4.012332,4.012332,540,2.8395
129,1,47,4.289507,4.289507,507,2.8093
130,47,56,4.233252,4.233252,524,2.8048
131,56,1,4.078435,4.078435,486,2.8346
132,1,19,4.261652,4.261652,511,2.8219
133,19,24,4.109706,4.109706,526,2.8324
134,24,54,4.134483,4.134483,524,2.8322
135,54,25,3.814698,3.814698,478,2.8025
136,25,29,4.140472,4.140472,447,2.8308
137,29,23,4.314478,4.314478,523,2.8257
138,23,29,4.273442,4.273442,540,2.8255
139,29,11,4.170526,4.170526,524,2.8191
140,11,42,3.987066,3.987066,463,2.7941
141,42,54,4.096389,4.096389,514,2.8170
142,54,25,3.777059,3.777059,467,2.8115
143,25,36,3.804138,3.804138,459,2.8205
144,36,34,3.840164,3.840164,459,2.8107
145,34,40,4.091607,4.091607,475,2.7980
146,40,57,4.289500,4.289500,515,2.8036
147,57,59,4.211804,4.211804,538,2.8314
148,59,10,4.151655,4.151655,536,2.8428
149,10,11,4.078007,4.078007,514,2.8290
150,11,42,3.948837,3.948837,494,2.7998
151,42,54,4.046240,4.046240,533,2.8360
152,54,0,4.191917,4.191917,475,2.8409
153,0,60,4.050872,4.050872,472,2.8357
154,60,36,4.141840,4.141840,514,2.8197
155,36,34,3.790307,3.790307,428,2.8394
156,34,40,4.033980,4.033980,472,2.7783
157,40,21,4.114864,4.114864,518,2.8299
158,21,47,4.195106,4.195106,462,2.7784
159,47,56,4.182288,4.182288,525,2.8346
160,56,6,4.093667,4.093667,517,2.8188
161,6,56,4.077323,4.077323,537,2.8352
162,56,34,4.150925,4.150925,527,2.8271
163,34,35,4.112332,4.112332,506,2.8419
164,35,53,4.005559,4.005559,457,2.8289
165,53,17,4.185497,4.185497,506,2.8151
166,17,7,4.100551,4.100551,560,2.8487
167,7,22,4.031511,4.031511,527,2.8203
168,22,35,4.102171,4.102171,514,2.8250
169,35,53,3.954838,3.954838,461,2.8556
170,53,11,3.998844,3.998844,491,2.8097
171,11,45,4.148401,4.148401,514,2.8149
172,45,63,4.362175,4.362175,538,2.8373
173,63,18,4.064041,4.064041,527,2.8229
174,18,38,4.226319,4.226319,551,2.8512
175,38,2,4.124459,4.124459,525,2.8240
176,2,54,4.166636,4.166636,455,2.8010
177,54,25,3.737531,3.737531,468,2.8027
178,25,36,3.750425,3.750425,477,2.8224
179,36,34,3.740477,3.740477,449,2.8032
180,34,40,3.973794,3.973794,462,2.7935
181,40,25,4.106316,4.106316,539,2.8303
182,25,29,4.100873,4.100873,488,2.8147
183,29,23,4.222761,4.222761,533,2.8255
184,23,29,4.179668,4.179668,534,2.8316
185,29,23,4.123571,4.123571,505,2.8034
186,23,29,4.080711,4.080711,413,2.5044
187,29,48,4.146655,4.146655,518,2.8116
188,48,6,4.227072,4.227072,493,2.8116
189,6,32,3.920417,3.920417,510,2.8138
190,32,61,4.215400,4.215400,526,2.8337
191,61,2,4.193183,4.193183,517,2.8139
192,2,54,4.124331,4.124331,500,2.8615
193,54,25,3.690896,3.690896,482,2.8294
194,25,36,3.689632,3.689632,480,2.8407
195,36,21,4.027164,4.027164,486,2.8140
196,21,9,4.172564,4.172564,498,2.8069
197,9,3,4.155618,4.155618,497,2.7961
198,3,39,4.158861,4.158861,532,2.8255
199,39,59,4.218840,4.218840,521,2.8278
200,59,15,4.217071,4.217071,518,2.8112
201,15,19,4.155822,4.155822,505,2.8123
202,19,24,4.061107,4.061107,519,2.8186
203,24,4,4.119836,4.119836,482,2.7858
204,4,23,4.243458,4.243458,550,2.8492
205,23,29,4.024760,4.024760,520,2.8221
206,29,48,4.098226,4.098226,531,2.8033
207,48,25,4.134152,4.134152,488,2.8175
208,25,2,4.111465,4.111465,478,2.7980
209,2,12,4.209869,4.209869,461,2.7990
210,12,35,4.090957,4.090957,499,2.8141
211,35,0,4.244921,4.244921,458,2.8088
212,0,25,4.237426,4.237426,487,2.8172
213,25,2,4.047868,4.047868,463,2.8233
214,2,12,4.169648,4.169648,486,2.7849
215,12,35,4.044167,4.044167,505,2.8121
216,35,53,3.894096,3.894096,444,2.7835
217,53,17,4.148127,4.148127,516,2.8257
218,17,7,4.060767,4.060767,563,2.8552
219,7,31,4.285607,4.285607,540,2.8426
220,31,30,4.270519,4.270519,524,2.8288
221,30,31,4.240172,4.240172,509,2.8149
222,31,12,4.261253,4.261253,527,2.8067
223,12,35,4.006063,4.006063,473,2.7998
224,35,8,4.086250,4.086250,511,2.8195
225,8,56,4.169973,4.169973,490,2.7931
226,56,1,4.047466,4.047466,486,2.8130
227,1,32,4.066205,4.066205,490,2.8432
228,32,61,4.170595,4.170595,521,2.8203
229,61,2,4.160418,4.160418,532,2.8337
230,2,12,4.129086,4.129086,446,2.8453
231,12,35,3.960155,3.960155,496,2.8198
232,35,53,3.834122,3.834122,511,2.8203
233,53,11,3.959158,3.959158,520,2.8315
234,11,42,3.914061,3.914061,522,2.7992
235,42,45,4.103834,4.103834,525,2.8339
236,45,63,4.321714,4.321714,531,2.8107
237,63,18,4.008345,4.008345,522,2.8076
238,18,38,4.178755,4.178755,561,2.8715
239,38,50,4.102850,4.102850,491,2.8001
240,50,53,4.079971,4.079971,519,2.8320
241,53,11,3.918593,3.918593,488,2.8084
242,11,42,3.876088,3.876088,483,2.8036
243,42,45,4.048005,4.048005,536,2.8325
244,45,63,4.283695,4.283695,525,2.8006
245,63,6,4.242403,4.242403,535,2.8276
246,6,32,3.860843,3.860843,539,2.8594
247,32,9,4.238559,4.238559,512,2.8265
248,9,3,4.106443,4.106443,510,2.8156
249,3,41,4.274556,4.274556,542,2.8337
250,41,30,4.032358,4.032358,552,2.8452
251,30,46,4.248873,4.248873,497,2.7948
252,46,47,4.361131,4.361131,528,2.8342
253,47,51,4.197274,4.197274,541,2.8664
254,51,29,4.281044,4.281044,507,2.8249
255,29,48,4.043799,4.043799,531,2.8447
256,48,6,4.199062,4.199062,463,2.7799
257,6,56,4.048041,4.048041,494,2.7894
258,56,34,4.115415,4.115415,472,2.7998
259,34,40,3.915110,3.915110,493,2.8318
260,40,21,4.049357,4.049357,511,2.8185
261,21,48,4.120240,4.120240,511,2.8173
262,48,25,4.071302,4.071302,440,2.7686
263,25,29,4.067374,4.067374,483,2.7971
264,29,23,3.985972,3.985972,531,2.8340
265,23,29,3.936318,3.936318,514,2.8158
266,29,11,4.158626,4.158626,527,2.8136
267,11,24,4.117384,4.117384,495,2.7954
268,24,4,4.068415,4.068415,517,2.7978
269,4,19,4.151554,4.151554,540,2.8367
270,19,38,4.098786,4.098786,526,2.8225
271,38,2,4.075138,4.075138,524,2.8253
272,2,12,4.083864,4.083864,480,2.7991
273,12,20,4.058905,4.058905,500,2.8334
274,20,10,3.935112,3.935112,517,2.8170
275,10,2,3.987272,3.987272,514,2.8151
276,2,45,4.251589,4.251589,458,2.7948
277,45,30,4.080316,4.080316,504,2.8319
278,30,46,4.199101,4.199101,489,2.7989
279,46,47,4.309493,4.309493,515,2.8251
280,47,22,4.052852,4.052852,526,2.8156
281,22,35,4.066350,4.066350,534,2.8299
282,35,0,4.208577,4.208577,529,2.8434
283,0,60,4.017859,4.017859,463,2.8007
284,60,38,4.265239,4.265239,527,2.8272
285,38,2,4.015246,4.015246,471,2.7886
286,2,45,4.194742,4.194742,469,2.8226
287,45,30,4.034702,4.034702,512,2.8170
288,30,46,4.148541,4.148541,489,2.8077
289,46,47,4.258192,4.258192,496,2.8063
290,47,56,4.127404,4.127404,509,2.8254
291,56,1,4.005669,4.005669,491,2.8160
292,1,32,4.002026,4.002026,481,2.7911
293,32,61,4.131685,4.131685,528,2.8155
294,61,34,4.231291,4.231291,517,2.8180
295,34,35,4.092091,4.092091,497,2.8150
296,35,8,4.039511,4.039511,529,2.8409
297,8,41,4.180538,4.180538,522,2.8308
298,41,6,4.045596,4.045596,539,2.8363
299,6,32,3.812265,3.812265,502,2.8162
300,32,27,4.166394,4.166394,521,2.8265
301,27,2,4.115520,4.115520,537,2.8271
302,2,12,4.050212,4.050212,480,2.8251
303,12,35,3.930284,3.930284,480,2.8066
304,35,53,3.778600,3.778600,507,2.8017
305,53,17,4.112191,4.112191,491,2.8004
306,17,1,4.102774,4.102774,550,2.8532
307,1,47,4.197282,4.197282,505,2.8244
308,47,22,4.000049,4.000049,511,2.8269
309,22,20,4.344171,4.344171,548,2.8315
310,20,3,4.167102,4.167102,525,2.8434
311,3,41,4.239063,4.239063,555,2.8642
312,41,6,4.009612,4.009612,562,2.8425
313,6,32,3.768292,3.768292,518,2.8063
314,32,9,4.219472,4.219472,489,2.8027
315,9,15,3.910450,3.910450,513,2.8320
316,15,19,4.121575,4.121575,506,2.8295
317,19,51,4.168198,4.168198,515,2.8189
318,51,16,4.117129,4.117129,515,2.8186
319,16,21,4.050334,4.050334,528,2.8254
