position,token,target,loss_nats,passthrough_nats,visits,mean_hops
0,25,36,4.166067,4.166067,8,1.0000
1,36,21,4.108161,4.101890,8,1.0000
2,21,9,4.229335,4.235277,8,1.0000
3,9,15,4.072243,4.072071,8,1.0000
4,15,49,4.197194,4.201644,8,1.0000
5,49,43,4.245239,4.241384,8,1.0000
6,43,11,4.183972,4.186194,8,1.0000
7,11,42,4.132448,4.132309,8,1.0000
8,42,54,4.237262,4.235524,144,1.5887
9,54,25,3.964579,3.971500,8,1.0000
10,25,36,4.116165,4.116083,347,2.4474
11,36,29,4.229136,4.229964,370,2.4876
12,29,11,4.252139,4.253724,277,2.3132
13,11,42,4.086834,4.093989,445,2.6562
14,42,0,4.122963,4.078573,543,2.8829
15,0,21,4.118890,4.119403,306,2.2224
16,21,48,4.218717,4.219415,576,2.8644
17,48,25,4.206340,4.215990,540,2.8297
18,25,2,4.180569,4.163501,478,2.8262
19,2,45,4.369246,4.366137,339,2.4017
20,45,62,3.978436,3.989281,556,2.8548
21,62,21,4.259611,4.239781,546,2.8401
22,21,48,4.131694,4.184039,497,2.9011
23,48,25,4.145959,4.170465,443,2.7792
24,25,36,4.041155,4.059122,475,2.8240
25,36,29,4.181460,4.175362,499,2.8526
26,29,11,4.198154,4.207828,484,2.7650
27,11,42,4.029018,4.056983,460,2.8507
28,42,54,4.210305,4.188203,484,2.8244
29,54,44,4.401717,4.390303,559,2.8600
30,44,36,4.114377,4.076327,538,2.8367
31,36,34,4.052282,4.021046,484,2.8124
32,34,7,4.326498,4.323694,544,2.8218
33,7,22,4.055390,4.068703,528,2.8422
34,22,47,4.206494,4.201820,546,2.8314
35,47,51,4.235757,4.237435,532,2.8422
36,51,16,4.193728,4.176067,524,2.8081
37,16,53,4.280382,4.292269,546,2.8380
38,53,0,4.173352,4.198841,525,2.8223
39,0,60,4.132945,4.130425,491,2.8399
40,60,38,4.327876,4.334761,548,2.8363
41,38,2,4.200866,4.187596,548,2.8420
42,2,12,4.263926,4.267561,471,2.8231
43,12,35,4.166974,4.156170,498,2.7846
44,35,8,4.204666,4.226002,536,2.8423
45,8,56,4.207598,4.228793,544,2.8448
46,56,1,4.115524,4.113697,537,2.8347
47,1,47,4.317976,4.326475,531,2.8414
48,47,22,4.128067,4.159902,540,2.8369
49,22,20,4.363159,4.360662,535,2.8608
50,20,10,4.038091,4.013227,530,2.8215
51,10,2,4.118318,4.104903,555,2.8469
52,2,12,4.230152,4.236215,465,2.7817
53,12,20,4.080164,4.094141,502,2.8185
54,20,10,4.022854,3.975117,541,2.8511
55,10,2,4.101433,4.063117,535,2.8037
56,2,54,4.156567,4.255125,486,2.8316
57,54,0,4.259336,4.250883,493,2.8230
58,0,60,4.069349,4.089182,464,2.8145
59,60,38,4.284406,4.296224,525,2.8149
60,38,50,4.104906,4.136171,524,2.8295
61,50,54,4.151725,4.172864,550,2.8492
62,54,25,3.966263,3.942898,471,2.8093
63,25,36,4.024240,4.016912,494,2.8480
64,36,34,3.980994,3.980890,483,2.7904
65,34,35,4.215211,4.210218,495,2.8266
66,35,0,4.275987,4.314310,538,2.8358
67,0,25,4.352104,4.305530,461,2.8267
68,25,2,4.169095,4.117137,457,2.8423
69,2,45,4.269152,4.307583,500,2.8525
70,45,30,4.148990,4.155482,513,2.8403
71,30,46,4.290651,4.349733,528,2.8386
72,46,1,4.106596,4.058775,551,2.8473
73,1,32,4.159861,4.141592,495,2.8184
74,32,9,4.247680,4.240710,545,2.8379
75,9,15,4.011453,4.015001,524,2.8285
76,15,49,4.148748,4.159443,521,2.8233
77,49,48,4.128672,4.163282,532,2.8272
78,48,6,4.247925,4.263504,465,2.8024
79,6,22,4.062157,4.049931,555,2.8478
80,22,47,4.080506,4.100369,522,2.8186
81,47,56,4.260593,4.287335,500,2.8164
82,56,6,4.210195,4.213932,512,2.8168
83,6,56,4.234628,4.203889,541,2.8423
84,56,6,4.198937,4.134994,485,2.7756
85,6,32,4.051667,3.966819,534,2.8019
86,32,61,4.224955,4.252570,538,2.8373
87,61,2,4.221939,4.232149,520,2.8255
88,2,54,4.160415,4.209772,460,2.8231
89,54,25,3.938430,3.901764,458,2.8038
90,25,36,3.971152,3.973750,458,2.7962
91,36,29,4.158740,4.126651,471,2.8339
92,29,23,4.328226,4.350558,511,2.8248
93,23,18,4.230659,4.246530,531,2.8307
94,18,12,4.343273,4.356371,537,2.8258
95,12,35,4.098960,4.113168,507,2.8149
96,35,8,4.121822,4.184326,506,2.8091
97,8,52,4.135010,4.135854,493,2.7856
98,52,22,4.271601,4.275466,532,2.8399
99,22,35,4.221953,4.200711,538,2.8479
100,35,0,4.271267,4.270962,489,2.8159
101,0,21,4.086460,4.082617,446,2.7921
102,21,9,4.172906,4.210834,487,2.7994
103,9,15,3.986443,3.963538,525,2.8245
104,15,49,4.133405,4.123730,526,2.8151
105,49,50,4.111147,4.143376,525,2.8060
106,50,53,4.114114,4.130888,531,2.8314
107,53,11,4.084882,4.079514,512,2.7960
108,11,42,4.028622,4.023101,501,2.7966
109,42,54,4.174094,4.151712,492,2.7891
110,54,25,3.874787,3.865865,439,2.8089
111,25,36,3.951627,3.928962,461,2.8217
112,36,34,3.975352,3.948090,445,2.7919
113,34,40,4.171816,4.141309,467,2.7826
114,40,25,4.100557,4.139837,537,2.8414
115,25,36,3.904468,3.884768,474,2.7998
116,36,34,3.949431,3.907746,436,2.7728
117,34,35,4.196801,4.168621,460,2.8056
118,35,8,4.090658,4.142194,491,2.8092
119,8,41,4.244030,4.235086,509,2.8044
120,41,6,4.060891,4.093509,569,2.8642
121,6,22,4.025272,4.014730,529,2.8333
122,22,35,4.134953,4.157645,538,2.8421
123,35,53,4.017651,4.062454,443,2.7983
124,53,11,4.036602,4.039040,504,2.8155
125,11,45,4.187880,4.188559,507,2.8303
126,45,30,4.133818,4.119469,530,2.8311
127,30,46,4.262714,4.302396,511,2.8331
128,46,1,4.001596,4.012734,542,2.8389
129,1,47,4.226336,4.293490,498,2.8124
130,47,56,4.212414,4.241444,535,2.8595
131,56,1,4.079603,4.082740,514,2.8373
132,1,19,4.264655,4.262612,519,2.8328
133,19,24,4.090082,4.110206,522,2.8363
134,24,54,4.109047,4.141993,523,2.8208
135,54,25,3.836635,3.826964,479,2.8261
136,25,29,4.088166,4.150752,443,2.8290
137,29,23,4.289530,4.313752,529,2.8352
138,23,29,4.286886,4.277172,531,2.8198
139,29,11,4.172002,4.168192,489,2.8088
140,11,42,3.970187,3.988709,517,2.8417
141,42,54,4.081103,4.107087,511,2.8019
142,54,25,3.793484,3.795038,452,2.8140
143,25,36,3.854818,3.839338,468,2.8174
144,36,34,3.930174,3.868482,474,2.8561
145,34,40,4.126980,4.083448,494,2.7924
146,40,57,4.306973,4.290980,510,2.8169
147,57,59,4.169416,4.214936,545,2.8292
148,59,10,4.187611,4.153021,523,2.8349
149,10,11,4.049674,4.079191,531,2.8437
150,11,42,3.932496,3.953196,490,2.7916
151,42,54,4.073111,4.062270,495,2.7892
152,54,0,4.214488,4.197947,475,2.8338
153,0,60,4.047081,4.049431,459,2.8098
154,60,36,4.188898,4.151765,529,2.8288
155,36,34,3.832672,3.827952,481,2.8038
156,34,40,4.045771,4.032170,497,2.8108
157,40,21,4.055563,4.115399,522,2.8251
158,21,47,4.235573,4.191087,497,2.7854
159,47,56,4.139383,4.196184,522,2.8255
160,56,6,4.117610,4.106689,482,2.7961
161,6,56,4.153489,4.094358,512,2.8311
162,56,34,4.186761,4.157753,496,2.7971
163,34,35,4.156826,4.129451,509,2.8295
164,35,53,4.006227,4.021156,510,2.8404
165,53,17,4.186761,4.184193,494,2.8136
166,17,7,4.113945,4.101146,563,2.8485
167,7,22,4.051271,4.033311,530,2.8265
168,22,35,4.091977,4.113436,522,2.8323
169,35,53,3.925266,3.975963,452,2.8130
170,53,11,4.014099,3.993434,470,2.7917
171,11,45,4.187894,4.152273,519,2.8290
172,45,63,4.324256,4.353005,534,2.8357
173,63,18,4.085329,4.069157,531,2.8289
174,18,38,4.243364,4.230628,538,2.8345
175,38,2,4.171275,4.128806,536,2.8262
176,2,54,4.177866,4.177705,486,2.8437
177,54,25,3.775002,3.764637,453,2.8254
178,25,36,3.824869,3.794648,477,2.8143
179,36,34,3.791404,3.784382,472,2.8011
180,34,40,3.976372,3.978530,480,2.7938
181,40,25,4.022110,4.097788,527,2.8278
182,25,29,4.059420,4.126461,478,2.7865
183,29,23,4.200290,4.230101,533,2.8323
184,23,29,4.214579,4.191394,520,2.8272
185,29,23,4.197101,4.138804,494,2.7859
186,23,29,4.140501,4.101583,486,2.7515
187,29,48,4.087188,4.129439,527,2.8371
188,48,6,4.172863,4.229302,504,2.8187
189,6,32,3.956034,3.930655,495,2.8079
190,32,61,4.202389,4.215540,524,2.8340
191,61,2,4.220909,4.193146,506,2.8285
192,2,54,4.058728,4.140246,457,2.8301
193,54,25,3.735233,3.718177,429,2.7856
194,25,36,3.736973,3.739123,464,2.7925
195,36,21,4.068372,4.037152,426,2.7464
196,21,9,4.112807,4.177182,494,2.8200
197,9,3,4.136192,4.160990,525,2.8151
