position,token,target,loss_nats,passthrough_nats,visits,mean_hops
0,43,23,4.192529,4.192529,1483,7.6269
1,23,37,4.233130,4.233130,1462,7.6471
2,37,28,4.285536,4.285536,1440,7.6263
3,28,53,4.221355,4.221355,1449,7.5816
4,53,21,4.270183,4.270183,1460,7.6057
5,21,53,4.211149,4.211149,1421,7.4895
6,53,21,4.183804,4.183804,1295,6.9000
7,21,53,4.125994,4.125994,1412,7.5444
8,53,21,4.098330,4.098330,1447,7.5845
9,21,54,4.051518,4.051518,1411,7.5149
10,54,43,4.174909,4.174909,1305,7.0164
11,43,23,4.157534,4.157534,1448,7.5446
12,23,0,4.159930,4.159930,1383,7.3464
13,0,62,4.237053,4.237053,1406,7.4673
14,62,46,4.175901,4.175901,1380,7.4214
15,46,63,4.335740,4.335740,1342,7.1568
16,63,8,4.240119,4.240119,1284,6.9058
17,8,4,4.159079,4.159079,1365,7.3518
18,4,23,4.274041,4.274041,1405,7.3877
19,23,37,4.186526,4.186526,1402,7.4060
20,37,47,4.047993,4.047993,1424,7.5040
21,47,35,4.034892,4.034892,1406,7.4534
22,35,43,4.099939,4.099939,1358,7.2891
23,43,23,4.112896,4.112896,1447,7.5363
24,23,0,4.110481,4.110481,1429,7.4762
25,0,43,4.231167,4.231167,1396,7.4631
26,43,23,4.065619,4.065619,1419,7.4890
27,23,0,4.060080,4.060080,1426,7.5110
28,0,57,4.101737,4.101737,1444,7.5420
29,57,2,4.159467,4.159467,1278,6.9044
30,2,9,4.175927,4.175927,1428,7.5117
31,9,13,4.204654,4.204654,1201,6.6752
32,13,31,4.278596,4.278596,1429,7.5384
33,31,30,4.275361,4.275361,1407,7.4386
34,30,31,4.242801,4.242801,1341,7.2941
35,31,30,4.172801,4.172801,1403,7.4607
36,30,31,4.139927,4.139927,1329,7.0800
37,31,30,4.071610,4.071610,1438,7.5927
38,30,31,4.037925,4.037925,1437,7.5936
39,31,42,4.171002,4.171002,1446,7.5454
40,42,40,4.335500,4.335500,1281,6.9132
41,40,23,4.254868,4.254868,1372,7.3740
42,23,62,4.169977,4.169977,1329,7.0919
43,62,46,4.131156,4.131156,1154,6.3454
44,46,62,4.104235,4.104235,1411,7.4765
45,62,46,4.033593,4.033593,1284,6.8994
46,46,63,4.286511,4.286511,1424,7.5556
47,63,63,3.027916,3.027916,1337,7.1050
48,63,8,4.185132,4.185132,1467,7.6048
49,8,27,4.204098,4.204098,1288,7.0910
50,27,16,4.279704,4.279704,1268,6.9599
51,16,40,4.217707,4.217707,1454,7.5768
52,40,24,4.296318,4.296318,1322,7.1404
53,24,62,4.273946,4.273946,1326,7.1358
54,62,46,3.984195,3.984195,1327,7.1378
55,46,63,4.238548,4.238548,1361,7.2032
56,63,63,2.928746,2.928746,1433,7.5325
57,63,8,4.124005,4.124005,1428,7.5398
58,8,27,4.152345,4.152345,1441,7.5593
59,27,16,4.250333,4.250333,1435,7.5356
60,16,4,4.338839,4.338839,1404,7.4481
61,4,40,4.256981,4.256981,1392,7.4208
62,40,23,4.204329,4.204329,1409,7.5264
63,23,37,4.150244,4.150244,1362,7.2495
64,37,62,4.130727,4.130727,1403,7.4757
65,62,21,4.204847,4.204847,1331,7.1654
66,21,53,4.038245,4.038245,1284,6.8659
67,53,21,4.009058,4.009058,1403,7.5099
68,21,55,4.078417,4.078417,1439,7.5162
69,55,30,3.942875,3.942875,1334,7.2143
70,30,10,4.116755,4.116755,1380,7.4019
71,10,37,4.255143,4.255143,1446,7.5565
72,37,28,4.243479,4.243479,1440,7.5582
73,28,10,4.216680,4.216680,1282,6.9824
74,10,37,4.209944,4.209944,1375,7.1787
75,37,47,4.003940,4.003940,1404,7.4669
76,47,63,4.146640,4.146640,1245,6.7489
77,63,8,4.045961,4.045961,1387,7.3717
78,8,4,4.151552,4.151552,1355,7.0882
79,4,23,4.230754,4.230754,1430,7.5498
80,23,62,4.123715,4.123715,1466,7.5616
81,62,21,4.148142,4.148142,1440,7.5490
82,21,53,3.950437,3.950437,1429,7.5245
83,53,45,4.073205,4.073205,1381,7.3565
84,45,54,4.166689,4.166689,1386,7.3971
85,54,30,3.988746,3.988746,1381,7.4212
86,30,10,4.069165,4.069165,1437,7.5460
87,10,61,4.105158,4.105158,1320,7.0865
88,61,33,4.127078,4.127078,1289,6.9938
89,33,47,4.160375,4.160375,1362,7.2681
90,47,35,3.987600,3.987600,1325,7.1450
91,35,43,4.059876,4.059876,1186,6.5408
92,43,57,4.194570,4.194570,1273,6.9342
93,57,22,4.378125,4.378125,1373,7.1938
94,22,38,4.172608,4.172608,1252,6.7864
95,38,0,4.220327,4.220327,1402,7.3427
96,0,57,4.062731,4.062731,1400,7.4484
97,57,22,4.322771,4.322771,1352,7.0925
98,22,60,4.191385,4.191385,1325,7.2226
99,60,22,4.121091,4.121091,1396,7.4045
100,22,38,4.130769,4.130769,1419,7.4752
101,38,49,4.197441,4.197441,1455,7.6279
102,49,24,4.307191,4.307191,1419,7.5628
103,24,36,4.110425,4.110425,1369,7.3396
104,36,44,4.081510,4.081510,1352,7.2733
105,44,1,4.217854,4.217854,1377,7.3243
106,1,59,4.155502,4.155502,1380,7.4335
107,59,43,4.303145,4.303145,1313,7.0784
108,43,3,4.129451,4.129451,1445,7.5540
109,3,25,4.220140,4.220140,1427,7.5571
110,25,44,4.163864,4.163864,1263,6.8677
111,44,1,4.166291,4.166291,1443,7.5484
112,1,46,4.066226,4.066226,1395,7.4933
113,46,63,4.208219,4.208219,1374,7.3911
114,63,63,2.816243,2.816243,1439,7.5696
115,63,63,2.691252,2.691252,1424,7.5153
116,63,63,2.556707,2.556707,1455,7.5772
117,63,8,3.975787,3.975787,1415,7.3882
118,8,4,4.118239,4.118239,1320,7.0681
119,4,40,4.203296,4.203296,1340,7.2188
120,40,23,4.154392,4.154392,1406,7.4587
121,23,62,4.078972,4.078972,1429,7.5149
122,62,48,4.309218,4.309218,1333,7.1366
123,48,13,4.037122,4.037122,1424,7.5280
124,13,32,4.096647,4.096647,1418,7.5402
125,32,29,4.187122,4.187122,1445,7.5806
126,29,4,4.097885,4.097885,1347,7.2169
127,4,40,4.149925,4.149925,1432,7.5388
128,40,33,4.088829,4.088829,1322,7.1412
129,33,62,4.232789,4.232789,1428,7.5413
130,62,48,4.262418,4.262418,1273,6.9842
131,48,41,4.060838,4.060838,1353,7.2272
132,41,24,4.130034,4.130034,1378,7.3152
133,24,62,4.221359,4.221359,1279,7.0004
134,62,46,3.953804,3.953804,1411,7.4621
135,46,63,4.153453,4.153453,1428,7.5315
136,63,8,3.886640,3.886640,1462,7.5826
137,8,2,4.240663,4.240663,1365,7.3803
138,2,52,4.132127,4.132127,1405,7.4847
139,52,8,4.169548,4.169548,1428,7.5283
140,8,27,4.083481,4.083481,1297,7.1141
141,27,16,4.219365,4.219365,1376,7.3689
142,16,40,4.184786,4.184786,1443,7.5685
143,40,33,4.037632,4.037632,1424,7.5593
144,33,62,4.191550,4.191550,1394,7.4190
145,62,48,4.216225,4.216225,1441,7.5598
146,48,20,4.083831,4.083831,1405,7.4641
147,20,19,4.244414,4.244414,1403,7.5017
148,19,51,4.139432,4.139432,1346,7.1160
149,51,4,4.271918,4.271918,1404,7.4665
150,4,40,4.106612,4.106612,1323,7.1151
151,40,23,4.108407,4.108407,1407,7.5011
152,23,0,4.035708,4.035708,1391,7.4289
