position,token,target,loss_nats,passthrough_nats,visits,mean_hops
0,43,23,4.192529,4.192529,1483,7.6269
1,23,37,4.232443,4.232443,1462,7.6471
2,37,28,4.286146,4.286146,1440,7.6263
3,28,53,4.222926,4.222926,1449,7.5816
4,53,21,4.269806,4.269806,1460,7.6057
5,21,53,4.232815,4.232815,1421,7.4895
6,53,21,4.234845,4.234845,1295,6.9000
7,21,53,4.209203,4.209203,1414,7.5466
8,53,21,4.215467,4.215467,1444,7.5814
9,21,54,4.041161,4.041161,1408,7.5114
10,54,43,4.173760,4.173760,1299,7.0096
11,43,23,4.188409,4.188409,1453,7.5525
12,23,0,4.154153,4.154153,1435,7.5204
13,0,62,4.237329,4.237329,1450,7.5665
14,62,46,4.177252,4.177252,1421,7.5326
15,46,63,4.336317,4.336317,1372,7.2339
16,63,8,4.242590,4.242590,1351,7.1636
17,8,4,4.155837,4.155837,1358,7.2723
18,4,23,4.271497,4.271497,1378,7.3528
19,23,37,4.226959,4.226959,1386,7.4191
20,37,47,4.046765,4.046765,1391,7.4475
21,47,35,4.036288,4.036288,1442,7.5306
22,35,43,4.096952,4.096952,1366,7.2251
23,43,23,4.178930,4.178930,1439,7.5244
24,23,0,4.145740,4.145740,1448,7.5644
25,0,43,4.229013,4.229013,1401,7.4907
26,43,23,4.169766,4.169766,1417,7.4595
27,23,0,4.133803,4.133803,1426,7.5158
28,0,57,4.086246,4.086246,1321,7.1053
29,57,2,4.162437,4.162437,1356,7.2934
30,2,9,4.176239,4.176239,1403,7.4868
31,9,13,4.207726,4.207726,1126,6.4859
32,13,31,4.278112,4.278112,1409,7.3517
33,31,30,4.274155,4.274155,1384,7.4120
34,30,31,4.269270,4.269270,1403,7.4617
35,31,30,4.232911,4.232911,1317,7.0762
36,30,31,4.240762,4.240762,1435,7.5787
37,31,30,4.209903,4.209903,1452,7.5925
38,30,31,4.219727,4.219727,1419,7.5543
39,31,42,4.170949,4.170949,1437,7.5726
40,42,40,4.338388,4.338388,1417,7.4936
41,40,23,4.261518,4.261518,1381,7.3977
42,23,62,4.145108,4.145108,1381,7.3540
