position,token,target,loss_nats,passthrough_nats,visits,mean_hops
0,43,23,4.211207,4.192529,1483,7.6269
1,23,37,4.230043,4.231973,1462,7.6471
2,37,28,4.281606,4.283232,1440,7.6263
3,28,53,4.215649,4.221753,1449,7.5816
4,53,21,4.258307,4.271251,1460,7.6057
5,21,53,4.264428,4.216125,1421,7.4895
6,53,21,4.192170,4.191225,1295,6.9000
7,21,53,4.210147,4.138173,1412,7.5444
8,53,21,4.167183,4.114612,1447,7.5845
9,21,54,4.091714,4.058134,1411,7.5149
10,54,43,4.202379,4.175258,1305,7.0164
11,43,23,4.140822,4.159318,1449,7.5456
12,23,0,4.030327,4.159531,1383,7.3467
13,0,62,4.254865,4.241515,1421,7.4834
14,62,46,4.140580,4.174655,1376,7.4142
15,46,63,4.307981,4.335996,1346,7.1547
16,63,8,4.211202,4.242006,1278,6.9024
17,8,4,4.202779,4.157309,1364,7.3565
18,4,23,4.188112,4.273763,1389,7.3656
19,23,37,4.176251,4.190198,1399,7.4154
20,37,47,4.084928,4.047472,1397,7.4461
21,47,35,4.098118,4.037243,1407,7.5108
22,35,43,4.076993,4.096967,1405,7.4714
23,43,23,4.109579,4.116132,1441,7.5411
24,23,0,3.976816,4.113803,1431,7.5225
25,0,43,4.234457,4.230197,1362,7.2916
26,43,23,4.068213,4.074925,1456,7.5480
27,23,0,3.898422,4.071841,1425,7.5354
28,0,57,4.182303,4.102892,1422,7.4848
29,57,2,4.153727,4.162266,1407,7.5239
30,2,9,4.205156,4.178791,1416,7.5243
31,9,13,4.262530,4.204262,1247,6.8790
32,13,31,4.180136,4.279394,1428,7.5744
33,31,30,4.286590,4.276818,1403,7.4349
34,30,31,4.292534,4.253964,1277,6.9384
35,31,30,4.234809,4.193076,1398,7.4532
36,30,31,4.265404,4.169771,1448,7.6213
37,31,30,4.177217,4.110198,1422,7.5472
38,30,31,4.197805,4.084052,1408,7.4548
39,31,42,4.096788,4.166976,1441,7.5812
40,42,40,4.277852,4.339624,1403,7.4809
41,40,23,4.203207,4.259037,1369,7.3761
42,23,62,4.229598,4.158128,1417,7.5044
43,62,46,4.076155,4.134106,1448,7.5793
44,46,62,4.123431,4.118513,1399,7.3619
45,62,46,4.039018,4.059153,1424,7.5402
46,46,63,4.242611,4.282591,1362,7.3040
47,63,63,3.263591,3.021533,1452,7.5765
48,63,8,4.202037,4.195833,1392,7.4365
49,8,27,4.208663,4.207842,1392,7.3738
50,27,16,4.300206,4.275638,1389,7.3466
51,16,40,4.129604,4.219625,1287,6.9489
52,40,24,4.277687,4.297360,1353,7.2947
