position,token,target,loss_nats,passthrough_nats,visits,mean_hops
0,43,23,4.211207,4.192529,1483,7.6269
1,23,37,4.230048,4.231867,1462,7.6471
2,37,28,4.281621,4.285018,1440,7.6263
3,28,53,4.215759,4.223077,1449,7.5816
4,53,21,4.258185,4.270396,1460,7.6057
5,21,53,4.262811,4.235086,1421,7.4895
6,53,21,4.218961,4.237611,1295,6.9000
7,21,53,4.231951,4.213513,1414,7.5466
8,53,21,4.223778,4.220713,1444,7.5814
9,21,54,4.092604,4.043517,1408,7.5114
10,54,43,4.202547,4.174008,1299,7.0097
11,43,23,4.167469,4.188367,1453,7.5525
12,23,0,4.039624,4.154167,1432,7.5174
13,0,62,4.265038,4.239545,1450,7.5665
14,62,46,4.139088,4.176598,1423,7.5346
15,46,63,4.307395,4.336119,1373,7.2348
16,63,8,4.244423,4.243725,1352,7.1645
17,8,4,4.175898,4.155318,1361,7.2755
18,4,23,4.206057,4.272404,1379,7.3536
19,23,37,4.178696,4.227889,1393,7.4257
20,37,47,4.082993,4.046658,1388,7.4455
21,47,35,4.017716,4.035489,1420,7.5082
22,35,43,4.073801,4.095791,1354,7.2032
23,43,23,4.167290,4.178860,1434,7.5268
24,23,0,3.982815,4.146448,1401,7.3865
25,0,43,4.158388,4.226578,1406,7.4485
26,43,23,4.140544,4.171626,1423,7.5070
27,23,0,4.015813,4.136775,1426,7.5312
28,0,57,4.166195,4.085266,1450,7.5711
29,57,2,4.234415,4.163646,1418,7.5046
30,2,9,4.175448,4.177408,1433,7.5744
31,9,13,4.276139,4.208607,1209,6.9058
32,13,31,4.160162,4.276942,1426,7.4993
33,31,30,4.228576,4.275673,1331,7.1841
34,30,31,4.233794,4.276031,1353,7.2197
35,31,30,4.267481,4.241519,1422,7.5172
36,30,31,4.255826,4.251325,1469,7.6285
37,31,30,4.237643,4.220522,1408,7.4330
38,30,31,4.241192,4.232714,1431,7.5099
39,31,42,4.188922,4.169225,1420,7.5376
40,42,40,4.274561,4.339665,1430,7.5294
41,40,23,4.264197,4.260312,1310,7.0383
42,23,62,4.230604,4.141928,1370,7.2048
43,62,46,4.063124,4.173196,1381,7.3863
44,46,62,4.194193,4.177372,1428,7.4918
45,62,46,4.055856,4.144164,1319,7.0627
46,46,63,4.281172,4.329790,1383,7.3609
47,63,63,3.249522,3.012725,1351,7.3275
48,63,8,4.187240,4.241149,1300,7.0735
49,8,27,4.259365,4.217872,1318,7.1766
50,27,16,4.294806,4.274611,1415,7.4940
51,16,40,4.277475,4.223549,1359,7.1663
52,40,24,4.231901,4.297071,1321,7.0641
53,24,62,4.246833,4.265827,1355,7.2216
54,62,46,3.990126,4.153822,1399,7.4573
55,46,63,4.184925,4.323207,1443,7.5301
56,63,63,3.263234,2.995511,1433,7.5607
57,63,8,4.243542,4.235124,1469,7.6062
58,8,27,4.211545,4.209106,1330,7.1406
59,27,16,4.277312,4.269858,1356,7.2370
60,16,4,4.315612,4.324150,1409,7.4842
61,4,40,4.294640,4.255691,1402,7.4585
62,40,23,4.179975,4.259338,1423,7.4517
63,23,37,4.178963,4.228708,1425,7.5449
64,37,62,4.258845,4.128497,1389,7.3891
65,62,21,4.187713,4.220232,1424,7.5234
66,21,53,4.191463,4.242890,1421,7.5237
67,53,21,4.227801,4.241375,1377,7.3396
68,21,55,4.117019,4.079300,1443,7.5437
69,55,30,3.952159,3.948931,1237,6.8906
70,30,10,4.154563,4.105090,1437,7.6055
71,10,37,4.194325,4.251860,1411,7.4802
72,37,28,4.229070,4.282527,1438,7.5456
73,28,10,4.191744,4.215451,1353,7.2868
74,10,37,4.214435,4.245781,1366,7.1678
75,37,47,4.160408,4.042181,1422,7.4959
76,47,63,4.102140,4.116403,1378,7.2876
77,63,8,4.116992,4.228028,1389,7.3152
78,8,4,4.206413,4.152577,1404,7.3797
79,4,23,4.224891,4.271212,1416,7.4622
80,23,62,4.160150,4.136063,1406,7.3956
81,62,21,4.165752,4.211695,1388,7.4154
82,21,53,4.163994,4.236478,1441,7.5652
83,53,45,4.141581,4.037403,1381,7.4234
84,45,54,4.228630,4.162264,1395,7.3914
85,54,30,4.086734,3.989433,1405,7.4670
86,30,10,4.121047,4.104076,1470,7.6257
87,10,61,4.103243,4.094252,1404,7.3833
88,61,33,4.196095,4.129729,1275,6.8546
89,33,47,4.098107,4.157355,1416,7.5303
90,47,35,4.081508,4.036387,1424,7.5059
91,35,43,4.070759,4.093885,1384,7.3654
92,43,57,4.238160,4.199196,1264,6.7561
93,57,22,4.333129,4.370828,1462,7.5765
94,22,38,4.190206,4.174496,1382,7.3138
95,38,0,4.232314,4.206929,1326,7.1296
96,0,57,4.178057,4.080602,1404,7.4872
97,57,22,4.304483,4.361197,1435,7.5661
98,22,60,4.191964,4.188432,1386,7.4859
99,60,22,4.094737,4.151444,1382,7.4514
100,22,38,4.149217,4.169029,1433,7.5835
101,38,49,4.177973,4.189447,1383,7.3651
102,49,24,4.274273,4.307526,1295,7.0955
103,24,36,4.170078,4.116500,1374,7.3362
104,36,44,4.138680,4.086749,1399,7.4397
105,44,1,4.112916,4.219153,1366,7.3052
106,1,59,4.094035,4.161469,1430,7.5494
107,59,43,4.246859,4.303278,1407,7.5003
108,43,3,4.118962,4.113127,1432,7.4927
109,3,25,4.253434,4.222344,1382,7.4239
110,25,44,4.163658,4.175603,1407,7.4381
111,44,1,4.136116,4.214646,1451,7.5717
112,1,46,4.179434,4.057511,1448,7.5387
113,46,63,4.168874,4.336423,1424,7.5122
114,63,63,3.317123,2.995513,1328,7.1530
115,63,63,3.304240,2.956349,1458,7.5838
116,63,63,3.222294,2.931639,1425,7.5767
117,63,8,4.208512,4.238886,1452,7.5654
118,8,4,4.143221,4.150430,1365,7.2267
119,4,40,4.296191,4.252132,1367,7.3184
120,40,23,4.231056,4.261498,1427,7.5343
121,23,62,4.227816,4.133440,1420,7.5341
122,62,48,4.280512,4.300703,1246,6.6859
123,48,13,4.091484,4.036743,1405,7.4558
124,13,32,4.049323,4.089841,1346,7.1231
125,32,29,4.224920,4.189888,1429,7.5474
126,29,4,4.089489,4.082170,1371,7.3594
127,4,40,4.292622,4.245382,1444,7.5589
128,40,33,4.047497,4.084456,1409,7.4821
129,33,62,4.134292,4.227982,1409,7.4938
130,62,48,4.257346,4.299226,1341,7.0966
131,48,41,4.087657,4.046737,1424,7.5328
132,41,24,4.142041,4.127154,1422,7.4545
133,24,62,4.192458,4.266196,1416,7.5514
134,62,46,4.077956,4.164481,1419,7.5444
135,46,63,4.240159,4.326348,1370,7.2702
136,63,8,4.209440,4.231146,1406,7.4995
137,8,2,4.297987,4.223422,1413,7.4844
138,2,52,4.123420,4.134777,1455,7.5725
139,52,8,4.176971,4.161620,1378,7.3602
140,8,27,4.206887,4.209748,1402,7.3860
141,27,16,4.293222,4.270342,1302,7.0506
142,16,40,4.249006,4.223562,1394,7.3256
143,40,33,4.090151,4.076933,1407,7.4201
144,33,62,4.170112,4.222233,1272,6.8740
145,62,48,4.293273,4.295927,1472,7.5994
146,48,20,4.068365,4.080334,1422,7.4904
147,20,19,4.340740,4.243481,1373,7.4247
148,19,51,4.230683,4.142245,1416,7.5430
149,51,4,4.336759,4.278320,1296,6.9378
150,4,40,4.247295,4.243048,1413,7.4738
151,40,23,4.236847,4.258113,1379,7.3948
152,23,0,4.022804,4.145143,1435,7.5595
153,0,57,4.159136,4.081629,1410,7.4615
154,57,2,4.191504,4.162215,1409,7.4764
155,2,7,4.150561,4.152402,1399,7.4856
156,7,45,4.019472,3.996332,1343,7.2747
157,45,25,4.126317,4.154030,1217,6.7077
158,25,54,3.966735,3.954938,1438,7.5527
159,54,43,4.191693,4.173881,1442,7.5662
160,43,57,4.283880,4.193165,1335,7.2281
161,57,2,4.173893,4.157756,1404,7.4897
162,2,9,4.169906,4.177408,1393,7.4617
163,9,13,4.245742,4.206624,1236,6.7028
164,13,24,4.024185,4.114145,1358,7.3906
165,24,62,4.179512,4.261661,1402,7.4823
166,62,48,4.291048,4.294982,1428,7.5422
167,48,41,4.099136,4.044244,1449,7.5907
168,41,22,4.167623,4.193014,1289,7.0258
169,22,38,4.232532,4.166687,1450,7.5537
170,38,26,4.242192,4.178321,1421,7.5214
