arm_short,arm_name,eta,ewc_lambda,round,domain,pre_revisit_acc,pre_revisit_loss,acc_few5,acc_few10,acc_few20,acc_few50,acc_few200,post_train_acc,post_train_loss,retention_gap
ladder_8,"Ladder-8 (m=8)",2.0000,0.0000,1,0,0.1400,6.2383,0.1400,0.1400,0.1400,0.1400,0.1400,0.1000,4.9324,-0.0400
ladder_8,"Ladder-8 (m=8)",2.0000,0.0000,1,1,0.0400,6.0891,0.0400,0.0400,0.0400,0.0400,0.0400,0.1200,4.9081,0.0800
ladder_8,"Ladder-8 (m=8)",2.0000,0.0000,1,2,0.0700,6.0166,0.0700,0.0700,0.0700,0.0700,0.0700,0.1100,4.8746,0.0400
ladder_8,"Ladder-8 (m=8)",2.0000,0.0000,1,3,0.0400,6.0246,0.0400,0.0400,0.0400,0.0400,0.0400,0.1600,4.7074,0.1200
ladder_8,"Ladder-8 (m=8)",2.0000,0.0000,2,0,0.1700,5.1020,0.1700,0.1700,0.1700,0.1700,0.1700,0.1100,4.8419,-0.0600
ladder_8,"Ladder-8 (m=8)",2.0000,0.0000,2,1,0.1300,5.1410,0.1300,0.1300,0.1300,0.1300,0.1300,0.1400,4.8694,0.0100
ladder_8,"Ladder-8 (m=8)",2.0000,0.0000,2,2,0.0700,5.0951,0.0700,0.0700,0.0700,0.0700,0.0700,0.1300,4.7151,0.0600
ladder_8,"Ladder-8 (m=8)",2.0000,0.0000,2,3,0.1000,4.7922,0.1000,0.1000,0.1000,0.1000,0.1000,0.1500,4.6138,0.0500
ladder_8,"Ladder-8 (m=8)",2.0000,0.0000,3,0,0.1600,4.9387,0.1600,0.1600,0.1600,0.1600,0.1600,0.1400,4.7571,-0.0200
ladder_8,"Ladder-8 (m=8)",2.0000,0.0000,3,1,0.1200,4.9219,0.1200,0.1200,0.1200,0.1200,0.1200,0.1600,4.7552,0.0400
ladder_8,"Ladder-8 (m=8)",2.0000,0.0000,3,2,0.0700,4.9372,0.0700,0.0700,0.0700,0.0700,0.0700,0.1400,4.6579,0.0700
ladder_8,"Ladder-8 (m=8)",2.0000,0.0000,3,3,0.1300,4.6388,0.1300,0.1300,0.1300,0.1300,0.1300,0.1000,4.5168,-0.0300
ladder_8,"Ladder-8 (m=8)",2.0000,0.0000,4,0,0.1200,4.7708,0.1200,0.1200,0.1200,0.1200,0.1200,0.1500,4.7323,0.0300
ladder_8,"Ladder-8 (m=8)",2.0000,0.0000,4,1,0.1200,4.8699,0.1200,0.1200,0.1200,0.1200,0.1200,0.1400,4.6790,0.0200
ladder_8,"Ladder-8 (m=8)",2.0000,0.0000,4,2,0.1000,4.8453,0.1000,0.1000,0.1000,0.1000,0.1000,0.1200,4.6232,0.0200
ladder_8,"Ladder-8 (m=8)",2.0000,0.0000,4,3,0.1400,4.5350,0.1400,0.1400,0.1400,0.1400,0.1400,0.1100,4.5347,-0.0300
ladder_8,"Ladder-8 (m=8)",2.0000,0.0000,5,0,0.1100,4.7327,0.1100,0.1300,0.1100,0.1300,0.1900,0.1300,4.7181,0.0200
ladder_8,"Ladder-8 (m=8)",2.0000,0.0000,5,1,0.1200,4.7734,0.1300,0.1200,0.1400,0.1500,0.1900,0.1400,4.6459,0.0200
ladder_8,"Ladder-8 (m=8)",2.0000,0.0000,5,2,0.1100,4.8210,0.1100,0.1200,0.1200,0.1300,0.1600,0.1100,4.6125,0.0000
ladder_8,"Ladder-8 (m=8)",2.0000,0.0000,5,3,0.1500,4.5392,0.1300,0.1600,0.1300,0.1500,0.1500,0.0900,4.5725,-0.0600
ladder_4,"Ladder-4 (m=4)",2.0000,0.0000,1,0,0.1400,6.2383,0.1400,0.1400,0.1400,0.1400,0.1400,0.1000,4.9287,-0.0400
ladder_4,"Ladder-4 (m=4)",2.0000,0.0000,1,1,0.0400,6.0891,0.0400,0.0400,0.0400,0.0400,0.0400,0.1200,4.8977,0.0800
ladder_4,"Ladder-4 (m=4)",2.0000,0.0000,1,2,0.0700,6.0172,0.0700,0.0700,0.0700,0.0700,0.0700,0.1100,4.8739,0.0400
ladder_4,"Ladder-4 (m=4)",2.0000,0.0000,1,3,0.0400,6.0253,0.0400,0.0400,0.0400,0.0400,0.0400,0.1600,4.6983,0.1200
ladder_4,"Ladder-4 (m=4)",2.0000,0.0000,2,0,0.1700,5.0964,0.1700,0.1700,0.1700,0.1700,0.1700,0.1000,4.8360,-0.0700
ladder_4,"Ladder-4 (m=4)",2.0000,0.0000,2,1,0.1300,5.1277,0.1300,0.1300,0.1300,0.1300,0.1300,0.1400,4.8642,0.0100
ladder_4,"Ladder-4 (m=4)",2.0000,0.0000,2,2,0.0700,5.0877,0.0700,0.0700,0.0700,0.0700,0.0700,0.1400,4.7048,0.0700
ladder_4,"Ladder-4 (m=4)",2.0000,0.0000,2,3,0.1000,4.7930,0.1000,0.1000,0.1000,0.1000,0.1000,0.1400,4.6068,0.0400
ladder_4,"Ladder-4 (m=4)",2.0000,0.0000,3,0,0.1600,4.9354,0.1600,0.1600,0.1600,0.1600,0.1600,0.1300,4.7508,-0.0300
ladder_4,"Ladder-4 (m=4)",2.0000,0.0000,3,1,0.1200,4.9062,0.1200,0.1200,0.1200,0.1200,0.1200,0.1700,4.7502,0.0500
ladder_4,"Ladder-4 (m=4)",2.0000,0.0000,3,2,0.0700,4.9167,0.0700,0.0700,0.0700,0.0700,0.0700,0.1400,4.6447,0.0700
ladder_4,"Ladder-4 (m=4)",2.0000,0.0000,3,3,0.1200,4.6282,0.1200,0.1200,0.1200,0.1200,0.1200,0.1000,4.5025,-0.0200
ladder_4,"Ladder-4 (m=4)",2.0000,0.0000,4,0,0.1200,4.7600,0.1200,0.1200,0.1200,0.1200,0.1200,0.1500,4.7279,0.0300
