arm_name,arm_short,eta,ewc_lambda,round,domain,pre_revisit_acc,pre_revisit_loss,post_train_acc,post_train_loss,retention_gap
Ladder-8 (m=8),ladder_8,3.0000,0.00,1,0,0.0000,6.2383,0.6800,5.1859,1.0524
Ladder-8 (m=8),ladder_8,3.0000,0.00,1,1,0.0000,6.2037,0.7100,5.1496,1.0541
Ladder-8 (m=8),ladder_8,3.0000,0.00,1,2,0.0000,6.2167,0.6500,5.1615,1.0552
Ladder-8 (m=8),ladder_8,3.0000,0.00,1,3,0.0000,6.1819,0.6400,5.1473,1.0346
Ladder-8 (m=8),ladder_8,3.0000,0.00,2,0,0.3000,5.6451,0.9100,4.6986,0.9465
Ladder-8 (m=8),ladder_8,3.0000,0.00,2,1,0.1300,5.6570,0.8000,4.6890,0.9680
Ladder-8 (m=8),ladder_8,3.0000,0.00,2,2,0.1200,5.6547,0.6900,4.6946,0.9601
Ladder-8 (m=8),ladder_8,3.0000,0.00,2,3,0.0900,5.6353,0.7800,4.6869,0.9483
Ladder-8 (m=8),ladder_8,3.0000,0.00,3,0,0.4100,5.2804,0.9000,4.3719,0.9085
Ladder-8 (m=8),ladder_8,3.0000,0.00,3,1,0.2500,5.2894,0.8800,4.3607,0.9287
Ladder-8 (m=8),ladder_8,3.0000,0.00,3,2,0.3000,5.2975,0.8600,4.3715,0.9260
Ladder-8 (m=8),ladder_8,3.0000,0.00,3,3,0.2800,5.2743,0.7500,4.3684,0.9059
Ladder-8 (m=8),ladder_8,3.0000,0.00,4,0,0.4900,5.0074,0.9600,4.1187,0.8887
Ladder-8 (m=8),ladder_8,3.0000,0.00,4,1,0.4000,5.0062,0.9200,4.0983,0.9079
Ladder-8 (m=8),ladder_8,3.0000,0.00,4,2,0.3900,5.0133,0.8600,4.1126,0.9007
Ladder-8 (m=8),ladder_8,3.0000,0.00,4,3,0.3400,4.9973,0.9100,4.1144,0.8829
Ladder-8 (m=8),ladder_8,3.0000,0.00,5,0,0.6300,4.7673,0.9500,3.9003,0.8670
Ladder-8 (m=8),ladder_8,3.0000,0.00,5,1,0.4300,4.7682,0.9200,3.8827,0.8855
Ladder-8 (m=8),ladder_8,3.0000,0.00,5,2,0.4400,4.7839,0.9700,3.8963,0.8877
Ladder-8 (m=8),ladder_8,3.0000,0.00,5,3,0.4300,4.7544,0.8600,3.9021,0.8523
Ladder-4 (m=4),ladder_4,3.0000,0.00,1,0,0.0000,6.2383,0.6800,5.1859,1.0524
Ladder-4 (m=4),ladder_4,3.0000,0.00,1,1,0.0000,6.2037,0.7100,5.1496,1.0541
Ladder-4 (m=4),ladder_4,3.0000,0.00,1,2,0.0000,6.2167,0.6500,5.1615,1.0552
Ladder-4 (m=4),ladder_4,3.0000,0.00,1,3,0.0000,6.1819,0.6400,5.1473,1.0346
Ladder-4 (m=4),ladder_4,3.0000,0.00,2,0,0.3000,5.6451,0.9100,4.6986,0.9465
Ladder-4 (m=4),ladder_4,3.0000,0.00,2,1,0.1300,5.6570,0.8000,4.6890,0.9680
Ladder-4 (m=4),ladder_4,3.0000,0.00,2,2,0.1200,5.6547,0.6900,4.6946,0.9601
Ladder-4 (m=4),ladder_4,3.0000,0.00,2,3,0.0900,5.6353,0.7800,4.6869,0.9483
Ladder-4 (m=4),ladder_4,3.0000,0.00,3,0,0.4100,5.2804,0.9000,4.3719,0.9085
Ladder-4 (m=4),ladder_4,3.0000,0.00,3,1,0.2500,5.2894,0.8800,4.3607,0.9287
Ladder-4 (m=4),ladder_4,3.0000,0.00,3,2,0.3000,5.2975,0.8600,4.3715,0.9260
Ladder-4 (m=4),ladder_4,3.0000,0.00,3,3,0.2800,5.2743,0.7500,4.3684,0.9059
Ladder-4 (m=4),ladder_4,3.0000,0.00,4,0,0.4900,5.0074,0.9600,4.1187,0.8887
