arm_short,arm_name,eta,ewc_lambda,round,domain,pre_revisit_acc,pre_revisit_loss,acc_few5,acc_few10,acc_few20,acc_few50,acc_few200,post_train_acc,post_train_loss,retention_gap
ladder_8,"Ladder-8 (m=8)",3.0000,0.0000,1,0,0.0000,6.2383,0.2500,0.2000,0.4500,0.5000,0.9500,0.7500,5.6154,0.7500
ladder_8,"Ladder-8 (m=8)",3.0000,0.0000,1,1,0.0000,6.2421,0.2000,0.2500,0.2500,0.6500,0.9500,0.4000,5.6149,0.4000
ladder_8,"Ladder-8 (m=8)",3.0000,0.0000,2,0,0.5500,5.6418,0.6000,0.6500,0.6500,0.8500,0.9500,0.7000,5.0645,0.1500
ladder_8,"Ladder-8 (m=8)",3.0000,0.0000,2,1,0.2500,5.6431,0.3000,0.4000,0.6500,0.5500,0.8000,0.5000,5.0698,0.2500
ladder_4,"Ladder-4 (m=4)",3.0000,0.0000,1,0,0.0000,6.2383,0.2500,0.2000,0.4500,0.5000,0.9500,0.7500,5.6154,0.7500
ladder_4,"Ladder-4 (m=4)",3.0000,0.0000,1,1,0.0000,6.2421,0.2000,0.2500,0.2500,0.6500,0.9500,0.4000,5.6149,0.4000
ladder_4,"Ladder-4 (m=4)",3.0000,0.0000,2,0,0.5500,5.6418,0.6000,0.6500,0.6500,0.8500,0.9500,0.7000,5.0645,0.1500
ladder_4,"Ladder-4 (m=4)",3.0000,0.0000,2,1,0.2500,5.6431,0.3000,0.4000,0.6500,0.5500,0.8000,0.5000,5.0698,0.2500
ladder_2,"Ladder-2 (m=2)",3.0000,0.0000,1,0,0.0000,6.2383,0.2500,0.2000,0.4500,0.5000,0.9500,0.7500,5.6154,0.7500
ladder_2,"Ladder-2 (m=2)",3.0000,0.0000,1,1,0.0000,6.2421,0.2000,0.2500,0.2500,0.6500,0.9500,0.4000,5.6149,0.4000
ladder_2,"Ladder-2 (m=2)",3.0000,0.0000,2,0,0.5500,5.6417,0.6000,0.6500,0.6500,0.8500,0.9500,0.7000,5.0644,0.1500
ladder_2,"Ladder-2 (m=2)",3.0000,0.0000,2,1,0.2500,5.6431,0.3000,0.4000,0.6500,0.5500,0.8000,0.5000,5.0697,0.2500
plain_m1,"Plain (m=1)",3.0000,0.0000,1,0,0.0000,6.2383,0.2500,0.2000,0.4500,0.5000,0.9000,0.6500,5.5812,0.6500
plain_m1,"Plain (m=1)",3.0000,0.0000,1,1,0.0000,6.2423,0.1500,0.2500,0.2500,0.6500,0.9500,0.4000,5.5806,0.4000
plain_m1,"Plain (m=1)",3.0000,0.0000,2,0,0.5500,5.5853,0.6000,0.6500,0.7000,0.9000,1.0000,0.7000,4.9213,0.1500
plain_m1,"Plain (m=1)",3.0000,0.0000,2,1,0.2500,5.5868,0.3000,0.4000,0.6000,0.6000,0.8500,0.5000,4.9346,0.2500
proximal_ewc,"Proximal EWC (lam=0.1)",0.0100,0.1000,1,0,0.0000,6.2383,0.2500,0.2500,0.5500,0.5500,0.9000,0.8000,6.2365,0.8000
proximal_ewc,"Proximal EWC (lam=0.1)",0.0100,0.1000,1,1,0.0000,6.2383,0.2000,0.4000,0.2500,0.7500,0.9500,0.4500,6.2363,0.4500
proximal_ewc,"Proximal EWC (lam=0.1)",0.0100,0.1000,2,0,0.6000,6.2366,0.6000,0.6500,0.7000,0.8500,0.9500,0.6500,6.2348,0.0500
proximal_ewc,"Proximal EWC (lam=0.1)",0.0100,0.1000,2,1,0.3000,6.2364,0.3500,0.4000,0.7000,0.6500,0.9500,0.6000,6.2346,0.3000
