position,token,target,loss_nats,passthrough_nats,visits,mean_hops
0,44,0,4.242178,4.233097,1402,8.4269
1,0,33,4.230308,4.244382,1416,8.4883
2,33,46,4.109322,4.104378,1323,8.2474
3,46,24,4.199305,4.142847,1324,8.0477
4,24,50,4.142364,4.135567,1083,6.8488
5,50,54,4.161937,4.157073,1353,8.2627
6,54,24,4.096194,4.131089,1391,8.4473
7,24,51,4.259522,4.266395,1294,8.1144
8,51,5,4.154453,4.163054,1453,8.6082
9,5,57,4.254980,4.284866,1453,8.6180
10,57,54,4.122414,4.100396,1440,8.5919
11,54,17,4.043536,4.085578,1373,8.3925
12,17,40,4.129909,4.115874,1418,8.5565
13,40,48,4.056868,4.082187,1441,8.5503
14,48,57,4.258092,4.301711,1328,8.2890
15,57,54,4.064183,4.053651,1438,8.5622
16,54,17,3.966597,4.047558,1481,8.5980
17,17,46,4.171815,4.142424,1410,8.5070
18,46,24,4.105483,4.095482,1470,8.6390
19,24,17,4.090931,4.166401,1387,8.4140
20,17,46,4.131635,4.102914,1396,8.3805
21,46,22,4.177781,4.116551,1446,8.6445
22,22,0,4.159458,4.216219,1313,8.1531
23,0,15,4.099162,4.185377,1454,8.5667
24,15,1,4.183401,4.188177,1455,8.5855
25,1,10,4.018169,4.019344,1448,8.6083
26,10,13,4.194744,4.195689,1466,8.5832
27,13,2,4.150841,4.126043,1388,8.3019
28,2,49,4.208155,4.291462,1451,8.6011
29,49,1,4.083708,4.072485,1457,8.5831
30,1,10,3.913609,3.978036,1432,8.5777
31,10,13,4.101667,4.160006,1450,8.5344
32,13,2,4.050971,4.074946,1445,8.6163
33,2,49,4.172507,4.257243,1471,8.6532
34,49,8,4.452686,4.414922,1450,8.5691
35,8,12,4.152088,4.134947,1081,6.9856
36,12,45,4.184086,4.173071,1400,8.5354
37,45,33,4.251521,4.255147,1449,8.5736
38,33,10,4.103054,4.116912,1414,8.5176
39,10,13,4.055712,4.120322,1424,8.5003
40,13,27,4.150302,4.129691,1438,8.5799
41,27,38,4.269774,4.246597,1344,8.2144
42,38,47,4.096151,4.087435,1393,8.4701
43,47,22,4.204947,4.230610,1440,8.5746
44,22,0,4.072274,4.176190,1464,8.6004
45,0,33,4.182838,4.204895,1404,8.4002
46,33,46,3.993857,4.061331,1406,8.5373
47,46,22,4.142090,4.089692,1396,8.4279
48,22,0,3.939589,4.123016,1404,8.4141
49,0,15,4.072590,4.153919,1441,8.5513
50,15,37,4.210080,4.184616,1455,8.5848
51,37,10,4.215168,4.233955,1442,8.5874
52,10,13,4.072958,4.085387,1423,8.5392
53,13,27,4.022933,4.080456,1433,8.5668
54,27,60,4.167720,4.212186,1413,8.4443
55,60,58,4.172420,4.214396,1450,8.6093
56,58,21,4.176929,4.230221,1444,8.5879
57,21,41,4.177126,4.190285,1383,8.2010
