position,token,target,loss_nats,passthrough_nats,visits,mean_hops
0,25,36,4.165247,4.166067,584,2.6790
1,36,21,4.107439,4.102081,578,2.6749
2,21,9,4.213331,4.235009,513,2.6248
3,9,15,4.067825,4.072756,525,2.6260
4,15,49,4.203673,4.201637,520,2.6340
5,49,43,4.256894,4.241247,530,2.6380
6,43,11,4.177484,4.184780,525,2.6412
7,11,42,4.133935,4.132216,490,2.6099
8,42,54,4.208514,4.235564,483,2.5821
9,54,25,3.969211,3.969457,517,2.6248
10,25,36,4.132432,4.115929,469,2.6207
11,36,29,4.252958,4.227522,458,2.5862
12,29,11,4.265911,4.254461,508,2.6272
13,11,42,4.079154,4.093889,445,2.5956
14,42,0,4.086799,4.077898,456,2.6333
15,0,21,4.120466,4.117009,487,2.6252
16,21,48,4.208363,4.220322,462,2.6388
17,48,25,4.211443,4.214595,485,2.6049
18,25,2,4.172763,4.163468,454,2.6131
19,2,45,4.359954,4.366099,512,2.6305
20,45,62,3.979219,3.988552,512,2.6253
21,62,21,4.268771,4.239669,477,2.5960
22,21,48,4.142948,4.186264,430,2.6050
23,48,25,4.152154,4.169608,440,2.6089
24,25,36,4.082337,4.063001,488,2.6701
25,36,29,4.215825,4.178688,453,2.5946
26,29,11,4.201652,4.208593,491,2.6200
27,11,42,4.038277,4.060325,457,2.6105
28,42,54,4.167953,4.192103,481,2.6218
29,54,44,4.383542,4.392830,472,2.6187
30,44,36,4.106719,4.073359,481,2.5893
31,36,34,4.007207,4.021178,470,2.6121
32,34,7,4.305591,4.323207,494,2.6195
33,7,22,4.041214,4.068853,495,2.6126
34,22,47,4.212156,4.198776,499,2.6065
35,47,51,4.254457,4.238187,493,2.6185
36,51,16,4.201876,4.176780,481,2.6170
37,16,53,4.271796,4.291824,498,2.6251
38,53,0,4.195168,4.197117,504,2.6316
39,0,60,4.121534,4.131640,467,2.6268
40,60,38,4.332855,4.335707,483,2.6096
41,38,2,4.198418,4.185919,499,2.6189
42,2,12,4.248387,4.265461,465,2.6178
43,12,35,4.155797,4.156262,467,2.5942
44,35,8,4.212901,4.226153,482,2.6024
45,8,56,4.219582,4.228031,509,2.6215
46,56,1,4.105348,4.113774,491,2.6044
47,1,47,4.327628,4.326742,489,2.6136
48,47,22,4.125016,4.157111,493,2.6125
49,22,20,4.347459,4.363955,486,2.6190
50,20,10,4.037094,4.014099,492,2.6206
51,10,2,4.124602,4.104146,512,2.6233
52,2,12,4.188608,4.234921,452,2.6054
53,12,20,4.097585,4.091919,453,2.5898
54,20,10,4.012472,3.976925,443,2.5848
55,10,2,4.081048,4.063220,460,2.6128
56,2,54,4.188470,4.256430,451,2.6543
57,54,0,4.241482,4.249566,478,2.6037
58,0,60,4.083365,4.091079,487,2.6382
59,60,38,4.293317,4.297532,495,2.6222
60,38,50,4.080549,4.137497,493,2.6113
61,50,54,4.181550,4.175397,494,2.6172
62,54,25,3.945951,3.942204,462,2.6162
63,25,36,4.003718,4.018198,461,2.6047
64,36,34,3.973623,3.980212,479,2.6160
65,34,35,4.223513,4.209929,488,2.6132
66,35,0,4.269375,4.313282,460,2.5903
67,0,25,4.349055,4.305265,439,2.6286
68,25,2,4.162316,4.121733,458,2.6657
69,2,45,4.295875,4.309437,476,2.6208
70,45,30,4.152622,4.154898,490,2.6020
71,30,46,4.321348,4.350503,496,2.6216
72,46,1,4.081756,4.057937,501,2.6267
73,1,32,4.161979,4.141497,499,2.6463
74,32,9,4.252565,4.240054,485,2.6031
75,9,15,3.997133,4.015045,493,2.6098
76,15,49,4.132668,4.162543,480,2.6164
77,49,48,4.132222,4.164101,485,2.6189
78,48,6,4.257416,4.260592,485,2.6128
79,6,22,4.067935,4.047703,509,2.6278
80,22,47,4.083824,4.096947,472,2.6049
81,47,56,4.224338,4.284950,487,2.6147
82,56,6,4.216328,4.217329,473,2.5961
83,6,56,4.250555,4.206147,467,2.6173
84,56,6,4.207165,4.136960,454,2.6499
85,6,32,4.038390,3.965004,448,2.6434
86,32,61,4.238776,4.253879,476,2.5950
87,61,2,4.217734,4.229088,482,2.5963
88,2,54,4.173599,4.209719,483,2.6199
89,54,25,3.921109,3.900263,483,2.6098
90,25,36,3.971938,3.975849,471,2.6127
91,36,29,4.144380,4.130823,474,2.6198
92,29,23,4.326608,4.350911,501,2.6192
93,23,18,4.241628,4.246060,499,2.6216
94,18,12,4.358469,4.354733,508,2.6082
95,12,35,4.074515,4.113470,445,2.5893
96,35,8,4.142832,4.185984,483,2.6236
97,8,52,4.107870,4.134400,493,2.6121
98,52,22,4.263312,4.276674,482,2.6140
99,22,35,4.223321,4.199503,474,2.6162
100,35,0,4.239979,4.272708,478,2.6620
101,0,21,4.107612,4.081999,481,2.6087
102,21,9,4.173738,4.213014,496,2.6105
103,9,15,3.986528,3.964063,487,2.6211
104,15,49,4.117101,4.128061,481,2.6399
105,49,50,4.103121,4.138992,492,2.6313
106,50,53,4.118208,4.129666,496,2.6207
107,53,11,4.080771,4.077940,485,2.6129
108,11,42,4.032532,4.027420,485,2.6168
109,42,54,4.179215,4.156467,496,2.6234
110,54,25,3.874167,3.864176,451,2.6020
111,25,36,3.955248,3.930107,442,2.6030
112,36,34,3.943832,3.948287,485,2.6638
113,34,40,4.152438,4.143173,495,2.6356
114,40,25,4.124982,4.136678,496,2.6276
115,25,36,3.892149,3.884884,489,2.7035
116,36,34,3.927562,3.908349,467,2.6736
117,34,35,4.189141,4.168429,447,2.6454
118,35,8,4.090781,4.146325,460,2.5783
119,8,41,4.257151,4.236763,468,2.6045
120,41,6,4.063468,4.095039,516,2.6418
121,6,22,4.027630,4.012318,491,2.6264
122,22,35,4.136584,4.157361,488,2.6224
123,35,53,4.021336,4.061327,468,2.6655
124,53,11,4.041181,4.037554,472,2.6033
125,11,45,4.214208,4.187015,494,2.6419
126,45,30,4.118529,4.118125,496,2.6106
127,30,46,4.286218,4.304076,489,2.6199
128,46,1,4.023243,4.011613,498,2.6162
129,1,47,4.229960,4.289400,493,2.6349
130,47,56,4.205087,4.237855,489,2.6227
131,56,1,4.096117,4.080123,485,2.6204
132,1,19,4.288442,4.261174,477,2.6558
133,19,24,4.118555,4.111182,476,2.6065
134,24,54,4.123031,4.135455,487,2.6133
135,54,25,3.819527,3.826800,481,2.6258
136,25,29,4.080881,4.146261,430,2.6064
137,29,23,4.243698,4.313193,508,2.6353
138,23,29,4.334471,4.276478,471,2.5878
139,29,11,4.155963,4.171070,469,2.6342
140,11,42,3.981529,3.995220,474,2.6095
141,42,54,4.095885,4.112682,494,2.6234
142,54,25,3.782360,3.793719,459,2.6109
143,25,36,3.841213,3.838600,493,2.7217
144,36,34,3.903506,3.871391,461,2.6330
145,34,40,4.112120,4.083900,478,2.6159
146,40,57,4.296510,4.292577,486,2.6207
147,57,59,4.165072,4.216307,479,2.6014
148,59,10,4.187078,4.151903,484,2.6092
149,10,11,4.040553,4.078211,494,2.6000
150,11,42,3.927787,3.958241,463,2.5994
151,42,54,4.078438,4.067799,489,2.6722
152,54,0,4.215873,4.198534,456,2.6075
153,0,60,4.077542,4.051702,463,2.5924
154,60,36,4.146327,4.154253,491,2.6209
155,36,34,3.856315,3.830976,459,2.6335
156,34,40,4.024485,4.030916,471,2.6311
157,40,21,4.031720,4.118619,453,2.6040
158,21,47,4.209546,4.190517,512,2.6394
159,47,56,4.143483,4.192655,502,2.6133
160,56,6,4.127174,4.108465,475,2.6251
161,6,56,4.130705,4.094715,508,2.6442
162,56,34,4.168982,4.160526,502,2.7162
163,34,35,4.155840,4.129901,468,2.5940
164,35,53,3.973692,4.019228,469,2.5945
165,53,17,4.181154,4.188008,491,2.6224
166,17,7,4.098184,4.098837,513,2.6148
167,7,22,4.046744,4.035124,476,2.5977
168,22,35,4.092439,4.113446,496,2.6093
169,35,53,3.932498,3.973006,432,2.6206
170,53,11,4.009889,3.995319,465,2.6344
171,11,45,4.174268,4.151811,500,2.6267
172,45,63,4.341818,4.355993,507,2.6316
173,63,18,4.086849,4.069231,476,2.5972
174,18,38,4.235305,4.232025,500,2.6159
175,38,2,4.145740,4.127754,489,2.6006
176,2,54,4.132891,4.171336,498,2.6250
177,54,25,3.759531,3.762517,472,2.6184
178,25,36,3.805485,3.795243,474,2.6371
179,36,34,3.806744,3.788251,471,2.6196
180,34,40,3.981739,3.975770,461,2.6173
181,40,25,4.022664,4.091562,498,2.6400
182,25,29,4.081563,4.119903,482,2.6846
183,29,23,4.190058,4.227834,497,2.6237
184,23,29,4.200947,4.190225,463,2.5958
185,29,23,4.152094,4.136872,468,2.6522
186,23,29,4.134609,4.099256,456,2.6295
187,29,48,4.098127,4.136731,485,2.6418
188,48,6,4.205327,4.229391,503,2.6448
189,6,32,3.954805,3.929491,480,2.6149
190,32,61,4.177355,4.217135,504,2.6360
191,61,2,4.200752,4.190993,489,2.6067
192,2,54,4.091136,4.132662,469,2.6305
193,54,25,3.686718,3.717036,444,2.6173
194,25,36,3.727999,3.739750,430,2.6519
195,36,21,4.075546,4.045308,489,2.6673
196,21,9,4.165811,4.178388,502,2.6184
197,9,3,4.133763,4.160489,486,2.6020
198,3,39,4.173060,4.161850,461,2.5679
199,39,59,4.223743,4.221694,476,2.5995
200,59,15,4.189066,4.220296,470,2.5883
201,15,19,4.137823,4.156917,461,2.6008
202,19,24,4.089773,4.064556,472,2.5921
203,24,4,4.126664,4.117305,474,2.6160
204,4,23,4.241552,4.247323,488,2.6008
205,23,29,4.063124,4.050060,473,2.6275
206,29,48,4.075200,4.092183,500,2.6305
207,48,25,4.094532,4.128955,470,2.6292
208,25,2,4.134210,4.121381,467,2.6364
209,2,12,4.197061,4.214790,458,2.6138
210,12,35,4.112804,4.103707,472,2.5939
211,35,0,4.246475,4.249044,452,2.5888
212,0,25,4.251589,4.251075,482,2.6079
213,25,2,4.070150,4.066319,435,2.6421
214,2,12,4.152121,4.178797,467,2.6654
215,12,35,4.032105,4.061065,442,2.6099
216,35,53,3.894979,3.918068,455,2.6127
217,53,17,4.149768,4.153267,507,2.6678
218,17,7,4.047670,4.062779,528,2.6433
219,7,31,4.238148,4.282749,489,2.6026
220,31,30,4.327282,4.269713,497,2.6216
221,30,31,4.334105,4.242358,485,2.6094
222,31,12,4.247940,4.265201,452,2.6147
223,12,35,3.963888,4.025608,458,2.5909
224,35,8,4.086509,4.105771,480,2.6632
225,8,56,4.150134,4.177997,484,2.6070
226,56,1,4.045134,4.056376,488,2.6169
227,1,32,4.076885,4.081297,493,2.6185
228,32,61,4.144008,4.177452,502,2.6243
229,61,2,4.165205,4.156951,468,2.5985
230,2,12,4.101547,4.146171,468,2.6332
231,12,35,3.968146,3.985923,453,2.6051
232,35,53,3.829088,3.861676,446,2.6308
233,53,11,3.913001,3.952771,509,2.6803
234,11,42,3.919579,3.921983,500,2.6433
235,42,45,4.132310,4.108933,497,2.6286
236,45,63,4.361311,4.316008,506,2.6207
237,63,18,4.053051,4.019470,463,2.5836
238,18,38,4.203579,4.190429,504,2.6367
239,38,50,4.046641,4.108676,499,2.6304
240,50,53,4.063986,4.088717,494,2.6330
241,53,11,3.890379,3.917204,447,2.6188
242,11,42,3.853295,3.885276,478,2.6523
243,42,45,4.105679,4.058679,488,2.6410
244,45,63,4.302514,4.278015,517,2.6360
245,63,6,4.255258,4.246653,452,2.6320
246,6,32,3.887665,3.877372,486,2.6119
247,32,9,4.233605,4.232388,463,2.5959
248,9,3,4.067310,4.114561,484,2.6169
249,3,41,4.280046,4.275081,493,2.6272
250,41,30,4.033380,4.027638,508,2.6202
251,30,46,4.240849,4.252345,465,2.6123
252,46,47,4.358046,4.371752,503,2.6296
253,47,51,4.186032,4.194968,504,2.6441
254,51,29,4.275156,4.267488,484,2.6259
255,29,48,4.054106,4.042412,493,2.6041
256,48,6,4.188022,4.201536,477,2.6342
257,6,56,4.075059,4.070395,482,2.6314
258,56,34,4.141446,4.132341,477,2.5942
259,34,40,3.936336,3.926554,515,2.6414
260,40,21,4.048691,4.064384,473,2.6107
261,21,48,4.107607,4.131940,498,2.6416
262,48,25,4.039251,4.073337,447,2.6397
263,25,29,4.037946,4.097416,479,2.6407
264,29,23,4.049567,4.013264,497,2.6313
265,23,29,3.956421,3.972403,475,2.6249
266,29,11,4.167764,4.151890,492,2.6465
267,11,24,4.123343,4.119207,462,2.6020
268,24,4,4.074291,4.069054,492,2.6206
269,4,19,4.158050,4.157058,497,2.6298
270,19,38,4.090297,4.102687,488,2.6131
271,38,2,4.074801,4.079085,513,2.6540
272,2,12,4.129593,4.109186,484,2.6142
273,12,20,4.076755,4.044374,473,2.6157
274,20,10,3.944539,3.940911,472,2.6080
275,10,2,4.036264,4.009655,507,2.6256
276,2,45,4.255926,4.256911,445,2.6218
277,45,30,4.054639,4.093933,494,2.6183
278,30,46,4.178937,4.208468,469,2.5877
279,46,47,4.322508,4.323494,482,2.6217
280,47,22,3.993397,4.059445,493,2.6274
281,22,35,4.080032,4.077993,505,2.6216
282,35,0,4.210707,4.207558,478,2.6093
283,0,60,4.022068,4.018502,485,2.6261
284,60,38,4.273184,4.264166,512,2.6405
285,38,2,4.032198,4.023725,473,2.6369
286,2,45,4.215787,4.208092,444,2.6199
287,45,30,4.014799,4.053295,469,2.6255
288,30,46,4.143728,4.164772,439,2.6233
289,46,47,4.282084,4.274922,462,2.6301
290,47,56,4.061055,4.139837,494,2.6738
291,56,1,4.033246,4.017008,506,2.6566
292,1,32,3.999805,4.022488,499,2.6615
293,32,61,4.083784,4.145765,514,2.6607
294,61,34,4.213049,4.220351,480,2.6065
295,34,35,4.158536,4.107068,482,2.6283
296,35,8,4.053391,4.068585,473,2.6131
297,8,41,4.168922,4.184665,509,2.6396
298,41,6,4.006580,4.057084,489,2.6094
299,6,32,3.860744,3.830509,484,2.6187
300,32,27,4.142827,4.158445,462,2.6320
301,27,2,4.101011,4.112404,467,2.5947
302,2,12,4.028553,4.078931,499,2.6607
303,12,35,3.916217,3.964437,469,2.6173
304,35,53,3.773113,3.819157,456,2.6382
305,53,17,4.123744,4.125596,509,2.6664
306,17,1,4.048299,4.103543,508,2.6298
307,1,47,4.164323,4.206327,467,2.6138
308,47,22,4.028293,4.013244,484,2.6169
309,22,20,4.307823,4.343029,495,2.6157
310,20,3,4.224637,4.171146,476,2.5964
311,3,41,4.227770,4.242033,497,2.6256
312,41,6,4.015876,4.023614,493,2.6320
313,6,32,3.843300,3.789789,488,2.6276
314,32,9,4.248902,4.214952,469,2.6387
315,9,15,3.938478,3.915374,486,2.5936
316,15,19,4.098194,4.122122,472,2.6141
317,19,51,4.138886,4.162304,475,2.6163
318,51,16,4.147146,4.119617,473,2.6122
319,16,21,4.042860,4.047172,486,2.6101
320,21,47,4.201693,4.137317,482,2.6115
321,47,22,3.971785,3.978291,473,2.5666
322,22,20,4.283546,4.297263,479,2.6031
323,20,10,3.941849,3.908759,458,2.6175
324,10,2,3.960490,3.971468,506,2.6049
325,2,45,4.170761,4.171713,494,2.6368
326,45,63,4.224709,4.252770,479,2.6174
327,63,18,3.934121,3.973683,484,2.6147
328,18,38,4.134920,4.147484,509,2.6534
329,38,54,4.151145,4.195370,501,2.6487
330,54,25,3.673366,3.688941,500,2.6483
331,25,2,4.035358,4.023096,478,2.6315
332,2,45,4.141310,4.132862,474,2.6656
333,45,30,4.021288,4.011144,462,2.6253
334,30,46,4.079252,4.122470,478,2.6168
335,46,1,3.984682,3.970015,500,2.6288
336,1,19,4.244372,4.227023,488,2.6514
337,19,51,4.130606,4.115480,471,2.6180
338,51,29,4.238726,4.227174,462,2.6227
339,29,23,3.931573,3.928025,479,2.5812
340,23,29,3.923135,3.882491,486,2.6116
341,29,23,3.935644,3.839666,479,2.6455
342,23,18,4.286071,4.241290,463,2.6488
343,18,38,4.142798,4.104474,480,2.6235
344,38,50,4.085184,4.086092,491,2.6439
345,50,54,4.138254,4.142095,478,2.6129
346,54,25,3.640304,3.653526,453,2.5946
347,25,29,4.005128,4.077164,475,2.6334
348,29,11,4.100360,4.118131,472,2.6508
349,11,42,3.877138,3.848395,489,2.6257
350,42,54,4.062662,4.036686,501,2.6462
351,54,0,4.210819,4.154812,449,2.6415
352,0,60,4.004413,3.983169,489,2.6279
353,60,44,4.092961,4.101412,485,2.6083
354,44,35,4.178518,4.163131,465,2.5850
355,35,8,4.000656,4.026402,483,2.6097
356,8,41,4.106527,4.135770,463,2.5819
357,41,36,4.300140,4.294230,495,2.6276
358,36,29,4.024890,4.045602,483,2.6064
359,29,11,4.076469,4.079746,469,2.6132
360,11,45,4.090568,4.105850,494,2.6593
361,45,63,4.211173,4.221577,514,2.6558
362,63,47,4.115602,4.144635,463,2.5830
363,47,51,4.131132,4.163425,496,2.6208
364,51,29,4.187677,4.181115,492,2.6664
365,29,11,3.992589,4.033945,437,2.5731
366,11,45,4.067144,4.069162,484,2.6691
367,45,62,4.027696,4.004333,490,2.6582
368,62,60,4.143169,4.199412,470,2.5585
369,60,38,4.244349,4.230463,474,2.6201
370,38,50,4.043697,4.035526,475,2.6144
371,50,54,4.104272,4.092931,454,2.5931
372,54,0,4.141505,4.104936,446,2.5902
373,0,60,3.943830,3.951416,451,2.6301
374,60,38,4.204180,4.191212,441,2.6039
375,38,2,4.007481,3.979598,488,2.6822
376,2,54,3.988370,4.038347,497,2.6567
377,54,0,4.077343,4.065245,465,2.6544
378,0,60,3.920707,3.919169,480,2.7031
379,60,38,4.148349,4.150528,453,2.6478
380,38,2,3.945896,3.930899,496,2.7168
381,2,54,3.935252,3.995237,475,2.6747
382,54,25,3.619508,3.611172,479,2.7028
383,25,36,3.686966,3.694139,459,2.6027
384,36,21,4.019030,3.990746,478,2.6294
385,21,9,4.143989,4.150621,526,2.6506
386,9,15,3.926156,3.864540,470,2.5969
387,15,49,4.053446,4.083552,464,2.6150
388,49,50,4.025722,4.100722,470,2.6063
389,50,53,4.032267,4.042978,469,2.6025
390,53,11,3.858930,3.882143,497,2.6280
391,11,42,3.802801,3.810178,497,2.6642
392,42,54,4.046339,4.007996,514,2.6660
393,54,25,3.555017,3.581835,433,2.6046
394,25,36,3.604621,3.633852,437,2.6253
395,36,29,3.933761,3.978032,448,2.6471
396,29,11,3.986988,3.993212,481,2.6251
397,11,42,3.759814,3.772195,492,2.6816
398,42,54,4.020192,3.961114,499,2.7110
399,54,0,4.048647,4.018708,468,2.6833
400,0,25,4.196183,4.083320,468,2.6398
401,25,2,3.898952,3.962954,436,2.6606
402,2,45,4.095209,4.087883,499,2.6725
403,45,30,3.955023,3.985350,520,2.6764
404,30,46,4.074551,4.079408,489,2.6343
405,46,1,3.937640,3.925543,507,2.6237
406,1,47,4.159837,4.180604,498,2.6694
407,47,56,4.047337,4.092821,507,2.6492
408,56,34,4.086791,4.104962,497,2.6282
409,34,7,4.259694,4.278728,505,2.6394
410,7,22,4.000961,3.987041,486,2.6039
411,22,35,4.006380,4.033793,484,2.5936
412,35,53,3.764251,3.779711,470,2.5803
413,53,0,4.098684,4.165457,472,2.6032
414,0,25,4.111464,4.055903,450,2.6310
415,25,36,3.565340,3.588216,412,2.6072
416,36,29,3.908268,3.920372,468,2.6355
417,29,23,3.832024,3.833891,493,2.6351
418,23,29,3.785857,3.775419,489,2.6284
419,29,23,3.829381,3.743700,502,2.7030
420,23,29,3.711479,3.684441,480,2.6750
421,29,48,3.922648,3.959463,530,2.7716
422,48,51,4.076708,4.063397,498,2.6546
423,51,16,4.144878,4.072002,512,2.6364
424,16,21,4.036229,4.003035,498,2.6154
425,21,9,4.099483,4.108157,475,2.6242
426,9,44,4.361445,4.390598,474,2.6175
427,44,35,4.053153,4.108405,482,2.6112
428,35,53,3.696262,3.735137,476,2.6205
429,53,11,3.790710,3.835018,495,2.6678
430,11,45,4.028553,4.033933,491,2.6706
431,45,30,3.961504,3.950255,511,2.6719
432,30,31,4.237914,4.242511,483,2.6263
433,31,54,4.245381,4.197404,452,2.5852
434,54,25,3.522343,3.548574,454,2.6022
435,25,2,3.921431,3.899318,417,2.5685
436,2,45,4.062769,4.050658,496,2.6620
437,45,62,4.030065,3.986116,461,2.6638
438,62,21,4.178451,4.234114,479,2.5994
439,21,47,4.162266,4.104555,477,2.6246
440,47,51,4.169858,4.124726,479,2.5906
441,51,16,4.085954,4.020811,472,2.6416
442,16,23,4.206703,4.210177,496,2.6406
443,23,29,3.652086,3.649610,468,2.6141
444,29,48,3.871041,3.911808,473,2.6336
445,48,25,4.011295,4.032293,449,2.6214
446,25,29,3.926674,3.995025,439,2.6482
447,29,11,3.937594,3.961848,495,2.7065
448,11,45,3.961970,3.997534,468,2.6533
449,45,30,3.939211,3.913026,514,2.6876
450,30,46,4.026470,4.034978,492,2.6463
451,46,46,3.274590,3.161307,496,2.6221
452,46,47,4.198781,4.210509,462,2.6324
453,47,51,4.080041,4.089960,484,2.6308
454,51,29,4.141657,4.127504,487,2.6936
455,29,23,3.689991,3.636386,440,2.5617
456,23,29,3.613002,3.563184,451,2.6264
457,29,11,3.851010,3.905233,491,2.7143
458,11,45,3.931133,3.955096,484,2.6880
459,45,63,4.169252,4.207609,532,2.7279
460,63,18,3.925688,3.928506,488,2.6204
461,18,12,4.348434,4.328250,509,2.6562
462,12,20,4.050573,4.014967,476,2.6302
463,20,10,3.895383,3.872250,489,2.6132
464,10,11,4.109521,4.101256,505,2.6200
