position,token,target,loss_nats,passthrough_nats,visits,mean_hops
0,25,36,4.166067,4.166067,8,1.0000
1,36,21,4.108161,4.101890,8,1.0000
2,21,9,4.229335,4.235277,8,1.0000
3,9,15,4.072243,4.072071,8,1.0000
4,15,49,4.197194,4.201644,8,1.0000
5,49,43,4.245239,4.241384,8,1.0000
6,43,11,4.183972,4.186194,8,1.0000
7,11,42,4.132448,4.132309,8,1.0000
8,42,54,4.237254,4.235524,150,1.6087
9,54,25,3.964579,3.971505,8,1.0000
10,25,36,4.115562,4.116083,410,2.6725
11,36,29,4.231537,4.229728,446,2.7365
12,29,11,4.248864,4.253778,322,2.5817
13,11,42,4.083730,4.094026,471,2.7706
14,42,0,4.122680,4.078580,553,2.8469
15,0,21,4.117000,4.118899,349,2.4279
16,21,48,4.212522,4.220238,553,2.8606
17,48,25,4.203463,4.216041,524,2.8191
18,25,2,4.162214,4.164895,512,2.8192
19,2,45,4.372286,4.365675,377,2.6961
20,45,62,3.988634,3.989429,557,2.8667
21,62,21,4.266395,4.239597,512,2.8072
22,21,48,4.139005,4.185159,435,2.8414
23,48,25,4.130502,4.169820,450,2.7583
24,25,36,4.057199,4.057526,485,2.8342
25,36,29,4.162464,4.174955,516,2.8344
26,29,11,4.197461,4.206846,505,2.8029
27,11,42,4.041899,4.057902,510,2.8355
28,42,54,4.185210,4.188610,508,2.8186
29,54,44,4.400349,4.390679,551,2.8612
30,44,36,4.117886,4.074851,537,2.8403
31,36,34,4.021153,4.021679,473,2.8107
32,34,7,4.322156,4.322579,529,2.8057
33,7,22,4.048901,4.068877,538,2.8431
34,22,47,4.225342,4.201231,551,2.8485
35,47,51,4.231996,4.237864,546,2.8517
36,51,16,4.194442,4.176030,513,2.8155
37,16,53,4.300683,4.291380,527,2.8319
38,53,0,4.182628,4.198154,527,2.8299
39,0,60,4.134083,4.130315,534,2.8376
40,60,38,4.316933,4.335143,546,2.8476
41,38,2,4.193684,4.186934,545,2.8412
42,2,12,4.242921,4.266430,511,2.8037
43,12,35,4.175510,4.157646,516,2.8196
44,35,8,4.207516,4.226647,532,2.8351
45,8,56,4.210092,4.228374,546,2.8414
46,56,1,4.100673,4.114022,532,2.8452
47,1,47,4.326708,4.326356,503,2.8169
48,47,22,4.156944,4.159370,495,2.8060
49,22,20,4.364799,4.360844,546,2.8538
50,20,10,4.019986,4.014011,539,2.8433
51,10,2,4.129998,4.102996,544,2.8393
52,2,12,4.176866,4.234658,455,2.8001
53,12,20,4.089616,4.092375,492,2.7959
54,20,10,4.012446,3.976996,511,2.8525
55,10,2,4.088468,4.061054,487,2.7974
56,2,54,4.224971,4.256111,477,2.8374
57,54,0,4.254714,4.251633,522,2.8286
58,0,60,4.075942,4.089254,513,2.8191
59,60,38,4.292518,4.296830,537,2.8399
60,38,50,4.105571,4.136631,522,2.8378
61,50,54,4.122517,4.174584,527,2.8287
62,54,25,3.955706,3.943362,486,2.7982
63,25,36,4.001261,4.013681,497,2.7945
64,36,34,3.987085,3.982281,509,2.8077
65,34,35,4.210720,4.210569,527,2.8192
66,35,0,4.271131,4.313641,511,2.8074
67,0,25,4.337365,4.304421,457,2.8124
68,25,2,4.171540,4.121627,487,2.8535
69,2,45,4.306216,4.308775,496,2.8485
70,45,30,4.165437,4.154491,547,2.8414
71,30,46,4.305470,4.348452,528,2.8358
72,46,1,4.078497,4.060052,536,2.8327
73,1,32,4.173770,4.141373,496,2.7977
74,32,9,4.246383,4.239296,523,2.8266
75,9,15,4.027861,4.015164,534,2.8395
76,15,49,4.155180,4.159805,501,2.8156
77,49,48,4.123492,4.163688,542,2.8439
78,48,6,4.243545,4.264860,506,2.8001
79,6,22,4.040316,4.049027,529,2.8347
80,22,47,4.065269,4.100373,529,2.8198
81,47,56,4.246410,4.287630,534,2.8267
82,56,6,4.218962,4.215785,501,2.8195
83,6,56,4.244640,4.205028,509,2.8061
84,56,6,4.195229,4.136247,422,2.7464
85,6,32,4.013248,3.967761,519,2.8696
86,32,61,4.233180,4.254486,520,2.8285
87,61,2,4.231599,4.232238,546,2.8398
88,2,54,4.171415,4.208747,516,2.8522
89,54,25,3.933646,3.903788,515,2.8011
90,25,36,3.976225,3.969380,477,2.7858
91,36,29,4.129390,4.126649,510,2.8154
92,29,23,4.311126,4.352800,537,2.8318
93,23,18,4.229990,4.245643,538,2.8522
94,18,12,4.353564,4.357988,545,2.8454
95,12,35,4.104313,4.117837,525,2.8403
96,35,8,4.134390,4.184532,532,2.8310
97,8,52,4.143080,4.135311,542,2.8490
98,52,22,4.288343,4.276660,524,2.8341
99,22,35,4.213973,4.201157,531,2.8393
100,35,0,4.248427,4.271026,445,2.7834
101,0,21,4.089442,4.084109,502,2.8222
102,21,9,4.190981,4.211386,551,2.8424
103,9,15,3.984498,3.963905,524,2.8376
104,15,49,4.125171,4.124947,501,2.8263
105,49,50,4.093093,4.140539,514,2.8249
106,50,53,4.114754,4.131257,537,2.8373
107,53,11,4.079975,4.078433,539,2.8525
108,11,42,4.018008,4.023803,530,2.8453
109,42,54,4.170634,4.152421,531,2.8273
110,54,25,3.887692,3.868748,499,2.8346
111,25,36,3.945018,3.923038,428,2.7942
112,36,34,3.948586,3.948204,467,2.7840
113,34,40,4.149852,4.140722,501,2.7876
114,40,25,4.124019,4.137177,532,2.8263
115,25,36,3.880358,3.877719,474,2.8039
116,36,34,3.899473,3.907143,398,2.7562
117,34,35,4.200553,4.173063,389,2.5411
118,35,8,4.099580,4.144440,479,2.8380
119,8,41,4.264657,4.234840,507,2.8090
120,41,6,4.079419,4.094946,550,2.8507
121,6,22,4.040471,4.012965,532,2.8348
122,22,35,4.134458,4.160608,540,2.8562
123,35,53,4.026195,4.063352,431,2.8464
124,53,11,4.040446,4.038514,500,2.8091
125,11,45,4.194502,4.188125,505,2.8160
126,45,30,4.127314,4.118250,546,2.8518
127,30,46,4.279243,4.301944,533,2.8349
128,46,1,4.013004,4.014028,537,2.8221
129,1,47,4.244667,4.293253,471,2.7867
130,47,56,4.214305,4.242396,549,2.8625
131,56,1,4.058942,4.079015,506,2.8389
132,1,19,4.246390,4.260801,491,2.8102
133,19,24,4.084930,4.111103,524,2.8319
134,24,54,4.131967,4.138432,542,2.8490
135,54,25,3.837530,3.828944,497,2.8119
136,25,29,4.096102,4.150531,429,2.8274
137,29,23,4.301626,4.315427,533,2.8335
138,23,29,4.301496,4.278344,525,2.8279
139,29,11,4.170712,4.167074,462,2.8114
140,11,42,3.975871,3.988024,513,2.8183
141,42,54,4.076268,4.109074,537,2.8211
142,54,25,3.797989,3.796943,476,2.8377
143,25,36,3.835618,3.830903,458,2.8194
144,36,34,3.913920,3.867856,490,2.8225
145,34,40,4.102829,4.084801,519,2.8267
146,40,57,4.319152,4.292083,526,2.8087
147,57,59,4.164632,4.216215,535,2.8262
148,59,10,4.183169,4.148412,506,2.8087
149,10,11,4.061952,4.079561,531,2.8121
150,11,42,3.931312,3.952940,476,2.8016
151,42,54,4.073963,4.065642,509,2.8114
152,54,0,4.245319,4.199426,492,2.8230
153,0,60,4.069345,4.050219,538,2.8599
154,60,36,4.174073,4.151260,540,2.8246
155,36,34,3.833369,3.827419,470,2.8176
156,34,40,4.009737,4.032666,520,2.8397
157,40,21,4.054291,4.116536,482,2.8028
158,21,47,4.214904,4.189240,514,2.8000
159,47,56,4.126556,4.197037,520,2.8115
160,56,6,4.126119,4.106776,480,2.7794
161,6,56,4.132514,4.093678,519,2.8379
162,56,34,4.178829,4.161485,481,2.7922
163,34,35,4.151950,4.136069,515,2.8470
164,35,53,4.007654,4.021934,490,2.8065
165,53,17,4.187147,4.186261,488,2.8021
166,17,7,4.094177,4.101378,531,2.8208
167,7,22,4.037183,4.033493,527,2.8084
168,22,35,4.100989,4.117242,534,2.8407
169,35,53,3.938014,3.976207,475,2.8186
170,53,11,4.001445,3.994939,497,2.8298
171,11,45,4.150818,4.155047,515,2.8286
172,45,63,4.350042,4.354960,545,2.8484
173,63,18,4.074976,4.067965,546,2.8313
174,18,38,4.240381,4.225948,529,2.8180
175,38,2,4.165332,4.129981,531,2.8248
176,2,54,4.153872,4.173114,521,2.8335
177,54,25,3.775427,3.769351,503,2.8284
178,25,36,3.784099,3.788662,492,2.8209
179,36,34,3.801759,3.783022,497,2.8019
180,34,40,3.967847,3.979693,458,2.7993
181,40,25,4.020495,4.089726,516,2.8289
182,25,29,4.067458,4.126257,458,2.7874
183,29,23,4.191142,4.230546,540,2.8355
184,23,29,4.226703,4.191973,538,2.8376
185,29,23,4.125166,4.139229,526,2.8466
186,23,29,4.114587,4.101418,461,2.7589
187,29,48,4.105746,4.130120,510,2.8120
188,48,6,4.186538,4.233407,514,2.8172
189,6,32,3.958192,3.930945,501,2.7821
190,32,61,4.185264,4.217441,552,2.8427
191,61,2,4.210546,4.193019,509,2.8144
192,2,54,4.129521,4.134351,495,2.7873
193,54,25,3.710985,3.724773,464,2.8035
194,25,36,3.748635,3.733572,470,2.8369
195,36,21,4.063555,4.038598,511,2.8081
196,21,9,4.110605,4.179089,546,2.8341
197,9,3,4.152207,4.159837,536,2.8327
