position,token,target,loss_nats,passthrough_nats,visits,mean_hops
0,25,36,4.166295,4.166067,1435,10.6409
1,36,21,4.109249,4.101891,1481,10.7832
2,21,9,4.235529,4.235196,1447,10.5960
3,9,15,4.071551,4.072725,1244,9.8749
4,15,49,4.200542,4.201554,1469,10.6487
5,49,43,4.244443,4.241621,1270,9.7187
6,43,11,4.183065,4.186236,1423,10.5993
7,11,42,4.141653,4.132476,1428,10.4864
8,42,54,4.243462,4.235172,1361,10.0058
9,54,25,3.957666,3.971536,1513,10.7913
10,25,36,4.013863,4.115532,1388,10.5141
11,36,29,4.251443,4.231734,1457,10.6865
12,29,11,4.275873,4.248962,1243,9.9767
13,11,42,4.129313,4.096433,1487,10.5580
14,42,0,4.078550,4.079570,1485,10.8695
15,0,21,4.124961,4.121881,1181,9.2350
16,21,48,4.228644,4.219720,1474,10.6301
17,48,25,4.228272,4.211624,1437,10.6195
18,25,2,4.174535,4.163919,1457,10.7423
19,2,45,4.359116,4.366835,1376,10.3723
20,45,62,3.980701,3.988346,1234,9.8868
21,62,21,4.271201,4.238542,1338,10.0337
22,21,48,4.185148,4.187592,1469,10.6911
23,48,25,4.104222,4.158569,1183,9.2788
24,25,36,3.950660,4.048627,1467,10.6203
25,36,29,4.166093,4.179656,1460,10.6083
26,29,11,4.249226,4.194104,1445,10.6118
27,11,42,4.042083,4.060402,1451,10.5679
28,42,54,4.178959,4.177893,1428,10.7658
29,54,44,4.333409,4.392454,1466,10.5860
30,44,36,4.022171,4.054671,1453,10.6617
31,36,34,4.048811,4.018417,1449,10.6004
32,34,7,4.296668,4.322959,1417,10.5350
33,7,22,4.102455,4.069359,1452,10.7107
34,22,47,4.196364,4.200228,1393,10.4167
35,47,51,4.214967,4.238522,1450,10.6223
36,51,16,4.193742,4.178844,1449,10.6647
37,16,53,4.289462,4.290440,1456,10.6181
38,53,0,4.217771,4.196404,1478,10.6648
39,0,60,4.129836,4.129489,1377,10.3886
40,60,38,4.334625,4.338503,1457,10.7542
41,38,2,4.316949,4.185276,1467,10.6790
42,2,12,4.223636,4.268885,1462,10.6363
43,12,35,4.149637,4.155497,1443,10.6207
44,35,8,4.176875,4.226114,1468,10.6700
45,8,56,4.268043,4.227660,1465,10.6463
46,56,1,4.139643,4.114130,1271,9.6868
47,1,47,4.316847,4.330018,1446,10.6465
48,47,22,4.148225,4.154356,1432,10.5749
49,22,20,4.363587,4.360761,1452,10.6272
50,20,10,4.030435,4.011133,1327,10.0782
51,10,2,4.120519,4.101711,1466,10.6171
52,2,12,4.015345,4.237382,1437,10.5918
53,12,20,3.968568,4.098754,1460,10.6396
54,20,10,3.800101,3.973922,1433,10.5514
55,10,2,4.068373,4.060800,1461,10.6078
56,2,54,4.250759,4.248834,1440,10.7107
57,54,0,4.379359,4.246528,1452,10.5770
58,0,60,4.063103,4.086807,1119,9.4407
59,60,38,4.253195,4.303490,1452,10.6119
60,38,50,4.174554,4.137376,1445,10.5834
61,50,54,4.219355,4.165888,1461,10.6194
62,54,25,3.805120,3.948181,1479,10.5916
63,25,36,3.805504,3.995526,1431,10.5777
64,36,34,4.079475,3.976582,1437,10.5452
65,34,35,4.208624,4.213264,1392,10.4517
66,35,0,4.422678,4.314353,1459,10.6220
67,0,25,4.358231,4.284732,1320,10.2817
68,25,2,4.105782,4.103126,1467,10.5914
69,2,45,4.300269,4.302760,1442,10.6622
70,45,30,4.102763,4.153416,1456,10.6041
71,30,46,4.292571,4.352522,1450,10.5893
72,46,1,4.042829,4.058066,1465,10.5958
73,1,32,4.194332,4.141049,1465,10.5914
74,32,9,4.272763,4.240017,1252,9.7561
75,9,15,3.906046,4.014087,1070,8.5000
76,15,49,4.190032,4.160172,1448,10.6743
77,49,48,4.158470,4.166002,1360,10.3726
78,48,6,4.306951,4.262121,1438,10.5745
79,6,22,4.027965,4.052275,1155,9.2965
80,22,47,4.112061,4.102968,1402,10.6127
81,47,56,4.275296,4.284679,1469,10.5982
82,56,6,4.200925,4.220324,1475,10.6528
83,6,56,4.241634,4.210144,1469,10.6689
84,56,6,4.170140,4.140130,1490,10.6233
85,6,32,3.891725,3.966494,1471,10.6572
86,32,61,4.304472,4.257763,1468,10.6267
87,61,2,4.272987,4.228281,1319,10.2220
88,2,54,4.157718,4.185001,1331,10.2243
89,54,25,3.719372,3.906255,1459,10.5946
90,25,36,3.737555,3.950593,1464,10.7087
91,36,29,4.147785,4.128451,1460,10.6443
92,29,23,4.322984,4.356434,1452,10.5994
93,23,18,4.288152,4.245435,765,7.7456
94,18,12,4.333890,4.356830,1461,10.6226
95,12,35,4.112482,4.110693,1450,10.6260
96,35,8,4.061293,4.185422,1448,10.5793
97,8,52,4.140770,4.138565,1451,10.6219
98,52,22,4.288989,4.277876,1470,10.6840
99,22,35,4.267499,4.199086,776,7.7578
100,35,0,4.425431,4.272817,1448,10.5936
101,0,21,4.193108,4.066839,932,7.7032
102,21,9,4.199530,4.209765,1440,10.5628
103,9,15,3.781573,3.964522,1383,10.3489
104,15,49,4.134723,4.115055,1486,10.6423
105,49,50,4.022230,4.150765,1466,10.6655
106,50,53,4.107796,4.126587,1017,8.7466
107,53,11,4.026088,4.089835,1432,10.6263
108,11,42,4.102518,4.031645,1451,10.6425
109,42,54,4.289329,4.127218,1125,9.0812
110,54,25,3.635804,3.888784,1278,10.0894
111,25,36,3.696199,3.895765,1404,10.4450
112,36,34,3.988394,3.942248,1471,10.6175
113,34,40,4.166207,4.151284,1459,10.7362
114,40,25,4.022283,4.124375,1473,10.7005
115,25,36,3.619756,3.847994,1450,10.7619
116,36,34,3.813927,3.890704,1450,10.7240
117,34,35,4.106884,4.167571,1469,10.6538
118,35,8,4.031361,4.157772,1457,10.6186
119,8,41,4.279043,4.252678,1449,10.6246
120,41,6,4.019583,4.097666,1368,10.5882
121,6,22,3.917385,4.034352,1411,10.5517
122,22,35,4.272764,4.159299,1382,10.6367
123,35,53,4.110452,4.060949,1448,10.6100
124,53,11,3.972440,4.050648,1451,10.6529
125,11,45,4.087366,4.195593,1439,10.6274
126,45,30,4.048127,4.120294,1448,10.6390
127,30,46,4.207379,4.315285,1436,10.5558
128,46,1,4.064247,4.015954,1463,10.6222
129,1,47,4.290013,4.284797,1461,10.7746
130,47,56,4.276154,4.247663,1479,10.6077
131,56,1,4.084808,4.073506,1442,10.6673
132,1,19,4.282481,4.263310,1459,10.5907
133,19,24,4.124991,4.110515,1461,10.6819
134,24,54,4.072600,4.136205,1447,10.5765
135,54,25,3.626860,3.858219,1471,10.5434
136,25,29,4.070973,4.113991,1429,10.5689
137,29,23,4.307580,4.322213,1480,10.6079
138,23,29,4.375812,4.280325,878,7.7543
139,29,11,4.147042,4.152794,1439,10.5634
140,11,42,4.142258,4.005694,1476,10.5888
141,42,54,4.211840,4.083560,1412,10.5840
142,54,25,3.602669,3.845209,1457,10.6035
143,25,36,3.584224,3.774914,1464,10.6143
144,36,34,3.820203,3.846676,1468,10.5973
145,34,40,4.119599,4.114877,1445,10.5635
146,40,57,4.303705,4.301326,848,6.7471
147,57,59,4.099325,4.211710,1257,9.9033
148,59,10,4.214648,4.156784,1280,9.8793
149,10,11,3.934260,4.080790,1483,10.6313
150,11,42,4.093821,3.981370,1427,10.5927
151,42,54,4.179324,4.034165,1459,10.7747
152,54,0,4.336386,4.163925,1395,10.4578
153,0,60,3.996087,4.064472,1263,10.1136
154,60,36,4.363091,4.185320,1461,10.7504
155,36,34,3.682673,3.812657,1490,10.5482
156,34,40,4.022148,4.067966,1469,10.5861
157,40,21,4.023317,4.099529,1508,10.7156
158,21,47,4.110631,4.209175,1421,10.5209
159,47,56,4.224401,4.217736,1483,10.5985
160,56,6,4.174346,4.116937,1456,10.6386
161,6,56,4.223431,4.101171,1312,10.2949
162,56,34,3.979360,4.114293,1477,10.7353
163,34,35,4.088381,4.124078,1457,10.6686
164,35,53,4.025334,4.027547,1354,10.5001
165,53,17,4.261655,4.190951,1478,10.6302
166,17,7,4.156514,4.101276,1226,9.7929
167,7,22,4.181488,4.023726,1476,10.7370
168,22,35,4.313563,4.098462,1423,10.6101
169,35,53,3.907279,3.987644,1460,10.9440
