position,token,target,loss_nats,passthrough_nats,visits,mean_hops
0,25,36,4.166067,4.166067,1441,9.6446
1,36,21,4.101890,4.101890,1435,9.6162
2,21,9,4.235385,4.235385,1452,9.6349
3,9,15,4.072522,4.072522,1385,9.6977
4,15,49,4.202026,4.202026,1045,7.8036
5,49,43,4.241608,4.241608,1338,9.0982
6,43,11,4.185974,4.185974,1265,9.0628
7,11,42,4.132384,4.132384,1213,8.6271
8,42,54,4.235509,4.235509,1453,9.6483
9,54,25,3.971558,3.971558,1377,9.4894
10,25,36,4.116689,4.116689,1448,9.5379
11,36,29,4.230332,4.230332,1472,9.6430
12,29,11,4.253903,4.253903,1260,8.6822
13,11,42,4.094132,4.094132,1448,9.6607
14,42,0,4.079408,4.079408,1469,9.6023
15,0,21,4.121723,4.121723,1426,9.5495
16,21,48,4.219442,4.219442,1443,9.6851
17,48,25,4.215325,4.215325,1460,9.6301
18,25,2,4.164654,4.164654,1388,9.5289
19,2,45,4.366879,4.366879,1112,8.1663
20,45,62,3.989439,3.989439,1378,9.4062
21,62,21,4.238092,4.238092,1421,9.5587
22,21,48,4.183456,4.183456,1459,9.6960
23,48,25,4.166192,4.166192,1420,9.7105
24,25,36,4.056295,4.056295,1422,9.5013
25,36,29,4.178212,4.178212,1441,9.6318
26,29,11,4.206734,4.206734,1450,9.5681
27,11,42,4.057185,4.057185,1437,9.6447
28,42,54,4.187146,4.187146,1121,7.8763
29,54,44,4.391386,4.391386,1442,9.6090
30,44,36,4.073429,4.073429,1408,9.4994
31,36,34,4.020170,4.020170,1471,9.6454
32,34,7,4.321479,4.321479,1431,9.6018
33,7,22,4.068813,4.068813,1438,9.5424
34,22,47,4.201844,4.201844,1405,9.4364
35,47,51,4.238488,4.238488,1460,9.6094
36,51,16,4.177940,4.177940,1456,9.6239
37,16,53,4.291592,4.291592,1453,9.6623
38,53,0,4.197272,4.197272,1456,9.6098
39,0,60,4.130003,4.130003,1264,9.0261
40,60,38,4.338054,4.338054,1470,9.6410
41,38,2,4.185984,4.185984,1469,9.6074
42,2,12,4.268342,4.268342,1453,9.6422
43,12,35,4.153843,4.153843,1422,9.5751
44,35,8,4.225399,4.225399,1298,8.9403
45,8,56,4.229140,4.229140,1447,9.6174
46,56,1,4.115690,4.115690,1364,9.3956
