exponent,contacts,side,nodes,mean_greedy_hops
0,1,64,4096,15.510667
0,1,128,16384,25.303667
0,1,256,65536,39.973333
0,1,512,262144,64.886667
1,1,64,4096,14.500333
1,1,128,16384,22.120333
1,1,256,65536,32.928000
1,1,512,262144,47.620667
1.5,1,64,4096,14.605000
1.5,1,128,16384,21.757667
1.5,1,256,65536,30.853000
1.5,1,512,262144,42.378667
2,1,64,4096,15.274333
2,1,128,16384,22.730333
2,1,256,65536,33.377333
2,1,512,262144,44.982667
2.5,1,64,4096,17.241333
2.5,1,128,16384,27.563000
2.5,1,256,65536,43.273333
2.5,1,512,262144,65.456333
3,1,64,4096,19.056333
3,1,128,16384,33.604667
3,1,256,65536,60.432333
3,1,512,262144,106.037667
4,1,64,4096,22.308333
4,1,128,16384,43.818000
4,1,256,65536,85.979333
4,1,512,262144,167.957000
2,4,64,4096,8.487000
2,4,128,16384,11.470000
2,4,256,65536,14.994000
2,4,512,262144,19.236000
