exponent,contacts,side,nodes,mean_greedy_hops
0,1,32,1024,9.463500
0,1,48,2304,12.478500
0,1,64,4096,15.549500
0,1,96,9216,20.710250
0,1,128,16384,25.172500
1,1,32,1024,9.356750
1,1,48,2304,12.158250
1,1,64,4096,14.497750
1,1,96,9216,18.695000
1,1,128,16384,22.199750
1.5,1,32,1024,9.495750
1.5,1,48,2304,12.211750
1.5,1,64,4096,14.615000
1.5,1,96,9216,18.433750
1.5,1,128,16384,21.677750
2,1,32,1024,9.663000
2,1,48,2304,12.657000
2,1,64,4096,15.308750
2,1,96,9216,19.568250
2,1,128,16384,22.699500
2.5,1,32,1024,10.246750
2.5,1,48,2304,13.900250
2.5,1,64,4096,17.322750
2.5,1,96,9216,22.642500
2.5,1,128,16384,27.458500
3,1,32,1024,10.829500
3,1,48,2304,15.114750
3,1,64,4096,19.081500
3,1,96,9216,26.751000
3,1,128,16384,33.506250
4,1,32,1024,11.866500
4,1,48,2304,17.070750
4,1,64,4096,22.349500
4,1,96,9216,32.849750
4,1,128,16384,43.603250
2,2,32,1024,7.682000
2,2,48,2304,9.811500
2,2,64,4096,11.578000
2,2,96,9216,14.201750
2,2,128,16384,16.400750
2,4,32,1024,6.037000
2,4,48,2304,7.415000
2,4,64,4096,8.468000
2,4,96,9216,10.260000
2,4,128,16384,11.450750
2,8,32,1024,4.657750
2,8,48,2304,5.588750
2,8,64,4096,6.285250
2,8,96,9216,7.476750
2,8,128,16384,8.143250
