position,token,target,loss_nats,passthrough_nats,visits,mean_hops
0,25,36,4.166067,4.166067,8,1.0000
1,36,21,4.108161,4.101890,8,1.0000
2,21,9,4.229335,4.235277,8,1.0000
3,9,15,4.072243,4.072071,8,1.0000
4,15,49,4.197194,4.201644,8,1.0000
5,49,43,4.245239,4.241384,8,1.0000
6,43,11,4.183972,4.186194,8,1.0000
7,11,42,4.132448,4.132309,8,1.0000
8,42,54,4.237254,4.235524,150,1.6087
9,54,25,3.964579,3.971505,8,1.0000
10,25,36,4.115562,4.116083,410,2.6725
11,36,29,4.231537,4.229728,446,2.7365
12,29,11,4.248859,4.253778,324,2.5835
13,11,42,4.083905,4.094025,477,2.7746
14,42,0,4.122940,4.078578,548,2.8402
15,0,21,4.116735,4.118916,347,2.4256
16,21,48,4.212113,4.220237,554,2.8615
17,48,25,4.202910,4.216100,525,2.8200
18,25,2,4.157154,4.164857,516,2.8356
19,2,45,4.370595,4.365417,382,2.6727
20,45,62,3.987458,3.989348,554,2.8708
21,62,21,4.282490,4.239696,520,2.8147
22,21,48,4.141931,4.184847,435,2.8180
23,48,25,4.140540,4.170014,478,2.7925
24,25,36,4.074183,4.057890,483,2.8139
25,36,29,4.152949,4.175072,516,2.8325
26,29,11,4.201969,4.206882,493,2.7924
27,11,42,4.032273,4.057707,510,2.8414
28,42,54,4.182043,4.189205,514,2.8301
29,54,44,4.401127,4.391359,541,2.8544
30,44,36,4.094085,4.075846,527,2.8429
31,36,34,4.016103,4.020826,483,2.8253
32,34,7,4.340291,4.325316,534,2.8088
33,7,22,4.008824,4.068302,532,2.8363
34,22,47,4.215861,4.201083,548,2.8446
35,47,51,4.254368,4.237948,537,2.8146
36,51,16,4.201212,4.177582,522,2.8310
37,16,53,4.291573,4.291606,550,2.8480
38,53,0,4.173142,4.198914,537,2.8432
39,0,60,4.129548,4.130179,503,2.8307
40,60,38,4.343058,4.334810,546,2.8475
41,38,2,4.193925,4.185433,551,2.8430
42,2,12,4.255442,4.266619,508,2.8270
43,12,35,4.181620,4.156298,527,2.8168
44,35,8,4.200071,4.226481,553,2.8537
45,8,56,4.187659,4.229137,549,2.8552
46,56,1,4.102256,4.113906,533,2.8394
47,1,47,4.337614,4.326057,530,2.8219
48,47,22,4.156180,4.158170,530,2.8363
49,22,20,4.348095,4.359936,536,2.8244
50,20,10,4.022686,4.013480,527,2.8179
51,10,2,4.131575,4.105051,545,2.8386
52,2,12,4.203432,4.235069,491,2.8189
53,12,20,4.099815,4.093785,479,2.8037
54,20,10,4.048497,3.977030,517,2.8416
55,10,2,4.100266,4.062000,480,2.8030
56,2,54,4.190118,4.256625,437,2.8015
57,54,0,4.244399,4.252032,545,2.8528
58,0,60,4.070242,4.089445,505,2.8104
59,60,38,4.291600,4.295913,534,2.8369
60,38,50,4.142041,4.135702,547,2.8594
61,50,54,4.139167,4.174235,531,2.8292
62,54,25,3.982289,3.944321,487,2.8251
63,25,36,4.034812,4.016090,510,2.8119
64,36,34,3.966251,3.981502,532,2.8272
65,34,35,4.216564,4.209643,522,2.8254
66,35,0,4.300197,4.314405,516,2.8276
67,0,25,4.349203,4.302574,494,2.8349
68,25,2,4.159182,4.121103,459,2.8086
69,2,45,4.293868,4.306499,469,2.8093
70,45,30,4.158581,4.156331,550,2.8462
71,30,46,4.362076,4.350376,524,2.8191
72,46,1,4.055406,4.058664,536,2.8307
73,1,32,4.131095,4.139996,504,2.8200
74,32,9,4.230438,4.241055,548,2.8342
75,9,15,3.990016,4.016667,522,2.8368
76,15,49,4.162866,4.160956,513,2.8061
77,49,48,4.131935,4.163899,531,2.8316
78,48,6,4.253991,4.265666,524,2.8409
79,6,22,4.072017,4.049006,540,2.8445
80,22,47,4.074940,4.099343,523,2.8224
81,47,56,4.227757,4.285686,518,2.8260
82,56,6,4.235342,4.215429,514,2.8311
83,6,56,4.260150,4.204112,524,2.8316
84,56,6,4.204005,4.135847,390,2.5393
85,6,32,4.022962,3.966897,468,2.8149
86,32,61,4.196360,4.255096,517,2.8210
87,61,2,4.217247,4.233317,531,2.8416
88,2,54,4.173676,4.211770,510,2.8372
89,54,25,3.937224,3.903896,507,2.8135
90,25,36,3.956848,3.974557,485,2.8029
91,36,29,4.125791,4.123140,502,2.8161
92,29,23,4.309270,4.351638,511,2.8310
93,23,18,4.224004,4.245266,533,2.8443
94,18,12,4.318995,4.358487,553,2.8439
95,12,35,4.123074,4.115835,509,2.8035
96,35,8,4.173176,4.185101,515,2.8120
97,8,52,4.146108,4.134365,532,2.8232
98,52,22,4.278395,4.276090,533,2.8312
99,22,35,4.185396,4.201496,507,2.8267
100,35,0,4.240165,4.273776,435,2.7146
101,0,21,4.062544,4.085391,508,2.8324
102,21,9,4.178993,4.209258,544,2.8210
103,9,15,3.960386,3.965853,534,2.8270
104,15,49,4.113466,4.125835,518,2.8206
105,49,50,4.078847,4.134671,543,2.8302
106,50,53,4.124374,4.131546,511,2.8283
107,53,11,4.066693,4.080921,524,2.8246
108,11,42,3.990749,4.023057,533,2.8307
109,42,54,4.145831,4.153463,531,2.8258
110,54,25,3.912997,3.868069,499,2.8157
111,25,36,3.939347,3.929590,455,2.7985
112,36,34,3.939464,3.946099,479,2.7803
113,34,40,4.185514,4.143191,539,2.8335
114,40,25,4.141060,4.138679,537,2.8319
115,25,36,3.902992,3.885518,459,2.8191
116,36,34,3.896454,3.904283,464,2.7925
117,34,35,4.199241,4.169176,462,2.8356
118,35,8,4.092640,4.145441,503,2.8141
119,8,41,4.227213,4.235438,512,2.8158
120,41,6,4.096977,4.094440,558,2.8523
121,6,22,4.020562,4.012510,525,2.8196
122,22,35,4.145701,4.160049,535,2.8164
123,35,53,4.012728,4.057404,460,2.8238
124,53,11,4.020604,4.040067,518,2.8262
125,11,45,4.203195,4.188958,509,2.8223
126,45,30,4.087481,4.119506,551,2.8578
127,30,46,4.261991,4.304101,501,2.8050
128,46,1,4.003209,4.012980,542,2.8460
129,1,47,4.276657,4.291211,530,2.8464
130,47,56,4.189871,4.236575,533,2.8444
131,56,1,4.106326,4.079960,488,2.8068
132,1,19,4.228589,4.262165,427,2.7931
133,19,24,4.063031,4.110034,520,2.8268
134,24,54,4.089621,4.137991,528,2.8176
135,54,25,3.877809,3.829751,494,2.8399
136,25,29,4.084973,4.156941,471,2.8076
137,29,23,4.276632,4.312737,529,2.8381
138,23,29,4.304309,4.275353,533,2.8325
139,29,11,4.155492,4.166984,496,2.8202
140,11,42,3.962799,3.989600,495,2.7991
141,42,54,4.149660,4.107505,531,2.8282
142,54,25,3.833525,3.797728,450,2.8588
143,25,36,3.844449,3.840184,461,2.8201
144,36,34,3.928879,3.864312,519,2.8319
145,34,40,4.068673,4.088262,491,2.8191
146,40,57,4.282149,4.292868,522,2.8265
147,57,59,4.178631,4.214034,551,2.8571
148,59,10,4.171947,4.151095,508,2.8266
149,10,11,4.051988,4.073407,543,2.8486
150,11,42,3.913020,3.953990,485,2.8107
151,42,54,4.113843,4.060877,485,2.8300
152,54,0,4.170786,4.196575,517,2.8719
153,0,60,4.091251,4.054717,505,2.8008
154,60,36,4.144980,4.146533,544,2.8516
155,36,34,3.848047,3.820068,487,2.8596
156,34,40,4.042034,4.033013,485,2.8178
157,40,21,4.115398,4.119843,516,2.8295
158,21,47,4.225527,4.189448,533,2.8456
159,47,56,4.140656,4.191535,528,2.8321
160,56,6,4.139351,4.107144,493,2.7924
161,6,56,4.129984,4.094041,530,2.8295
162,56,34,4.169672,4.158967,460,2.8038
163,34,35,4.132328,4.128054,449,2.7811
164,35,53,4.001182,4.017894,497,2.8081
165,53,17,4.212056,4.185917,510,2.8184
166,17,7,4.092069,4.098378,552,2.8358
167,7,22,3.999233,4.034923,524,2.8399
168,22,35,4.125133,4.117747,542,2.8580
169,35,53,3.946816,3.973772,465,2.8068
170,53,11,4.009690,3.995852,444,2.7727
171,11,45,4.158191,4.153447,488,2.8221
172,45,63,4.330437,4.354091,541,2.8383
173,63,18,4.055492,4.067513,528,2.8400
174,18,38,4.219445,4.230500,547,2.8476
175,38,2,4.126634,4.125532,536,2.8201
176,2,54,4.142849,4.177486,539,2.8482
177,54,25,3.784685,3.768069,511,2.8271
178,25,36,3.812740,3.795972,481,2.8209
179,36,34,3.841042,3.775563,512,2.8133
180,34,40,4.003390,3.978144,513,2.8461
181,40,25,4.084809,4.100260,490,2.8301
182,25,29,4.073501,4.128885,456,2.8262
183,29,23,4.246648,4.227352,520,2.8208
184,23,29,4.243996,4.189226,519,2.8193
185,29,23,4.201583,4.135383,446,2.7892
186,23,29,4.167687,4.099585,421,2.7601
187,29,48,4.098111,4.132928,487,2.8008
188,48,6,4.212717,4.233982,527,2.8408
189,6,32,3.982828,3.926463,498,2.8072
190,32,61,4.172886,4.218351,541,2.8481
191,61,2,4.195035,4.195733,518,2.8212
192,2,54,4.092029,4.140229,510,2.8315
193,54,25,3.753572,3.724530,503,2.8190
194,25,36,3.735597,3.746561,445,2.8086
195,36,21,4.063519,4.045618,508,2.8461
196,21,9,4.096132,4.173033,537,2.8395
197,9,3,4.126997,4.158297,526,2.8278
