position,token,target,loss_nats,passthrough_nats,visits,mean_hops
0,25,36,4.166067,4.166067,8,1.0000
1,36,21,4.108161,4.101890,8,1.0000
2,21,9,4.229335,4.235277,8,1.0000
3,9,15,4.072243,4.072071,8,1.0000
4,15,49,4.197194,4.201644,8,1.0000
5,49,43,4.245239,4.241384,8,1.0000
6,43,11,4.183972,4.186194,8,1.0000
7,11,42,4.132448,4.132309,8,1.0000
8,42,54,4.237254,4.235524,150,1.6087
9,54,25,3.964579,3.971505,8,1.0000
10,25,36,4.115562,4.116083,410,2.6725
11,36,29,4.231537,4.229728,446,2.7365
12,29,11,4.248870,4.253778,324,2.5830
13,11,42,4.083730,4.094023,471,2.7706
14,42,0,4.122705,4.078580,553,2.8469
15,0,21,4.117178,4.118901,347,2.4236
16,21,48,4.212176,4.220239,553,2.8604
17,48,25,4.202642,4.216095,524,2.8171
18,25,2,4.163415,4.164856,516,2.8231
19,2,45,4.369091,4.365870,397,2.7057
20,45,62,3.985738,3.989249,555,2.8644
21,62,21,4.281804,4.239538,517,2.8155
22,21,48,4.144946,4.184852,444,2.8371
23,48,25,4.128969,4.169635,462,2.7683
24,25,36,4.063405,4.057299,483,2.8134
25,36,29,4.164119,4.175204,521,2.8220
26,29,11,4.210269,4.207182,494,2.8172
27,11,42,4.043976,4.058202,491,2.8123
28,42,54,4.191713,4.188604,517,2.8085
29,54,44,4.402976,4.390073,552,2.8546
30,44,36,4.086751,4.075158,536,2.8388
31,36,34,4.032414,4.020782,497,2.7727
32,34,7,4.333286,4.323841,536,2.8387
33,7,22,4.058177,4.068323,533,2.8398
34,22,47,4.199515,4.200613,551,2.8539
35,47,51,4.250711,4.239265,546,2.8451
36,51,16,4.202997,4.176384,529,2.8376
37,16,53,4.313369,4.291576,526,2.8226
38,53,0,4.186586,4.198574,528,2.8347
39,0,60,4.135717,4.130011,528,2.8217
40,60,38,4.322133,4.334869,541,2.8424
41,38,2,4.179579,4.186750,538,2.8373
42,2,12,4.248075,4.265706,517,2.8238
43,12,35,4.168013,4.155570,506,2.8069
44,35,8,4.217694,4.226792,537,2.8417
45,8,56,4.196199,4.228171,533,2.8407
46,56,1,4.112856,4.114233,535,2.8339
47,1,47,4.327702,4.326145,502,2.8018
48,47,22,4.150390,4.159119,501,2.8122
49,22,20,4.328740,4.360881,525,2.8371
50,20,10,4.038910,4.013513,526,2.8217
51,10,2,4.092403,4.103470,548,2.8447
52,2,12,4.193733,4.235416,474,2.8296
53,12,20,4.092239,4.092115,479,2.8027
54,20,10,4.017617,3.976719,483,2.8086
55,10,2,4.079026,4.063261,486,2.8022
56,2,54,4.233087,4.258686,441,2.8181
57,54,0,4.256777,4.249925,530,2.8276
58,0,60,4.072347,4.088720,510,2.8264
59,60,38,4.305426,4.297427,559,2.8528
60,38,50,4.117470,4.135237,530,2.8356
61,50,54,4.181069,4.176937,519,2.7998
62,54,25,3.957227,3.946034,511,2.8521
63,25,36,4.003534,4.012624,506,2.8109
64,36,34,3.990634,3.981143,496,2.7951
65,34,35,4.231662,4.210555,529,2.8265
66,35,0,4.245295,4.315517,515,2.8388
67,0,25,4.341694,4.304592,474,2.8003
68,25,2,4.144853,4.119152,453,2.8151
69,2,45,4.325412,4.306743,513,2.8454
70,45,30,4.155655,4.154722,539,2.8517
71,30,46,4.315932,4.348665,511,2.8029
72,46,1,4.097487,4.057069,556,2.8499
73,1,32,4.154956,4.141948,531,2.8369
74,32,9,4.176514,4.239096,538,2.8503
75,9,15,4.024186,4.014902,501,2.8174
76,15,49,4.181044,4.159528,516,2.8047
77,49,48,4.158383,4.164059,545,2.8276
78,48,6,4.243099,4.264626,525,2.8229
79,6,22,4.066261,4.046868,531,2.8310
80,22,47,4.093721,4.099644,503,2.8128
81,47,56,4.214280,4.287376,542,2.8475
82,56,6,4.208160,4.216437,522,2.8174
83,6,56,4.265320,4.205081,532,2.8349
84,56,6,4.184000,4.136315,424,2.7733
85,6,32,4.032225,3.967038,468,2.8181
86,32,61,4.186674,4.251956,521,2.8344
87,61,2,4.214349,4.229443,539,2.8423
88,2,54,4.203298,4.210889,509,2.8472
89,54,25,3.920067,3.907719,488,2.8118
90,25,36,3.955677,3.969090,480,2.8057
91,36,29,4.148861,4.122502,501,2.8171
92,29,23,4.336533,4.351175,536,2.8368
93,23,18,4.234190,4.246807,536,2.8355
94,18,12,4.340731,4.356004,552,2.8347
95,12,35,4.114064,4.112142,509,2.8096
96,35,8,4.172108,4.184114,500,2.7943
97,8,52,4.155649,4.135569,532,2.8325
98,52,22,4.243572,4.273440,524,2.8102
99,22,35,4.253170,4.205593,512,2.8167
100,35,0,4.256495,4.275130,441,2.7819
101,0,21,4.091148,4.083958,530,2.8247
102,21,9,4.178528,4.209587,542,2.8382
103,9,15,4.003238,3.963438,516,2.8151
104,15,49,4.116852,4.122875,490,2.8170
105,49,50,4.097046,4.139003,506,2.8163
106,50,53,4.107893,4.129114,529,2.8230
107,53,11,4.071539,4.079824,551,2.8539
108,11,42,4.039447,4.024666,521,2.8367
109,42,54,4.163660,4.150433,525,2.8241
110,54,25,3.907699,3.873708,473,2.7993
111,25,36,3.923373,3.926584,461,2.8134
112,36,34,3.958502,3.950165,515,2.8271
113,34,40,4.131338,4.138764,521,2.8380
114,40,25,4.096979,4.138867,530,2.8295
115,25,36,3.871225,3.880177,452,2.8054
116,36,34,3.944324,3.911701,441,2.8051
117,34,35,4.198376,4.169018,468,2.8119
118,35,8,4.112737,4.142536,480,2.8159
119,8,41,4.231806,4.236055,526,2.8383
120,41,6,4.083466,4.093543,556,2.8451
121,6,22,4.012615,4.011744,521,2.8170
122,22,35,4.169415,4.162299,535,2.8369
123,35,53,4.031725,4.057854,446,2.8096
124,53,11,4.042216,4.039521,520,2.8113
125,11,45,4.172147,4.186444,495,2.8029
126,45,30,4.082864,4.117885,550,2.8422
127,30,46,4.282699,4.302846,526,2.8414
128,46,1,4.029033,4.011371,531,2.8248
129,1,47,4.260582,4.291341,548,2.8483
130,47,56,4.208307,4.239701,534,2.8305
131,56,1,4.087241,4.082543,513,2.8153
132,1,19,4.257816,4.260069,427,2.7559
133,19,24,4.075399,4.110238,515,2.8270
134,24,54,4.114398,4.139011,522,2.8399
135,54,25,3.837778,3.837586,475,2.8327
136,25,29,4.087167,4.151590,460,2.8451
137,29,23,4.318686,4.311653,533,2.8515
138,23,29,4.315708,4.274359,518,2.8248
139,29,11,4.161480,4.169323,481,2.8153
140,11,42,4.002451,3.991017,482,2.8260
141,42,54,4.089545,4.105279,519,2.8144
142,54,25,3.818191,3.806186,417,2.6681
143,25,36,3.870142,3.836701,467,2.8768
144,36,34,3.915127,3.875098,521,2.8012
145,34,40,4.084600,4.084726,472,2.7673
146,40,57,4.349828,4.293978,525,2.8340
147,57,59,4.178929,4.213237,527,2.8129
148,59,10,4.208621,4.151178,498,2.8437
149,10,11,4.076134,4.080493,531,2.8258
150,11,42,3.942460,3.957083,502,2.8314
151,42,54,4.065440,4.060446,477,2.8108
152,54,0,4.195709,4.190624,490,2.8180
153,0,60,4.062954,4.051765,510,2.8470
154,60,36,4.135856,4.149199,538,2.8367
155,36,34,3.886357,3.829862,483,2.8464
156,34,40,4.055266,4.032133,502,2.8319
157,40,21,4.036654,4.114041,476,2.8047
158,21,47,4.186952,4.189434,549,2.8521
159,47,56,4.136926,4.193686,532,2.8512
160,56,6,4.108189,4.106681,518,2.8261
161,6,56,4.129824,4.093811,488,2.8084
162,56,34,4.202541,4.161706,464,2.7985
163,34,35,4.143541,4.126445,457,2.7814
164,35,53,3.996543,4.015040,505,2.8347
165,53,17,4.180938,4.186477,501,2.8260
166,17,7,4.108256,4.098740,560,2.8531
167,7,22,4.041539,4.034230,537,2.8329
168,22,35,4.142792,4.119608,533,2.8421
169,35,53,3.924773,3.970569,475,2.8182
170,53,11,4.010529,3.996462,444,2.7794
171,11,45,4.205376,4.152428,506,2.8237
172,45,63,4.355865,4.355270,541,2.8477
173,63,18,4.073982,4.068325,513,2.8100
174,18,38,4.204311,4.226578,546,2.8486
175,38,2,4.113975,4.128080,552,2.8591
176,2,54,4.140685,4.176623,521,2.8183
177,54,25,3.802210,3.778969,506,2.8282
178,25,36,3.779995,3.792442,485,2.8307
179,36,34,3.797804,3.787563,516,2.8196
180,34,40,4.019126,3.978579,467,2.7854
181,40,25,4.092528,4.102241,518,2.8092
182,25,29,4.073077,4.126267,461,2.7740
183,29,23,4.198766,4.227195,536,2.8149
184,23,29,4.258147,4.188810,496,2.8225
185,29,23,4.167768,4.136507,472,2.8097
186,23,29,4.155067,4.099318,504,2.8432
187,29,48,4.082040,4.133816,503,2.8432
188,48,6,4.206985,4.231628,507,2.8215
189,6,32,3.978924,3.928527,530,2.8219
190,32,61,4.193849,4.214168,539,2.8518
191,61,2,4.170620,4.189095,519,2.8243
192,2,54,4.114260,4.137050,528,2.8634
193,54,25,3.757263,3.735277,451,2.7922
194,25,36,3.742259,3.737458,462,2.7907
195,36,21,4.055829,4.037758,417,2.7120
196,21,9,4.164362,4.178857,536,2.8510
197,9,3,4.135635,4.158528,538,2.8338
